S.no,Symbol,Date,Open,High,Low,Close,Vol
1,AFL,2012-01-02.csv,120.0,121.0,120.0,120.0,20
2,AFL,2012-01-04.csv,120.0,118.0,116.0,116.0,100
1,AFL,2012-01-10.csv,116.0,118.0,118.0,118.0,20
1,AFL,2012-01-11.csv,118.0,117.0,116.0,116.0,330
2,AFL,2012-01-12.csv,116.0,116.0,116.0,116.0,40
2,AFL,2012-01-18.csv,116.0,116.0,115.0,115.0,160
1,AFL,2012-01-19.csv,115.0,113.0,113.0,113.0,50
2,AFL,2012-01-22.csv,113.0,113.0,113.0,113.0,40
2,AFL,2012-01-23.csv,113.0,111.0,107.0,107.0,150
1,AFL,2012-01-25.csv,107.0,109.0,107.0,107.0,220
2,AFL,2012-01-31.csv,107.0,108.0,108.0,108.0,50
2,AFL,2012-02-05.csv,108.0,110.0,110.0,110.0,20
2,AFL,2012-02-07.csv,110.0,112.0,112.0,112.0,20
1,AFL,2012-02-12.csv,112.0,112.0,112.0,112.0,140
2,AFL,2012-02-16.csv,112.0,111.0,111.0,111.0,120
1,AFL,2012-02-23.csv,111.0,110.0,110.0,110.0,100
2,AFL,2012-02-27.csv,110.0,112.0,112.0,112.0,10
2,AFL,2012-02-29.csv,112.0,116.0,114.0,116.0,60
1,AFL,2012-03-05.csv,116.0,112.0,112.0,112.0,120
1,AFL,2012-03-06.csv,112.0,110.0,108.0,108.0,410
1,AFL,2012-03-11.csv,108.0,106.0,106.0,106.0,140
1,AFL,2012-03-12.csv,106.0,106.0,106.0,106.0,20
2,AFL,2012-03-18.csv,106.0,104.0,100.0,100.0,100
2,AFL,2012-03-21.csv,100.0,102.0,100.0,100.0,470
2,AFL,2012-03-26.csv,100.0,100.0,100.0,100.0,100
2,AFL,2012-03-27.csv,100.0,100.0,100.0,100.0,150
2,AFL,2012-04-08.csv,100.0,105.0,102.0,105.0,104
2,AFL,2012-04-15.csv,105.0,107.0,107.0,107.0,120
2,AFL,2012-04-17.csv,107.0,109.0,107.0,107.0,120
2,AFL,2012-04-19.csv,107.0,115.0,109.0,115.0,90
2,AFL,2012-04-22.csv,115.0,116.0,116.0,116.0,20
1,AFL,2012-04-25.csv,116.0,118.0,118.0,118.0,80
2,AFL,2012-04-26.csv,118.0,124.0,120.0,124.0,510
2,AFL,2012-04-29.csv,124.0,130.0,126.0,130.0,430
2,AFL,2012-04-30.csv,130.0,134.0,132.0,134.0,610
2,AFL,2012-05-20.csv,134.0,136.0,136.0,136.0,100
2,AFL,2012-06-05.csv,136.0,134.0,132.0,132.0,"1,020"
2,AFL,2012-06-14.csv,132.0,130.0,130.0,130.0,50
1,AFL,2012-07-02.csv,130.0,128.0,128.0,128.0,10
2,AFL,2012-07-03.csv,128.0,126.0,123.0,123.0,82
1,AFL,2012-07-15.csv,123.0,121.0,111.0,111.0,447
1,AFL,2012-07-16.csv,111.0,109.0,101.0,102.0,"1,884"
2,AFL,2012-07-17.csv,102.0,107.0,103.0,107.0,"2,576"
2,AFL,2012-07-18.csv,107.0,109.0,106.0,108.0,670
2,AFL,2012-07-19.csv,108.0,106.0,104.0,104.0,300
1,AFL,2012-07-22.csv,104.0,110.0,106.0,109.0,"2,154"
2,AFL,2012-07-23.csv,109.0,109.0,105.0,107.0,"2,282"
