Date,Symbol,Open,High,Low,Close,Vol
1/3/2016,AHPC,260.0,258.0,253.0,256.0,3910
1/4/2016,AHPC,256.0,261.0,254.0,257.0,5072
1/5/2016,AHPC,257.0,275.0,252.0,270.0,8473
1/6/2016,AHPC,270.0,268.0,254.0,262.0,5504
1/7/2016,AHPC,262.0,265.0,254.0,256.0,5041
1/10/2016,AHPC,256.0,261.0,255.0,257.0,4883
1/11/2016,AHPC,257.0,261.0,250.0,260.0,10060
1/12/2016,AHPC,260.0,260.0,253.0,260.0,6323
1/12/2016,AHPC,260.0,260.0,253.0,260.0,6323
1/13/2016,AHPC,260.0,265.0,255.0,260.0,8237
1/14/2016,AHPC,260.0,266.0,257.0,260.0,11367
1/19/2016,AHPC,260.0,285.0,265.0,285.0,50
1/20/2016,AHPC,285.0,312.0,290.0,312.0,50
1/21/2016,AHPC,312.0,343.0,318.0,343.0,2600
1/24/2016,AHPC,343.0,349.0,345.0,349.0,210
1/25/2016,AHPC,349.0,361.0,355.0,361.0,226
1/27/2016,AHPC,361.0,354.0,354.0,354.0,20
1/28/2016,AHPC,354.0,347.0,341.0,341.0,44
2/1/2016,AHPC,341.0,335.0,335.0,335.0,100
2/4/2016,AHPC,335.0,329.0,329.0,329.0,10
2/7/2016,AHPC,329.0,323.0,297.0,297.0,5570
2/8/2016,AHPC,297.0,322.0,281.0,305.0,30502
2/11/2016,AHPC,305.0,305.0,294.0,295.0,7276
2/14/2016,AHPC,295.0,304.0,290.0,300.0,14582
2/15/2016,AHPC,300.0,310.0,297.0,298.0,9010
2/16/2016,AHPC,298.0,303.0,290.0,299.0,4320
2/17/2016,AHPC,299.0,299.0,294.0,298.0,3025
2/18/2016,AHPC,298.0,300.0,294.0,296.0,7735
2/21/2016,AHPC,296.0,301.0,298.0,301.0,10123
2/22/2016,AHPC,301.0,306.0,297.0,306.0,11438
2/23/2016,AHPC,306.0,302.0,301.0,301.0,3494
2/24/2016,AHPC,301.0,300.0,297.0,300.0,1230
2/25/2016,AHPC,300.0,298.0,295.0,298.0,1770
2/28/2016,AHPC,298.0,303.0,294.0,294.0,6537
