S.no,Symbol,Date,Open,High,Low,Close,Vol
4,AIC,2012-01-04.csv,114.0,112.0,112.0,112.0,18
2,AIC,2012-01-05.csv,112.0,110.0,110.0,110.0,28
4,AIC,2012-01-31.csv,110.0,108.0,108.0,108.0,36
3,AIC,2012-02-01.csv,108.0,106.0,106.0,106.0,121
3,AIC,2012-02-02.csv,106.0,106.0,105.0,106.0,530
4,AIC,2012-02-05.csv,106.0,104.0,98.0,98.0,"1,807"
4,AIC,2012-02-07.csv,98.0,99.0,98.0,98.0,"2,263"
3,AIC,2012-02-12.csv,98.0,97.0,97.0,97.0,231
3,AIC,2012-02-21.csv,97.0,100.0,98.0,100.0,104
3,AIC,2012-03-01.csv,100.0,98.0,97.0,97.0,47
3,AIC,2012-03-12.csv,97.0,96.0,95.0,95.0,80
3,AIC,2012-03-13.csv,95.0,95.0,95.0,95.0,80
2,AIC,2012-04-05.csv,95.0,96.0,96.0,96.0,100
2,AIC,2012-04-10.csv,96.0,97.0,97.0,97.0,100
3,AIC,2012-07-04.csv,97.0,98.0,98.0,98.0,20
2,AIC,2012-08-14.csv,98.0,99.0,99.0,99.0,58
3,AIC,2012-08-19.csv,99.0,100.0,100.0,100.0,820
3,AIC,2012-08-21.csv,100.0,106.0,102.0,106.0,102
3,AIC,2012-08-27.csv,106.0,110.0,108.0,110.0,22
3,AIC,2012-09-02.csv,110.0,112.0,112.0,112.0,82
6,AIC,2012-10-01.csv,112.0,122.0,114.0,122.0,500
7,AIC,2012-10-01.csv,112.0,122.0,114.0,122.0,500
2,AIC,2012-10-02.csv,122.0,124.0,124.0,124.0,34
3,AIC,2012-10-03.csv,124.0,136.0,126.0,136.0,"3,887"
3,AIC,2012-10-04.csv,136.0,146.0,138.0,146.0,900
2,AIC,2012-10-07.csv,146.0,153.0,148.0,151.0,"1,313"
2,AIC,2012-10-08.csv,151.0,152.0,150.0,150.0,133
3,AIC,2012-10-11.csv,150.0,147.0,147.0,147.0,100
3,AIC,2012-10-14.csv,147.0,148.0,143.0,143.0,"1,331"
3,AIC,2012-10-15.csv,143.0,146.0,142.0,146.0,715
2,AIC,2012-10-17.csv,146.0,145.0,145.0,145.0,32
3,AIC,2012-10-18.csv,145.0,143.0,143.0,143.0,34
2,AIC,2012-11-01.csv,143.0,145.0,145.0,145.0,130
2,AIC,2012-11-04.csv,145.0,147.0,143.0,144.0,"4,536"
3,AIC,2012-11-05.csv,144.0,147.0,146.0,147.0,927
3,AIC,2012-11-06.csv,147.0,146.0,145.0,146.0,"1,100"
3,AIC,2012-11-20.csv,146.0,144.0,144.0,144.0,100
3,AIC,2012-11-25.csv,144.0,142.0,142.0,142.0,100
3,AIC,2012-11-26.csv,142.0,140.0,140.0,140.0,100
3,AIC,2012-11-29.csv,140.0,140.0,140.0,140.0,58
3,AIC,2012-12-09.csv,140.0,138.0,138.0,138.0,533
3,AIC,2012-12-10.csv,138.0,136.0,136.0,136.0,500
3,AIC,2012-12-17.csv,136.0,138.0,138.0,138.0,110
3,AIC,2012-12-19.csv,138.0,136.0,136.0,136.0,285
3,AIC,2013-01-21.csv,136.0,144.0,138.0,144.0,185
3,AIC,2013-01-22.csv,144.0,146.0,146.0,146.0,51
3,AIC,2013-01-28.csv,146.0,145.0,141.0,141.0,925
3,AIC,2013-01-30.csv,141.0,143.0,141.0,141.0,150
3,AIC,2013-01-31.csv,141.0,140.0,140.0,140.0,"3,448"
1,AIC,2013-02-10.csv,140.0,146.0,142.0,146.0,"1,200"
3,AIC,2013-02-12.csv,146.0,148.0,148.0,148.0,180
3,AIC,2013-02-13.csv,148.0,147.0,146.0,147.0,"2,834"
3,AIC,2013-02-14.csv,147.0,148.0,147.0,148.0,"1,840"
3,AIC,2013-02-20.csv,148.0,148.0,146.0,146.0,"1,420"
3,AIC,2013-05-07.csv,146.0,131.0,131.0,131.0,"37,358"
3,AIC,2013-06-06.csv,131.0,132.0,132.0,132.0,465
2,AIC,2013-06-09.csv,132.0,134.0,134.0,134.0,51
3,AIC,2013-06-10.csv,134.0,136.0,134.0,134.0,240
3,AIC,2013-06-20.csv,134.0,132.0,132.0,132.0,751
3,AIC,2013-06-26.csv,132.0,132.0,132.0,132.0,115
3,AIC,2013-07-02.csv,132.0,133.0,133.0,133.0,"10,189"
2,AIC,2013-07-03.csv,133.0,134.0,134.0,134.0,373
3,AIC,2013-07-09.csv,134.0,134.0,134.0,134.0,500
3,AIC,2013-07-15.csv,134.0,136.0,134.0,134.0,"4,127"
2,AIC,2013-07-16.csv,134.0,134.0,134.0,134.0,"1,750"
1,AIC,2013-07-17.csv,134.0,136.0,133.0,136.0,"1,194"
3,AIC,2013-07-18.csv,136.0,138.0,138.0,138.0,"1,000"
3,AIC,2013-07-29.csv,138.0,142.0,140.0,142.0,233
3,AIC,2013-07-31.csv,142.0,144.0,144.0,144.0,85
2,AIC,2013-08-01.csv,144.0,146.0,144.0,144.0,"1,400"
3,AIC,2013-08-05.csv,144.0,158.0,146.0,158.0,"4,450"
3,AIC,2013-08-06.csv,158.0,173.0,160.0,172.0,"3,163"
3,AIC,2013-08-07.csv,172.0,170.0,161.0,164.0,"1,269"
3,AIC,2013-08-11.csv,164.0,161.0,155.0,155.0,86
3,AIC,2013-08-12.csv,155.0,152.0,149.0,149.0,108
3,AIC,2013-08-13.csv,149.0,153.0,148.0,153.0,322
3,AIC,2013-08-14.csv,153.0,162.0,156.0,162.0,143
3,AIC,2013-08-20.csv,162.0,178.0,165.0,178.0,"11,087"
3,AIC,2013-08-25.csv,178.0,195.0,181.0,195.0,745
2,AIC,2013-08-26.csv,195.0,214.0,198.0,214.0,"6,254"
3,AIC,2013-08-27.csv,214.0,235.0,218.0,235.0,"8,124"
3,AIC,2013-08-29.csv,235.0,258.0,239.0,258.0,"9,666"
3,AIC,2013-09-01.csv,258.0,283.0,263.0,283.0,"22,854"
3,AIC,2013-09-02.csv,283.0,291.0,275.0,275.0,"10,085"
3,AIC,2013-09-03.csv,275.0,270.0,265.0,265.0,549
2,AIC,2013-09-04.csv,265.0,260.0,250.0,250.0,662
3,AIC,2013-09-05.csv,250.0,245.0,241.0,241.0,321
2,AIC,2013-09-08.csv,241.0,253.0,245.0,248.0,167
3,AIC,2013-09-09.csv,248.0,252.0,247.0,247.0,319
3,AIC,2013-09-10.csv,247.0,251.0,251.0,251.0,290
3,AIC,2013-09-11.csv,251.0,251.0,248.0,248.0,730
3,AIC,2013-09-15.csv,248.0,252.0,244.0,251.0,"2,651"
3,AIC,2013-09-16.csv,251.0,256.0,251.0,252.0,129
2,AIC,2013-09-17.csv,252.0,251.0,248.0,251.0,530
3,AIC,2013-09-19.csv,251.0,254.0,246.0,250.0,"3,574"
3,AIC,2013-09-22.csv,250.0,255.0,250.0,250.0,"1,890"
3,AIC,2013-09-24.csv,250.0,249.0,247.0,247.0,"1,425"
3,AIC,2013-09-25.csv,247.0,249.0,243.0,249.0,265
3,AIC,2013-09-26.csv,249.0,253.0,250.0,250.0,"1,292"
3,AIC,2013-09-29.csv,250.0,249.0,247.0,247.0,"1,066"
3,AIC,2013-09-30.csv,247.0,248.0,248.0,248.0,"1,134"
3,AIC,2013-10-02.csv,248.0,247.0,247.0,247.0,"2,000"
3,AIC,2013-10-03.csv,247.0,250.0,250.0,250.0,15
2,AIC,2013-10-07.csv,250.0,245.0,245.0,245.0,"1,000"
2,AIC,2013-10-08.csv,245.0,242.0,242.0,242.0,17
2,AIC,2013-10-09.csv,242.0,246.0,246.0,246.0,10
3,AIC,2013-10-10.csv,246.0,244.0,244.0,244.0,806
3,AIC,2013-10-21.csv,244.0,262.0,248.0,262.0,294
3,AIC,2013-10-22.csv,262.0,272.0,267.0,270.0,254
3,AIC,2013-10-23.csv,270.0,265.0,260.0,260.0,219
3,AIC,2013-10-24.csv,260.0,255.0,245.0,254.0,"3,449"
2,AIC,2013-10-27.csv,254.0,251.0,250.0,251.0,195
3,AIC,2013-10-28.csv,251.0,250.0,246.0,246.0,"1,237"
3,AIC,2013-10-29.csv,246.0,246.0,246.0,246.0,155
3,AIC,2013-10-30.csv,246.0,250.0,250.0,250.0,300
3,AIC,2013-10-31.csv,250.0,253.0,253.0,253.0,164
2,AIC,2013-11-07.csv,253.0,250.0,245.0,245.0,"3,000"
3,AIC,2013-11-11.csv,241.0,245.0,245.0,245.0,"1,500"
3,AIC,2013-11-12.csv,245.0,255.0,249.0,255.0,"2,750"
3,AIC,2013-11-13.csv,255.0,263.0,258.0,263.0,"5,180"
4,AIC,2013-11-14.csv,263.0,263.0,263.0,263.0,51
3,AIC,2013-11-24.csv,263.0,268.0,268.0,268.0,"2,571"
3,AIC,2013-11-25.csv,268.0,285.0,270.0,285.0,"5,829"
3,AIC,2013-11-26.csv,285.0,313.0,290.0,313.0,"1,618"
3,AIC,2013-11-27.csv,313.0,344.0,319.0,344.0,"14,358"
3,AIC,2013-11-28.csv,344.0,378.0,350.0,378.0,"7,723"
2,AIC,2013-12-01.csv,378.0,415.0,385.0,415.0,"10,602"
3,AIC,2013-12-02.csv,415.0,456.0,423.0,456.0,"8,120"
3,AIC,2013-12-03.csv,456.0,499.0,465.0,499.0,984
3,AIC,2013-12-04.csv,499.0,508.0,470.0,470.0,"2,353"
3,AIC,2013-12-05.csv,470.0,461.0,423.0,424.0,"2,520"
3,AIC,2013-12-08.csv,424.0,416.0,400.0,400.0,477
3,AIC,2013-12-09.csv,400.0,392.0,360.0,360.0,"2,513"
3,AIC,2013-12-10.csv,360.0,357.0,334.0,357.0,"8,942"
3,AIC,2013-12-11.csv,357.0,385.0,362.0,385.0,"2,639"
3,AIC,2013-12-12.csv,385.0,392.0,378.0,392.0,867
3,AIC,2013-12-15.csv,392.0,398.0,393.0,393.0,978
3,AIC,2013-12-16.csv,393.0,400.0,395.0,400.0,"1,834"
3,AIC,2013-12-19.csv,400.0,403.0,395.0,395.0,"9,000"
3,AIC,2013-12-22.csv,395.0,419.0,395.0,419.0,"5,483"
3,AIC,2013-12-23.csv,419.0,443.0,417.0,441.0,"23,397"
3,AIC,2013-12-24.csv,441.0,455.0,440.0,451.0,"1,034"
3,AIC,2013-12-26.csv,451.0,460.0,451.0,451.0,"1,579"
3,AIC,2013-12-29.csv,451.0,471.0,451.0,466.0,"9,879"
2,AIC,2013-12-31.csv,466.0,469.0,451.0,469.0,453
2,AIC,2014-01-01.csv,469.0,465.0,442.0,442.0,"1,362"
2,AIC,2014-01-02.csv,442.0,451.0,435.0,451.0,"11,972"
3,AIC,2014-01-05.csv,451.0,470.0,450.0,470.0,"2,881"
3,AIC,2014-01-06.csv,470.0,472.0,462.0,462.0,392
3,AIC,2014-01-07.csv,462.0,471.0,462.0,471.0,807
3,AIC,2014-01-08.csv,471.0,475.0,466.0,475.0,"8,601"
3,AIC,2014-01-09.csv,475.0,470.0,461.0,461.0,"1,008"
