S.no,Symbol,Date,Open,High,Low,Close,Vol
4,AICPO,2014-01-08.csv,100.0,100.0,100.0,100.0,"14,944"
3,AICPO,2014-03-20.csv,100.0,110.0,102.0,110.0,"7,684"
4,AICPO,2014-04-03.csv,110.0,110.0,110.0,110.0,"73,938"
4,AICPO,2014-04-17.csv,110.0,110.0,110.0,110.0,100
4,AICPO,2014-05-07.csv,110.0,110.0,110.0,110.0,"43,421"
4,AICPO,2014-05-22.csv,110.0,110.0,110.0,110.0,"32,946"
4,AICPO,2014-06-11.csv,110.0,110.0,110.0,110.0,"207,337"
4,AICPO,2014-06-19.csv,110.0,110.0,110.0,110.0,"77,696"
4,AICPO,2014-07-16.csv,110.0,110.0,110.0,110.0,"9,546"
4,AICPO,2014-07-17.csv,110.0,110.0,110.0,110.0,"27,552"
4,AICPO,2015-02-12.csv,205.0,205.0,205.0,205.0,"219,761"
