S.no,Symbol,Date,Open,High,Low,Close,Vol
2,AKJCL,2018-12-20.csv,88.0,105.0,86.0,102.0,"1,245"
2,AKJCL,2018-12-23.csv,103.0,104.0,98.0,104.0,"2,920"
2,AKJCL,2018-12-24.csv,102.0,106.0,100.0,102.0,"2,320"
2,AKJCL,2018-12-25.csv,102.0,102.0,98.0,101.0,590
2,AKJCL,2018-12-26.csv,100.0,102.0,100.0,101.0,390
2,AKJCL,2018-12-27.csv,100.0,102.0,99.0,99.0,840
2,AKJCL,2018-12-30.csv,100.0,100.0,98.0,99.0,420
2,AKJCL,2018-12-31.csv,99.0,100.0,98.0,99.0,"1,270"
1,AKJCL,2019-01-01.csv,98.0,98.0,96.0,97.0,"1,030"
2,AKJCL,2019-01-02.csv,96.0,96.0,95.0,96.0,570
2,AKJCL,2019-01-03.csv,95.0,96.0,93.0,93.0,760
2,AKJCL,2019-01-06.csv,94.0,95.0,92.0,95.0,"2,540"
2,AKJCL,2019-01-07.csv,94.0,94.0,90.0,91.0,"1,770"
2,AKJCL,2019-01-08.csv,90.0,95.0,89.0,95.0,"1,560"
2,AKJCL,2019-01-09.csv,94.0,95.0,92.0,94.0,"1,186"
2,AKJCL,2019-01-10.csv,95.0,95.0,92.0,94.0,"1,480"
2,AKJCL,2019-01-13.csv,93.0,93.0,88.0,90.0,"1,170"
2,AKJCL,2019-01-14.csv,90.0,91.0,89.0,89.0,"1,280"
2,AKJCL,2019-01-15.csv,89.0,92.0,89.0,92.0,"2,000"
2,AKJCL,2019-01-16.csv,91.0,91.0,90.0,91.0,470
2,AKJCL,2019-01-17.csv,90.0,91.0,89.0,89.0,"1,120"
2,AKJCL,2019-01-20.csv,89.0,89.0,86.0,87.0,120
2,AKJCL,2019-01-21.csv,86.0,87.0,79.0,81.0,"1,570"
2,AKJCL,2019-01-22.csv,80.0,82.0,79.0,80.0,"1,080"
2,AKJCL,2019-01-23.csv,80.0,86.0,80.0,86.0,620
2,AKJCL,2019-01-24.csv,85.0,86.0,83.0,86.0,911
2,AKJCL,2019-01-27.csv,86.0,88.0,84.0,86.0,"1,230"
2,AKJCL,2019-01-28.csv,85.0,86.0,83.0,84.0,500
2,AKJCL,2019-01-29.csv,83.0,85.0,82.0,84.0,999
2,AKJCL,2019-01-30.csv,83.0,86.0,83.0,84.0,"1,130"
2,AKJCL,2019-01-31.csv,84.0,86.0,84.0,85.0,"1,080"
2,AKJCL,2019-02-03.csv,84.0,85.0,83.0,85.0,779
2,AKJCL,2019-02-04.csv,84.0,84.0,78.0,81.0,610
2,AKJCL,2019-02-05.csv,80.0,85.0,80.0,85.0,400
2,AKJCL,2019-02-06.csv,85.0,85.0,84.0,84.0,780
2,AKJCL,2019-02-07.csv,84.0,85.0,81.0,83.0,"1,050"
2,AKJCL,2019-02-10.csv,84.0,85.0,81.0,82.0,990
2,AKJCL,2019-02-11.csv,81.0,83.0,80.0,81.0,670
2,AKJCL,2019-02-12.csv,81.0,84.0,81.0,84.0,510
2,AKJCL,2019-02-13.csv,83.0,83.0,80.0,82.0,770
2,AKJCL,2019-02-14.csv,82.0,85.0,81.0,81.0,710
2,AKJCL,2019-02-17.csv,80.0,83.0,79.0,82.0,660
2,AKJCL,2019-02-18.csv,83.0,83.0,81.0,81.0,535
2,AKJCL,2019-02-19.csv,80.0,80.0,79.0,79.0,230
2,AKJCL,2019-02-20.csv,79.0,80.0,78.0,79.0,590
2,AKJCL,2019-02-21.csv,78.0,81.0,78.0,78.0,"1,830"
2,AKJCL,2019-02-24.csv,78.0,79.0,77.0,77.0,"1,320"
2,AKJCL,2019-02-25.csv,76.0,82.0,75.0,82.0,310
2,AKJCL,2019-02-26.csv,83.0,85.0,81.0,82.0,625
2,AKJCL,2019-02-27.csv,83.0,85.0,81.0,85.0,"2,860"
2,AKJCL,2019-03-03.csv,84.0,84.0,80.0,80.0,510
1,AKJCL,2019-03-05.csv,79.0,81.0,78.0,80.0,230
2,AKJCL,2019-03-06.csv,80.0,81.0,80.0,80.0,200
2,AKJCL,2019-03-07.csv,80.0,82.0,77.0,80.0,340
2,AKJCL,2019-03-10.csv,79.0,81.0,78.0,81.0,730
2,AKJCL,2019-03-11.csv,82.0,82.0,79.0,81.0,320
2,AKJCL,2019-03-12.csv,81.0,82.0,79.0,80.0,550
2,AKJCL,2019-03-13.csv,79.0,83.0,79.0,82.0,"1,105"
2,AKJCL,2019-03-14.csv,83.0,86.0,82.0,85.0,820
2,AKJCL,2019-03-17.csv,86.0,89.0,84.0,84.0,"1,400"
2,AKJCL,2019-03-18.csv,83.0,83.0,81.0,83.0,390
2,AKJCL,2019-03-19.csv,82.0,83.0,82.0,82.0,120
2,AKJCL,2019-03-21.csv,81.0,83.0,81.0,82.0,270
2,AKJCL,2019-03-24.csv,82.0,82.0,79.0,79.0,880
2,AKJCL,2019-03-25.csv,78.0,80.0,77.0,79.0,610
2,AKJCL,2019-03-26.csv,78.0,81.0,78.0,80.0,590
2,AKJCL,2019-03-27.csv,81.0,82.0,80.0,81.0,"1,820"
2,AKJCL,2019-03-28.csv,80.0,82.0,79.0,81.0,"1,330"
2,AKJCL,2019-03-31.csv,80.0,81.0,80.0,80.0,"1,080"
2,AKJCL,2019-04-01.csv,80.0,82.0,80.0,80.0,"1,390"
2,AKJCL,2019-04-02.csv,81.0,81.0,79.0,81.0,"1,140"
2,AKJCL,2019-04-03.csv,82.0,82.0,78.0,80.0,770
2,AKJCL,2019-04-04.csv,80.0,82.0,79.0,79.0,800
2,AKJCL,2019-04-07.csv,78.0,81.0,78.0,79.0,"1,130"
2,AKJCL,2019-04-08.csv,78.0,80.0,77.0,78.0,"3,860"
2,AKJCL,2019-04-09.csv,77.0,85.0,77.0,81.0,"2,105"
2,AKJCL,2019-04-10.csv,80.0,81.0,79.0,80.0,580
2,AKJCL,2019-04-11.csv,81.0,81.0,78.0,79.0,960
2,AKJCL,2019-04-15.csv,78.0,81.0,78.0,79.0,850
2,AKJCL,2019-04-16.csv,78.0,81.0,78.0,80.0,360
2,AKJCL,2019-04-17.csv,79.0,81.0,79.0,81.0,400
2,AKJCL,2019-04-18.csv,80.0,82.0,78.0,82.0,370
2,AKJCL,2019-04-21.csv,82.0,82.0,82.0,82.0,50
2,AKJCL,2019-04-22.csv,81.0,83.0,80.0,80.0,200
2,AKJCL,2019-04-23.csv,79.0,80.0,78.0,80.0,710
2,AKJCL,2019-04-24.csv,79.0,80.0,78.0,78.0,700
2,AKJCL,2019-04-25.csv,78.0,79.0,77.0,78.0,945
2,AKJCL,2019-04-28.csv,77.0,81.0,76.0,81.0,790
2,AKJCL,2019-04-29.csv,80.0,80.0,78.0,80.0,240
2,AKJCL,2019-04-30.csv,79.0,82.0,78.0,80.0,290
2,AKJCL,2019-05-02.csv,79.0,82.0,78.0,81.0,370
2,AKJCL,2019-05-05.csv,80.0,80.0,78.0,78.0,341
2,AKJCL,2019-05-06.csv,77.0,79.0,77.0,79.0,320
2,AKJCL,2019-05-07.csv,78.0,80.0,77.0,78.0,550
2,AKJCL,2019-05-08.csv,78.0,80.0,77.0,77.0,"1,370"
2,AKJCL,2019-05-09.csv,77.0,79.0,76.0,79.0,281
2,AKJCL,2019-05-12.csv,79.0,80.0,78.0,78.0,"1,320"
2,AKJCL,2019-05-13.csv,77.0,78.0,77.0,77.0,460
2,AKJCL,2019-05-14.csv,76.0,78.0,76.0,78.0,469
2,AKJCL,2019-05-15.csv,79.0,80.0,79.0,79.0,839
2,AKJCL,2019-05-16.csv,80.0,80.0,77.0,77.0,830
2,AKJCL,2019-05-19.csv,75.0,78.0,75.0,75.0,"1,860"
2,AKJCL,2019-05-20.csv,75.0,76.0,74.0,75.0,"1,490"
2,AKJCL,2019-05-21.csv,75.0,79.0,74.0,79.0,"3,660"
2,AKJCL,2019-05-22.csv,79.0,86.0,78.0,82.0,"2,170"
2,AKJCL,2019-05-23.csv,81.0,83.0,81.0,82.0,"1,020"
2,AKJCL,2019-05-26.csv,83.0,83.0,81.0,81.0,170
2,AKJCL,2019-05-27.csv,82.0,82.0,77.0,77.0,300
2,AKJCL,2019-05-28.csv,76.0,77.0,75.0,75.0,"1,023"
2,AKJCL,2019-05-29.csv,76.0,77.0,76.0,76.0,300
2,AKJCL,2019-05-30.csv,75.0,78.0,75.0,77.0,470
2,AKJCL,2019-06-02.csv,77.0,78.0,76.0,77.0,"1,041"
2,AKJCL,2019-06-03.csv,76.0,77.0,76.0,77.0,340
2,AKJCL,2019-06-04.csv,76.0,76.0,75.0,75.0,450
2,AKJCL,2019-06-06.csv,74.0,75.0,73.0,73.0,450
2,AKJCL,2019-06-10.csv,72.0,74.0,71.0,74.0,500
2,AKJCL,2019-06-11.csv,75.0,75.0,72.0,75.0,820
2,AKJCL,2019-06-12.csv,74.0,77.0,74.0,76.0,500
2,AKJCL,2019-06-13.csv,75.0,80.0,73.0,80.0,350
2,AKJCL,2019-06-16.csv,79.0,79.0,75.0,75.0,350
2,AKJCL,2019-06-17.csv,74.0,75.0,74.0,74.0,630
2,AKJCL,2019-06-18.csv,75.0,76.0,74.0,75.0,460
2,AKJCL,2019-06-19.csv,74.0,75.0,73.0,74.0,190
