Date,Symbol,Open,High,Low,Close,Vol
4/16/2017,AKPL,0.0,326.0,297.0,326.0,9361
4/18/2017,AKPL,326.0,358.0,332.0,358.0,31151
4/19/2017,AKPL,358.0,393.0,365.0,393.0,10034
4/23/2017,AKPL,393.0,432.0,383.0,411.0,110978
4/24/2017,AKPL,411.0,408.0,385.0,402.0,53027
4/25/2017,AKPL,402.0,418.0,393.0,408.0,39076
4/26/2017,AKPL,408.0,448.0,403.0,441.0,35032
4/27/2017,AKPL,441.0,469.0,425.0,461.0,45822
4/30/2017,AKPL,461.0,460.0,438.0,445.0,52492
5/2/2017,AKPL,445.0,455.0,434.0,444.0,30617
5/3/2017,AKPL,444.0,457.0,436.0,438.0,24825
5/4/2017,AKPL,438.0,450.0,435.0,447.0,51497
5/7/2017,AKPL,447.0,450.0,437.0,439.0,29759
5/8/2017,AKPL,439.0,448.0,432.0,444.0,24419
5/9/2017,AKPL,444.0,474.0,441.0,467.0,48134
5/11/2017,AKPL,467.0,503.0,466.0,485.0,53131
5/15/2017,AKPL,485.0,493.0,475.0,477.0,20965
5/16/2017,AKPL,477.0,485.0,472.0,480.0,12819
5/17/2017,AKPL,480.0,484.0,472.0,481.0,14404
5/18/2017,AKPL,481.0,493.0,473.0,490.0,25777
5/21/2017,AKPL,490.0,485.0,465.0,484.0,11480
5/22/2017,AKPL,484.0,479.0,460.0,472.0,8730
5/23/2017,AKPL,472.0,483.0,465.0,468.0,11209
5/24/2017,AKPL,468.0,482.0,460.0,470.0,9904
5/28/2017,AKPL,470.0,475.0,461.0,467.0,7736
5/30/2017,AKPL,467.0,469.0,450.0,460.0,11667
5/31/2017,AKPL,460.0,469.0,451.0,460.0,8876
6/1/2017,AKPL,460.0,462.0,454.0,460.0,7009
6/4/2017,AKPL,460.0,459.0,444.0,450.0,8662
6/5/2017,AKPL,450.0,455.0,443.0,450.0,5406
6/6/2017,AKPL,450.0,463.0,441.0,457.0,5992
6/7/2017,AKPL,457.0,455.0,446.0,447.0,11678
6/8/2017,AKPL,447.0,449.0,437.0,448.0,9330
6/11/2017,AKPL,448.0,445.0,429.0,430.0,13870
6/12/2017,AKPL,430.0,435.0,416.0,422.0,10653
6/13/2017,AKPL,422.0,430.0,416.0,422.0,7280
6/14/2017,AKPL,422.0,430.0,415.0,430.0,4893
6/15/2017,AKPL,430.0,434.0,417.0,434.0,6410
6/18/2017,AKPL,434.0,435.0,415.0,418.0,2107
6/19/2017,AKPL,418.0,418.0,405.0,405.0,4938
6/20/2017,AKPL,405.0,421.0,400.0,412.0,4359
6/21/2017,AKPL,412.0,416.0,406.0,416.0,8927
6/22/2017,AKPL,416.0,420.0,415.0,418.0,2909
6/25/2017,AKPL,418.0,439.0,418.0,438.0,5526
6/27/2017,AKPL,438.0,439.0,427.0,429.0,2938
6/28/2017,AKPL,429.0,425.0,417.0,421.0,1161
7/2/2017,AKPL,421.0,420.0,405.0,410.0,3952
7/3/2017,AKPL,410.0,418.0,405.0,406.0,5055
7/4/2017,AKPL,406.0,412.0,400.0,409.0,1815
7/5/2017,AKPL,409.0,417.0,405.0,417.0,3711
7/6/2017,AKPL,417.0,425.0,409.0,425.0,1898
7/9/2017,AKPL,425.0,430.0,408.0,425.0,5553
