S.no,Symbol,Date,Open,High,Low,Close,Vol
4,ALDBL,2012-01-01.csv,102.0,101.0,101.0,101.0,30
3,ALDBL,2012-01-02.csv,101.0,99.0,99.0,99.0,200
3,ALDBL,2012-01-03.csv,99.0,106.0,98.0,106.0,290
2,ALDBL,2012-01-10.csv,106.0,104.0,104.0,104.0,110
3,ALDBL,2012-01-11.csv,104.0,102.0,95.0,97.0,220
4,ALDBL,2012-01-12.csv,97.0,100.0,96.0,100.0,350
2,ALDBL,2012-01-16.csv,100.0,102.0,98.0,102.0,320
4,ALDBL,2012-01-18.csv,102.0,104.0,104.0,104.0,20
3,ALDBL,2012-01-19.csv,104.0,102.0,102.0,102.0,20
4,ALDBL,2012-01-22.csv,102.0,101.0,101.0,101.0,100
3,ALDBL,2012-01-25.csv,101.0,99.0,97.0,98.0,250
5,ALDBL,2012-01-31.csv,98.0,97.0,96.0,96.0,170
4,ALDBL,2012-02-01.csv,96.0,98.0,95.0,98.0,760
4,ALDBL,2012-02-02.csv,98.0,97.0,93.0,93.0,380
5,ALDBL,2012-02-05.csv,93.0,94.0,92.0,92.0,"1,040"
3,ALDBL,2012-02-06.csv,92.0,96.0,92.0,95.0,"1,040"
5,ALDBL,2012-02-07.csv,95.0,96.0,95.0,95.0,430
3,ALDBL,2012-02-08.csv,95.0,95.0,94.0,95.0,340
2,ALDBL,2012-02-09.csv,95.0,94.0,91.0,91.0,340
4,ALDBL,2012-02-12.csv,91.0,91.0,90.0,90.0,250
2,ALDBL,2012-02-13.csv,90.0,92.0,89.0,92.0,140
2,ALDBL,2012-02-14.csv,92.0,93.0,93.0,93.0,10
3,ALDBL,2012-02-15.csv,93.0,94.0,94.0,94.0,180
4,ALDBL,2012-02-16.csv,94.0,97.0,95.0,97.0,430
4,ALDBL,2012-02-21.csv,97.0,100.0,96.0,100.0,"1,240"
3,ALDBL,2012-02-23.csv,100.0,95.0,92.0,92.0,510
4,ALDBL,2012-02-26.csv,92.0,91.0,87.0,91.0,550
4,ALDBL,2012-02-27.csv,91.0,98.0,91.0,98.0,760
3,ALDBL,2012-02-28.csv,98.0,100.0,99.0,99.0,450
4,ALDBL,2012-02-29.csv,99.0,99.0,97.0,99.0,680
4,ALDBL,2012-03-01.csv,99.0,101.0,100.0,101.0,190
2,ALDBL,2012-03-04.csv,101.0,100.0,100.0,100.0,430
3,ALDBL,2012-03-05.csv,100.0,99.0,99.0,99.0,20
3,ALDBL,2012-03-06.csv,99.0,98.0,96.0,96.0,210
3,ALDBL,2012-03-11.csv,96.0,96.0,94.0,94.0,40
4,ALDBL,2012-03-12.csv,94.0,94.0,94.0,94.0,60
3,ALDBL,2012-03-14.csv,94.0,93.0,93.0,93.0,10
4,ALDBL,2012-03-18.csv,93.0,91.0,89.0,90.0,580
3,ALDBL,2012-03-19.csv,90.0,94.0,91.0,94.0,150
2,ALDBL,2012-03-20.csv,94.0,95.0,95.0,95.0,380
4,ALDBL,2012-03-21.csv,95.0,97.0,95.0,97.0,320
2,ALDBL,2012-03-25.csv,97.0,100.0,97.0,98.0,500
4,ALDBL,2012-03-26.csv,98.0,98.0,98.0,98.0,20
3,ALDBL,2012-03-28.csv,98.0,100.0,99.0,100.0,490
1,ALDBL,2012-03-29.csv,100.0,102.0,98.0,100.0,90
3,ALDBL,2012-04-01.csv,100.0,101.0,98.0,98.0,200
3,ALDBL,2012-04-02.csv,98.0,99.0,99.0,99.0,50
3,ALDBL,2012-04-05.csv,99.0,100.0,97.0,99.0,300
4,ALDBL,2012-04-08.csv,99.0,98.0,98.0,98.0,10
3,ALDBL,2012-04-10.csv,98.0,97.0,97.0,97.0,100
3,ALDBL,2012-04-11.csv,97.0,98.0,96.0,98.0,140
2,ALDBL,2012-04-12.csv,98.0,100.0,99.0,100.0,40
4,ALDBL,2012-04-19.csv,100.0,108.0,102.0,108.0,220
4,ALDBL,2012-04-22.csv,108.0,110.0,110.0,110.0,60
