S.no,Symbol,Date,Open,High,Low,Close,Vol
5,ARDBL,2012-01-03.csv,91.0,90.0,90.0,90.0,20
4,ARDBL,2012-01-09.csv,90.0,89.0,87.0,87.0,240
4,ARDBL,2012-01-10.csv,90.0,86.0,79.0,79.0,400
5,ARDBL,2012-01-11.csv,79.0,78.0,72.0,72.0,"4,200"
6,ARDBL,2012-01-12.csv,72.0,73.0,72.0,73.0,"2,150"
4,ARDBL,2012-01-16.csv,73.0,74.0,72.0,72.0,630
3,ARDBL,2012-01-17.csv,72.0,73.0,70.0,71.0,640
6,ARDBL,2012-01-18.csv,71.0,72.0,70.0,70.0,420
5,ARDBL,2012-01-19.csv,70.0,72.0,70.0,72.0,370
6,ARDBL,2012-01-22.csv,72.0,73.0,71.0,71.0,910
5,ARDBL,2012-01-23.csv,71.0,73.0,70.0,70.0,"1,020"
5,ARDBL,2012-01-25.csv,70.0,70.0,70.0,70.0,310
4,ARDBL,2012-01-26.csv,70.0,73.0,70.0,73.0,"1,270"
3,ARDBL,2012-01-29.csv,73.0,74.0,72.0,72.0,430
7,ARDBL,2012-01-31.csv,72.0,74.0,71.0,74.0,900
6,ARDBL,2012-02-01.csv,74.0,75.0,73.0,75.0,"1,270"
6,ARDBL,2012-02-02.csv,75.0,76.0,74.0,76.0,"1,190"
6,ARDBL,2012-02-05.csv,76.0,77.0,76.0,76.0,90
4,ARDBL,2012-02-06.csv,76.0,75.0,72.0,72.0,480
6,ARDBL,2012-02-07.csv,72.0,73.0,70.0,73.0,"3,030"
4,ARDBL,2012-02-08.csv,73.0,74.0,71.0,74.0,"1,030"
3,ARDBL,2012-02-09.csv,74.0,74.0,73.0,73.0,"1,140"
5,ARDBL,2012-02-12.csv,73.0,72.0,69.0,69.0,430
3,ARDBL,2012-02-13.csv,69.0,72.0,70.0,72.0,"1,140"
3,ARDBL,2012-02-14.csv,72.0,76.0,71.0,76.0,240
4,ARDBL,2012-02-15.csv,76.0,77.0,72.0,72.0,440
5,ARDBL,2012-02-16.csv,72.0,71.0,70.0,71.0,270
5,ARDBL,2012-02-21.csv,71.0,72.0,70.0,71.0,730
4,ARDBL,2012-02-23.csv,71.0,71.0,70.0,71.0,"1,310"
5,ARDBL,2012-02-26.csv,71.0,72.0,70.0,72.0,"1,830"
5,ARDBL,2012-02-27.csv,72.0,72.0,70.0,71.0,"2,010"
4,ARDBL,2012-02-28.csv,71.0,72.0,71.0,71.0,"1,540"
5,ARDBL,2012-02-29.csv,71.0,73.0,72.0,73.0,360
5,ARDBL,2012-03-01.csv,73.0,74.0,72.0,72.0,"1,730"
3,ARDBL,2012-03-04.csv,72.0,72.0,71.0,72.0,40
4,ARDBL,2012-03-05.csv,72.0,73.0,71.0,71.0,420
4,ARDBL,2012-03-06.csv,71.0,70.0,69.0,70.0,530
4,ARDBL,2012-03-11.csv,70.0,71.0,70.0,71.0,"1,110"
5,ARDBL,2012-03-12.csv,71.0,72.0,72.0,72.0,520
5,ARDBL,2012-03-13.csv,72.0,71.0,70.0,71.0,840
5,ARDBL,2012-03-14.csv,71.0,72.0,71.0,72.0,140
3,ARDBL,2012-03-15.csv,72.0,72.0,70.0,71.0,280
6,ARDBL,2012-03-18.csv,71.0,72.0,68.0,70.0,"2,470"
5,ARDBL,2012-03-19.csv,70.0,73.0,71.0,71.0,"2,330"
4,ARDBL,2012-03-20.csv,71.0,71.0,70.0,70.0,750
6,ARDBL,2012-03-21.csv,70.0,71.0,70.0,71.0,410
4,ARDBL,2012-03-25.csv,71.0,72.0,71.0,71.0,220
6,ARDBL,2012-03-26.csv,71.0,70.0,68.0,68.0,"1,190"
5,ARDBL,2012-03-27.csv,68.0,68.0,67.0,68.0,220
5,ARDBL,2012-03-28.csv,68.0,69.0,69.0,69.0,"1,560"
3,ARDBL,2012-03-29.csv,69.0,70.0,69.0,69.0,610
5,ARDBL,2012-04-01.csv,69.0,70.0,69.0,69.0,710
5,ARDBL,2012-04-02.csv,69.0,72.0,69.0,72.0,830
4,ARDBL,2012-04-03.csv,72.0,72.0,71.0,71.0,720
4,ARDBL,2012-04-04.csv,71.0,71.0,70.0,71.0,100
5,ARDBL,2012-04-05.csv,71.0,71.0,71.0,71.0,180
6,ARDBL,2012-04-08.csv,71.0,71.0,69.0,71.0,470
3,ARDBL,2012-04-09.csv,71.0,72.0,71.0,71.0,150
5,ARDBL,2012-04-10.csv,71.0,71.0,70.0,70.0,900
5,ARDBL,2012-04-11.csv,70.0,72.0,71.0,71.0,500
4,ARDBL,2012-04-12.csv,71.0,76.0,72.0,76.0,380
5,ARDBL,2012-04-15.csv,76.0,81.0,77.0,81.0,250
2,ARDBL,2012-04-16.csv,81.0,82.0,82.0,82.0,10
4,ARDBL,2012-04-17.csv,82.0,85.0,82.0,84.0,"1,190"
4,ARDBL,2012-04-18.csv,84.0,91.0,82.0,91.0,"2,750"
6,ARDBL,2012-04-19.csv,91.0,92.0,88.0,88.0,760
6,ARDBL,2012-04-22.csv,88.0,91.0,87.0,91.0,950
3,ARDBL,2012-04-24.csv,91.0,92.0,92.0,92.0,90
4,ARDBL,2012-04-25.csv,92.0,93.0,93.0,93.0,20
5,ARDBL,2012-04-26.csv,93.0,100.0,94.0,100.0,690
6,ARDBL,2012-04-29.csv,100.0,102.0,98.0,100.0,"1,270"
5,ARDBL,2012-04-30.csv,100.0,102.0,98.0,98.0,260
4,ARDBL,2012-05-03.csv,98.0,99.0,98.0,99.0,230
5,ARDBL,2012-05-09.csv,99.0,100.0,98.0,99.0,430
4,ARDBL,2012-05-10.csv,99.0,98.0,97.0,97.0,70
3,ARDBL,2012-05-16.csv,97.0,97.0,96.0,97.0,"2,390"
3,ARDBL,2012-05-23.csv,97.0,96.0,95.0,95.0,"1,020"
4,ARDBL,2012-05-24.csv,95.0,94.0,94.0,94.0,20
3,ARDBL,2012-05-30.csv,94.0,90.0,90.0,90.0,60
3,ARDBL,2012-05-31.csv,90.0,89.0,88.0,88.0,80
3,ARDBL,2012-06-04.csv,88.0,88.0,87.0,88.0,40
6,ARDBL,2012-06-05.csv,88.0,88.0,88.0,88.0,190
4,ARDBL,2012-06-06.csv,88.0,96.0,87.0,96.0,"1,330"
4,ARDBL,2012-06-07.csv,96.0,102.0,93.0,100.0,"2,130"
6,ARDBL,2013-11-26.csv,100.0,102.0,102.0,102.0,30
5,ARDBL,2013-12-03.csv,102.0,108.0,102.0,107.0,420
6,ARDBL,2013-12-04.csv,107.0,117.0,109.0,117.0,"1,210"
6,ARDBL,2013-12-05.csv,117.0,127.0,119.0,125.0,"4,090"
6,ARDBL,2013-12-08.csv,125.0,132.0,127.0,128.0,"5,190"
6,ARDBL,2013-12-09.csv,129.0,141.0,126.0,141.0,"9,520"
6,ARDBL,2013-12-10.csv,141.0,149.0,139.0,139.0,"4,360"
6,ARDBL,2013-12-11.csv,139.0,137.0,126.0,126.0,"1,470"
6,ARDBL,2013-12-12.csv,126.0,127.0,120.0,124.0,"2,830"
6,ARDBL,2013-12-15.csv,124.0,136.0,124.0,136.0,"2,710"
6,ARDBL,2013-12-16.csv,136.0,148.0,138.0,148.0,420
4,ARDBL,2013-12-18.csv,148.0,150.0,148.0,150.0,"2,770"
6,ARDBL,2013-12-19.csv,150.0,156.0,147.0,156.0,"4,280"
6,ARDBL,2013-12-22.csv,156.0,153.0,148.0,148.0,"1,340"
7,ARDBL,2013-12-23.csv,148.0,146.0,140.0,140.0,850
7,ARDBL,2013-12-24.csv,140.0,144.0,136.0,136.0,"5,030"
7,ARDBL,2013-12-26.csv,136.0,145.0,134.0,140.0,"3,810"
7,ARDBL,2013-12-29.csv,140.0,144.0,134.0,137.0,"9,470"
6,ARDBL,2014-01-05.csv,137.0,133.0,131.0,131.0,990
7,ARDBL,2014-01-12.csv,131.0,129.0,129.0,129.0,240
7,ARDBL,2014-01-13.csv,129.0,128.0,127.0,127.0,870
7,ARDBL,2014-01-14.csv,127.0,125.0,123.0,123.0,430
7,ARDBL,2014-01-16.csv,123.0,121.0,113.0,113.0,"2,610"
7,ARDBL,2014-01-19.csv,113.0,115.0,113.0,113.0,210
6,ARDBL,2014-01-20.csv,113.0,111.0,107.0,107.0,240
7,ARDBL,2014-01-21.csv,107.0,112.0,105.0,110.0,"1,470"
7,ARDBL,2014-01-22.csv,110.0,116.0,108.0,116.0,"2,410"
6,ARDBL,2014-01-23.csv,116.0,120.0,112.0,119.0,"4,680"
6,ARDBL,2014-01-26.csv,119.0,130.0,113.0,130.0,"2,800"
7,ARDBL,2014-01-27.csv,130.0,142.0,128.0,140.0,"3,230"
6,ARDBL,2014-01-28.csv,140.0,142.0,136.0,136.0,260
6,ARDBL,2014-01-29.csv,136.0,134.0,128.0,128.0,620
7,ARDBL,2014-02-02.csv,128.0,126.0,124.0,124.0,210
6,ARDBL,2014-02-03.csv,124.0,122.0,118.0,118.0,"3,060"
7,ARDBL,2014-02-04.csv,118.0,118.0,114.0,117.0,"1,320"
6,ARDBL,2014-02-06.csv,120.0,131.0,120.0,131.0,"1,100"
7,ARDBL,2014-02-09.csv,131.0,132.0,123.0,123.0,"1,940"
6,ARDBL,2014-02-10.csv,123.0,128.0,125.0,127.0,"1,380"
5,ARDBL,2014-02-11.csv,127.0,137.0,127.0,135.0,"8,460"
7,ARDBL,2014-02-12.csv,135.0,138.0,132.0,137.0,"2,340"
7,ARDBL,2014-02-13.csv,137.0,135.0,131.0,131.0,"1,220"
7,ARDBL,2014-02-16.csv,131.0,135.0,133.0,135.0,"1,000"
7,ARDBL,2014-02-17.csv,135.0,141.0,137.0,140.0,"2,060"
7,ARDBL,2014-02-18.csv,140.0,148.0,139.0,146.0,"1,350"
7,ARDBL,2014-02-20.csv,146.0,148.0,144.0,147.0,"1,430"
7,ARDBL,2014-02-23.csv,147.0,151.0,147.0,149.0,"3,070"
7,ARDBL,2014-02-24.csv,149.0,147.0,147.0,147.0,100
7,ARDBL,2014-02-25.csv,147.0,147.0,141.0,141.0,160
6,ARDBL,2014-02-26.csv,141.0,139.0,137.0,139.0,680
7,ARDBL,2014-03-03.csv,139.0,137.0,137.0,137.0,640
5,ARDBL,2014-03-04.csv,137.0,136.0,124.0,126.0,970
7,ARDBL,2014-03-05.csv,126.0,128.0,122.0,128.0,"2,240"
7,ARDBL,2014-03-06.csv,128.0,127.0,120.0,124.0,"3,120"
7,ARDBL,2014-03-09.csv,124.0,123.0,122.0,123.0,"1,740"
6,ARDBL,2014-03-10.csv,123.0,129.0,121.0,129.0,"1,130"
6,ARDBL,2014-03-11.csv,129.0,132.0,127.0,129.0,"1,770"
6,ARDBL,2014-03-12.csv,129.0,129.0,127.0,127.0,290
12,ARDBL,2014-03-13.csv,127.0,125.0,125.0,125.0,250
13,ARDBL,2014-03-13.csv,127.0,125.0,125.0,125.0,250
6,ARDBL,2014-03-17.csv,125.0,127.0,119.0,120.0,"1,710"
6,ARDBL,2014-03-18.csv,120.0,123.0,118.0,123.0,910
7,ARDBL,2014-03-19.csv,123.0,123.0,121.0,123.0,210
7,ARDBL,2014-03-20.csv,123.0,123.0,123.0,123.0,70
6,ARDBL,2014-03-23.csv,123.0,124.0,121.0,122.0,460
6,ARDBL,2014-03-24.csv,122.0,125.0,124.0,125.0,"1,750"
6,ARDBL,2014-03-25.csv,125.0,125.0,119.0,125.0,410
6,ARDBL,2014-03-26.csv,125.0,127.0,124.0,127.0,200
7,ARDBL,2014-03-27.csv,127.0,129.0,128.0,129.0,930
7,ARDBL,2014-03-31.csv,129.0,129.0,129.0,129.0,600
7,ARDBL,2014-04-01.csv,129.0,132.0,127.0,131.0,"2,860"
6,ARDBL,2014-04-02.csv,131.0,132.0,129.0,132.0,530
