S.no,Symbol,Date,Open,High,Low,Close,Vol
7,BBBLNP,2012-03-26.csv,0.0,152.0,138.0,138.0,"20,196"
6,BBBLNP,2012-03-27.csv,138.0,136.0,125.0,125.0,"20,390"
5,BBBLNP,2012-04-18.csv,125.0,129.0,127.0,129.0,"13,706"
7,BBBLNP,2012-04-19.csv,129.0,131.0,129.0,131.0,"19,738"
7,BBBLNP,2012-04-22.csv,131.0,135.0,133.0,133.0,"17,735"
5,BBBLNP,2012-04-25.csv,133.0,135.0,135.0,135.0,"6,446"
6,BBBLNP,2012-04-26.csv,135.0,137.0,137.0,137.0,"11,258"
7,BBBLNP,2012-04-29.csv,137.0,139.0,139.0,139.0,"8,856"
6,BBBLNP,2012-04-30.csv,139.0,145.0,141.0,145.0,281
7,BBBLNP,2012-05-09.csv,145.0,147.0,147.0,147.0,388
