S.no,Symbol,Date,Open,High,Low,Close,Vol
6,BBC,2012-01-10.csv,2810.0,2760.0,2598.0,2598.0,277
6,BBC,2012-01-11.csv,2598.0,2547.0,2400.0,2400.0,195
6,BBC,2012-02-27.csv,2400.0,2352.0,2352.0,2352.0,98
6,BBC,2012-02-29.csv,2352.0,2469.0,2469.0,2469.0,430
4,BBC,2012-03-04.csv,2469.0,2420.0,2420.0,2420.0,"1,827"
5,BBC,2012-03-11.csv,2420.0,2419.0,2419.0,2419.0,500
6,BBC,2012-03-19.csv,2419.0,2450.0,2450.0,2450.0,690
5,BBC,2012-03-20.csv,2450.0,2401.0,2352.0,2352.0,319
7,BBC,2012-03-21.csv,2352.0,2399.0,2399.0,2399.0,690
5,BBC,2012-03-29.csv,2399.0,2399.0,2399.0,2399.0,50
5,BBC,2012-04-03.csv,2399.0,2399.0,2399.0,2399.0,50
6,BBC,2012-04-04.csv,2399.0,2352.0,2259.0,2259.0,309
6,BBC,2012-04-05.csv,2259.0,2259.0,2259.0,2259.0,50
7,BBC,2012-04-08.csv,2259.0,2214.0,2169.0,2169.0,530
5,BBC,2012-04-12.csv,2169.0,2169.0,2169.0,2169.0,300
4,BBC,2012-04-24.csv,2169.0,2126.0,2084.0,2084.0,"1,492"
6,BBC,2012-04-25.csv,2084.0,2100.0,2100.0,2100.0,500
5,BBC,2012-05-10.csv,2100.0,2058.0,2017.0,2017.0,550
3,BBC,2012-06-20.csv,2017.0,2049.0,2049.0,2049.0,100
3,BBC,2012-06-26.csv,2049.0,2050.0,2050.0,2050.0,24
5,BBC,2012-07-31.csv,2050.0,2010.0,2000.0,2000.0,110
5,BBC,2012-08-13.csv,2000.0,1961.0,1961.0,1961.0,10
5,BBC,2012-08-23.csv,1961.0,2000.0,2000.0,2000.0,10
4,BBC,2012-08-26.csv,2000.0,1960.0,1921.0,1921.0,510
4,BBC,2012-08-27.csv,1921.0,1883.0,1883.0,1883.0,10
5,BBC,2012-08-28.csv,1883.0,1846.0,1846.0,1846.0,10
4,BBC,2012-08-29.csv,1846.0,1810.0,1810.0,1810.0,10
3,BBC,2012-08-30.csv,1810.0,1774.0,1705.0,1705.0,30
5,BBC,2012-09-12.csv,1705.0,1773.0,1739.0,1773.0,20
6,BBC,2012-09-17.csv,1773.0,1808.0,1808.0,1808.0,10
4,BBC,2012-09-18.csv,1808.0,1772.0,1772.0,1772.0,50
4,BBC,2012-09-19.csv,1772.0,1807.0,1807.0,1807.0,10
4,BBC,2012-09-20.csv,1807.0,1800.0,1800.0,1800.0,10
5,BBC,2012-09-23.csv,1800.0,1800.0,1799.0,1800.0,30
5,BBC,2012-10-07.csv,1830.0,1829.0,1829.0,1829.0,348
5,BBC,2012-12-17.csv,1829.0,1793.0,1793.0,1793.0,100
5,BBC,2013-01-22.csv,1793.0,1758.0,1758.0,1758.0,10
4,BBC,2013-01-23.csv,1758.0,1793.0,1793.0,1793.0,500
6,BBC,2013-01-31.csv,1793.0,1828.0,1828.0,1828.0,10
4,BBC,2013-02-04.csv,1828.0,1864.0,1864.0,1864.0,10
4,BBC,2013-02-05.csv,1864.0,1901.0,1901.0,1901.0,10
4,BBC,2013-02-06.csv,1901.0,1939.0,1939.0,1939.0,10
4,BBC,2013-02-19.csv,1939.0,1901.0,1901.0,1901.0,320
3,BBC,2013-02-21.csv,1901.0,1863.0,1825.0,1825.0,564
4,BBC,2013-02-26.csv,1825.0,1790.0,1790.0,1790.0,162
2,BBC,2013-03-05.csv,1790.0,1760.0,1760.0,1760.0,10
5,BBC,2013-03-06.csv,1760.0,1725.0,1725.0,1725.0,145
4,BBC,2013-03-11.csv,1725.0,1695.0,1695.0,1695.0,60
4,BBC,2013-03-13.csv,1695.0,1720.0,1720.0,1720.0,35
2,BBC,2013-03-14.csv,1720.0,1686.0,1686.0,1686.0,80
4,BBC,2013-03-17.csv,1686.0,1670.0,1670.0,1670.0,28
3,BBC,2013-03-20.csv,1670.0,1637.0,1637.0,1637.0,24
3,BBC,2013-04-01.csv,1637.0,1650.0,1650.0,1650.0,300
5,BBC,2013-04-09.csv,1650.0,1640.0,1640.0,1640.0,20
1,BBC,2013-04-22.csv,1640.0,1670.0,1670.0,1670.0,10
3,BBC,2013-04-23.csv,1670.0,1672.0,1672.0,1672.0,10
