S.no,Symbol,Date,Open,High,Low,Close,Vol
8,BFCL,2015-07-15.csv,153.0,150.0,145.0,145.0,778
8,BFCL,2015-07-16.csv,145.0,144.0,131.0,132.0,"1,960"
6,BFCL,2015-07-22.csv,132.0,142.0,128.0,142.0,784
7,BFCL,2015-07-23.csv,142.0,144.0,134.0,144.0,"1,016"
6,BFCL,2015-07-26.csv,144.0,150.0,146.0,150.0,160
7,BFCL,2015-07-27.csv,150.0,153.0,148.0,148.0,926
7,BFCL,2015-07-28.csv,148.0,147.0,142.0,142.0,871
7,BFCL,2015-07-29.csv,142.0,140.0,134.0,138.0,"1,750"
8,BFCL,2015-07-30.csv,138.0,137.0,132.0,133.0,966
7,BFCL,2015-08-02.csv,133.0,141.0,135.0,141.0,171
7,BFCL,2015-08-03.csv,141.0,140.0,137.0,137.0,345
7,BFCL,2015-08-04.csv,137.0,139.0,131.0,137.0,"5,565"
7,BFCL,2015-08-05.csv,137.0,135.0,135.0,135.0,"2,609"
6,BFCL,2015-08-06.csv,135.0,136.0,134.0,134.0,"1,939"
6,BFCL,2015-08-09.csv,134.0,135.0,130.0,135.0,191
7,BFCL,2015-08-10.csv,135.0,134.0,130.0,132.0,784
7,BFCL,2015-08-12.csv,132.0,132.0,130.0,130.0,84
6,BFCL,2015-08-13.csv,130.0,128.0,124.0,125.0,972
7,BFCL,2015-08-16.csv,125.0,123.0,120.0,120.0,"1,302"
12,BFCL,2015-08-18.csv,120.0,122.0,120.0,120.0,"1,679"
13,BFCL,2015-08-18.csv,120.0,122.0,120.0,120.0,"1,679"
6,BFCL,2015-08-19.csv,120.0,126.0,122.0,124.0,87
6,BFCL,2015-08-20.csv,124.0,126.0,124.0,126.0,432
6,BFCL,2015-08-23.csv,126.0,124.0,124.0,124.0,28
6,BFCL,2015-08-24.csv,124.0,126.0,126.0,126.0,140
6,BFCL,2015-08-25.csv,126.0,126.0,120.0,122.0,"1,335"
6,BFCL,2015-08-26.csv,122.0,132.0,122.0,130.0,"2,810"
6,BFCL,2015-08-27.csv,130.0,130.0,128.0,129.0,"2,875"
6,BFCL,2015-08-31.csv,129.0,127.0,123.0,125.0,605
6,BFCL,2015-09-01.csv,125.0,127.0,125.0,126.0,"2,372"
6,BFCL,2015-09-02.csv,126.0,129.0,126.0,128.0,857
5,BFCL,2015-09-03.csv,128.0,128.0,126.0,126.0,188
5,BFCL,2015-09-06.csv,126.0,132.0,128.0,128.0,"1,429"
6,BFCL,2015-09-07.csv,128.0,132.0,128.0,130.0,"1,054"
5,BFCL,2015-09-08.csv,130.0,132.0,126.0,132.0,"4,193"
6,BFCL,2015-09-09.csv,132.0,132.0,130.0,132.0,401
6,BFCL,2015-09-10.csv,132.0,138.0,133.0,136.0,698
6,BFCL,2015-09-13.csv,136.0,135.0,133.0,135.0,443
6,BFCL,2015-09-14.csv,135.0,141.0,130.0,130.0,"5,300"
6,BFCL,2015-09-15.csv,130.0,130.0,128.0,130.0,476
6,BFCL,2015-09-16.csv,130.0,132.0,130.0,131.0,"1,783"
6,BFCL,2015-09-17.csv,131.0,134.0,133.0,134.0,350
6,BFCL,2015-09-22.csv,134.0,133.0,131.0,131.0,138
6,BFCL,2015-09-23.csv,131.0,131.0,131.0,131.0,616
6,BFCL,2015-09-24.csv,131.0,130.0,130.0,130.0,199
6,BFCL,2015-09-29.csv,130.0,128.0,127.0,128.0,172
6,BFCL,2015-09-30.csv,128.0,128.0,126.0,128.0,168
5,BFCL,2015-10-04.csv,128.0,130.0,126.0,130.0,"1,140"
6,BFCL,2015-10-05.csv,130.0,129.0,128.0,128.0,246
6,BFCL,2015-10-06.csv,128.0,136.0,126.0,131.0,"1,649"
6,BFCL,2015-10-07.csv,131.0,133.0,129.0,131.0,"2,992"
6,BFCL,2015-10-08.csv,131.0,134.0,130.0,134.0,194
7,BFCL,2015-10-11.csv,134.0,133.0,132.0,133.0,70
6,BFCL,2015-10-14.csv,133.0,135.0,135.0,135.0,28
6,BFCL,2015-10-15.csv,135.0,135.0,129.0,130.0,"1,949"
6,BFCL,2015-11-05.csv,130.0,130.0,128.0,128.0,"1,196"
7,BFCL,2015-11-08.csv,128.0,128.0,126.0,126.0,516
7,BFCL,2015-11-15.csv,126.0,125.0,123.0,123.0,"5,451"
6,BFCL,2015-11-16.csv,123.0,125.0,125.0,125.0,182
8,BFCL,2015-11-18.csv,125.0,127.0,122.0,124.0,550
8,BFCL,2015-11-19.csv,124.0,126.0,126.0,126.0,280
9,BFCL,2015-11-24.csv,126.0,124.0,120.0,120.0,232
8,BFCL,2015-11-25.csv,120.0,126.0,121.0,126.0,766
6,BFCL,2015-11-29.csv,126.0,125.0,123.0,123.0,"1,121"
5,BFCL,2015-11-30.csv,123.0,125.0,125.0,125.0,560
7,BFCL,2015-12-02.csv,125.0,123.0,123.0,123.0,92
7,BFCL,2015-12-07.csv,123.0,129.0,121.0,129.0,"1,096"
7,BFCL,2015-12-08.csv,129.0,129.0,127.0,127.0,468
7,BFCL,2015-12-10.csv,127.0,129.0,125.0,129.0,140
7,BFCL,2015-12-13.csv,129.0,129.0,127.0,127.0,129
7,BFCL,2015-12-14.csv,127.0,125.0,125.0,125.0,280
6,BFCL,2015-12-15.csv,125.0,125.0,122.0,122.0,182
6,BFCL,2015-12-16.csv,122.0,128.0,124.0,128.0,700
7,BFCL,2015-12-17.csv,128.0,132.0,126.0,132.0,588
7,BFCL,2015-12-20.csv,132.0,136.0,132.0,132.0,756
7,BFCL,2015-12-21.csv,132.0,134.0,134.0,134.0,101
7,BFCL,2015-12-23.csv,134.0,133.0,132.0,133.0,168
7,BFCL,2015-12-24.csv,133.0,131.0,129.0,129.0,196
7,BFCL,2015-12-27.csv,129.0,128.0,126.0,127.0,364
7,BFCL,2015-12-28.csv,127.0,128.0,125.0,127.0,"1,512"
7,BFCL,2015-12-29.csv,127.0,127.0,126.0,126.0,238
7,BFCL,2015-12-31.csv,126.0,131.0,126.0,129.0,252
8,BFCL,2016-01-03.csv,129.0,140.0,127.0,140.0,"1,468"
7,BFCL,2016-01-04.csv,140.0,140.0,133.0,133.0,"1,321"
8,BFCL,2016-01-05.csv,133.0,131.0,129.0,131.0,306
8,BFCL,2016-01-06.csv,131.0,131.0,130.0,130.0,"2,086"
7,BFCL,2016-01-07.csv,130.0,134.0,128.0,132.0,532
7,BFCL,2016-01-10.csv,132.0,132.0,126.0,126.0,762
7,BFCL,2016-01-11.csv,126.0,127.0,121.0,127.0,"3,289"
14,BFCL,2016-01-12.csv,127.0,130.0,123.0,128.0,"3,889"
15,BFCL,2016-01-12.csv,127.0,130.0,123.0,128.0,"3,889"
6,BFCL,2016-01-13.csv,128.0,135.0,126.0,133.0,"1,235"
8,BFCL,2016-01-14.csv,133.0,138.0,128.0,138.0,"2,980"
8,BFCL,2016-02-07.csv,138.0,140.0,140.0,140.0,21
8,BFCL,2016-02-08.csv,140.0,146.0,142.0,146.0,30
8,BFCL,2016-02-11.csv,146.0,160.0,148.0,160.0,60
8,BFCL,2016-02-14.csv,160.0,169.0,163.0,163.0,"1,601"
8,BFCL,2016-02-15.csv,163.0,160.0,154.0,154.0,128
8,BFCL,2016-02-16.csv,154.0,153.0,153.0,153.0,500
7,BFCL,2016-02-17.csv,153.0,159.0,156.0,157.0,140
8,BFCL,2016-02-18.csv,157.0,172.0,157.0,172.0,800
8,BFCL,2016-02-21.csv,172.0,178.0,175.0,178.0,110
8,BFCL,2016-02-22.csv,169.0,169.0,169.0,169.0,50
8,BFCL,2016-02-28.csv,169.0,168.0,168.0,168.0,510
7,BFCL,2016-03-02.csv,168.0,165.0,153.0,155.0,"3,003"
8,BFCL,2016-03-03.csv,155.0,155.0,150.0,153.0,401
8,BFCL,2016-03-06.csv,153.0,159.0,150.0,159.0,516
8,BFCL,2016-03-10.csv,159.0,174.0,162.0,165.0,"1,656"
8,BFCL,2016-03-13.csv,165.0,166.0,160.0,160.0,800
7,BFCL,2016-03-14.csv,160.0,176.0,160.0,176.0,"5,659"
8,BFCL,2016-03-15.csv,176.0,191.0,179.0,188.0,"4,338"
