S.no,Symbol,Date,Open,High,Low,Close,Vol
8,BOK,2012-01-01.csv,415.0,435.0,407.0,435.0,"5,719"
8,BOK,2012-01-02.csv,435.0,439.0,424.0,429.0,"11,071"
8,BOK,2012-01-03.csv,429.0,443.0,426.0,430.0,"10,059"
7,BOK,2012-01-04.csv,430.0,430.0,412.0,420.0,"4,549"
4,BOK,2012-01-05.csv,420.0,424.0,416.0,419.0,"6,742"
5,BOK,2012-01-08.csv,419.0,422.0,400.0,418.0,"60,658"
6,BOK,2012-01-09.csv,418.0,426.0,413.0,425.0,"4,883"
8,BOK,2012-01-10.csv,419.0,422.0,415.0,420.0,"4,596"
9,BOK,2012-01-11.csv,420.0,430.0,421.0,423.0,"3,360"
9,BOK,2012-01-12.csv,423.0,431.0,419.0,424.0,"4,195"
5,BOK,2012-01-16.csv,424.0,427.0,420.0,421.0,"3,950"
6,BOK,2012-01-17.csv,421.0,425.0,415.0,423.0,"4,069"
10,BOK,2012-01-18.csv,423.0,427.0,417.0,420.0,"5,050"
6,BOK,2012-01-19.csv,420.0,421.0,419.0,421.0,"5,036"
10,BOK,2012-01-22.csv,421.0,425.0,418.0,420.0,"5,728"
7,BOK,2012-01-23.csv,420.0,422.0,418.0,418.0,"3,200"
8,BOK,2012-01-25.csv,418.0,423.0,420.0,420.0,"3,487"
6,BOK,2012-01-26.csv,420.0,421.0,420.0,420.0,"4,233"
7,BOK,2012-01-29.csv,420.0,421.0,418.0,421.0,"3,788"
11,BOK,2012-01-31.csv,421.0,423.0,418.0,418.0,"4,206"
9,BOK,2012-02-01.csv,418.0,423.0,413.0,423.0,"11,531"
9,BOK,2012-02-02.csv,423.0,422.0,415.0,419.0,"6,219"
8,BOK,2012-02-05.csv,419.0,418.0,414.0,416.0,"5,778"
6,BOK,2012-02-06.csv,416.0,416.0,413.0,414.0,"5,962"
9,BOK,2012-02-07.csv,414.0,414.0,409.0,409.0,"8,442"
7,BOK,2012-02-08.csv,409.0,414.0,409.0,410.0,"3,634"
6,BOK,2012-02-09.csv,410.0,418.0,408.0,410.0,"5,300"
7,BOK,2012-02-12.csv,410.0,410.0,404.0,408.0,"3,335"
6,BOK,2012-02-13.csv,408.0,410.0,406.0,410.0,"1,446"
