Date,Symbol,Open,High,Low,Close,Vol
9/28/2016,BOKL,464.0,510.0,473.0,510.0,4437
9/29/2016,BOKL,510.0,561.0,520.0,561.0,50
10/2/2016,BOKL,561.0,617.0,572.0,617.0,469
10/3/2016,BOKL,617.0,678.0,629.0,678.0,420
10/4/2016,BOKL,678.0,745.0,691.0,745.0,3322
10/5/2016,BOKL,745.0,819.0,755.0,787.0,381177
10/6/2016,BOKL,787.0,794.0,775.0,780.0,178136
10/16/2016,BOKL,780.0,780.0,755.0,764.0,58598
10/17/2016,BOKL,764.0,770.0,736.0,752.0,75678
10/18/2016,BOKL,752.0,753.0,715.0,740.0,51936
10/19/2016,BOKL,740.0,751.0,735.0,738.0,34634
10/20/2016,BOKL,738.0,744.0,739.0,741.0,40919
10/23/2016,BOKL,741.0,750.0,723.0,730.0,48414
10/24/2016,BOKL,730.0,728.0,713.0,719.0,35840
10/25/2016,BOKL,719.0,730.0,706.0,720.0,39244
10/26/2016,BOKL,720.0,720.0,707.0,718.0,36563
10/27/2016,BOKL,718.0,729.0,714.0,719.0,45651
11/3/2016,BOKL,719.0,720.0,710.0,713.0,22970
11/7/2016,BOKL,713.0,714.0,705.0,706.0,49484
11/8/2016,BOKL,706.0,707.0,691.0,700.0,53317
11/9/2016,BOKL,700.0,700.0,666.0,688.0,42648
11/10/2016,BOKL,688.0,693.0,670.0,688.0,63495
11/13/2016,BOKL,688.0,688.0,666.0,676.0,42870
11/14/2016,BOKL,676.0,705.0,666.0,698.0,60427
11/15/2016,BOKL,698.0,710.0,692.0,698.0,66240
11/16/2016,BOKL,698.0,700.0,690.0,691.0,19983
11/17/2016,BOKL,691.0,690.0,660.0,675.0,53578
11/20/2016,BOKL,675.0,688.0,638.0,655.0,77691
11/21/2016,BOKL,655.0,669.0,631.0,658.0,67806
11/22/2016,BOKL,658.0,659.0,615.0,644.0,58544
11/23/2016,BOKL,644.0,650.0,620.0,630.0,77629
11/24/2016,BOKL,630.0,654.0,620.0,629.0,63443
11/27/2016,BOKL,629.0,635.0,611.0,617.0,73178
11/28/2016,BOKL,617.0,650.0,595.0,646.0,109608
11/29/2016,BOKL,646.0,658.0,609.0,651.0,96962
11/30/2016,BOKL,651.0,675.0,652.0,669.0,90494
12/1/2016,BOKL,669.0,682.0,654.0,669.0,66851
12/4/2016,BOKL,669.0,681.0,649.0,660.0,40874
12/5/2016,BOKL,660.0,660.0,646.0,653.0,45679
12/6/2016,BOKL,653.0,670.0,647.0,660.0,38914
12/7/2016,BOKL,660.0,673.0,633.0,658.0,31067
12/8/2016,BOKL,658.0,658.0,650.0,656.0,20692
12/11/2016,BOKL,656.0,658.0,640.0,641.0,34307
12/12/2016,BOKL,641.0,648.0,620.0,637.0,26635
12/14/2016,BOKL,637.0,645.0,635.0,639.0,25739
12/15/2016,BOKL,639.0,651.0,635.0,650.0,27803
12/18/2016,BOKL,650.0,650.0,638.0,646.0,41502
12/19/2016,BOKL,646.0,650.0,636.0,643.0,34377
12/20/2016,BOKL,643.0,640.0,625.0,625.0,25930
12/21/2016,BOKL,625.0,627.0,620.0,621.0,29990
12/22/2016,BOKL,621.0,626.0,615.0,620.0,19840
12/26/2016,BOKL,620.0,615.0,600.0,603.0,55924
12/27/2016,BOKL,603.0,609.0,578.0,595.0,43724
12/28/2016,BOKL,595.0,607.0,592.0,600.0,29792
12/29/2016,BOKL,600.0,625.0,596.0,615.0,42205
1/1/2017,BOKL,615.0,631.0,620.0,625.0,29831
1/2/2017,BOKL,625.0,640.0,623.0,625.0,37538
1/3/2017,BOKL,625.0,627.0,610.0,612.0,25697
1/4/2017,BOKL,612.0,618.0,600.0,614.0,16585
1/5/2017,BOKL,614.0,632.0,603.0,612.0,21291
1/8/2017,BOKL,612.0,614.0,606.0,613.0,149829
1/9/2017,BOKL,613.0,616.0,610.0,616.0,14193
1/10/2017,BOKL,616.0,626.0,617.0,621.0,16048
1/11/2017,BOKL,621.0,626.0,619.0,619.0,11953
1/12/2017,BOKL,619.0,620.0,614.0,614.0,11035
1/15/2017,BOKL,614.0,616.0,610.0,612.0,10360
1/16/2017,BOKL,612.0,613.0,608.0,609.0,7024
1/17/2017,BOKL,609.0,611.0,600.0,610.0,19781
1/18/2017,BOKL,610.0,613.0,608.0,611.0,11726
1/19/2017,BOKL,611.0,611.0,601.0,609.0,9518
1/22/2017,BOKL,609.0,611.0,605.0,606.0,12086
1/23/2017,BOKL,606.0,607.0,600.0,603.0,17889
1/24/2017,BOKL,603.0,603.0,590.0,596.0,21459
1/25/2017,BOKL,596.0,596.0,578.0,585.0,18628
1/26/2017,BOKL,585.0,585.0,565.0,570.0,32501
1/30/2017,BOKL,570.0,573.0,537.0,540.0,37872
1/31/2017,BOKL,540.0,560.0,510.0,545.0,16759
2/1/2017,BOKL,545.0,573.0,548.0,573.0,24179
