S.no,Symbol,Date,Open,High,Low,Close,Vol
8,BOKLPO,2016-10-19.csv,380.0,401.0,387.0,401.0,"37,800"
8,BOKLPO,2017-03-16.csv,401.0,405.0,405.0,405.0,"175,868"
9,BOKLPO,2017-08-27.csv,275.0,275.0,275.0,275.0,"60,000"
10,BOKLPO,2017-09-06.csv,275.0,270.0,270.0,270.0,"5,000"
10,BOKLPO,2017-11-12.csv,270.0,270.0,270.0,270.0,"107,060"
11,BOKLPO,2018-02-20.csv,211.0,211.0,211.0,211.0,"40,449"
10,BOKLPO,2018-03-29.csv,212.0,212.0,212.0,212.0,"27,441"
11,BOKLPO,2018-04-09.csv,212.0,212.0,212.0,212.0,"579,914"
9,BOKLPO,2018-06-27.csv,212.0,212.0,212.0,212.0,"5,285"
12,BOKLPO,2019-02-13.csv,150.0,150.0,150.0,150.0,"10,000"
12,BOKLPO,2019-04-01.csv,150.0,150.0,150.0,150.0,"1,400"
11,BOKLPO,2019-08-19.csv,150.0,150.0,150.0,150.0,"20,000"
11,BOKLPO,2019-09-25.csv,150.0,150.0,150.0,150.0,"13,148"
12,BOKLPO,2019-09-26.csv,150.0,150.0,150.0,150.0,"6,520"
12,BOKLPO,2019-09-29.csv,147.0,147.0,147.0,147.0,"140,000"
11,BOKLPO,2019-10-02.csv,160.0,160.0,160.0,160.0,"139,276"
10,BOKLPO,2019-12-29.csv,140.0,140.0,137.0,137.0,"50,880"
12,BOKLPO,2020-02-18.csv,202.0,202.0,160.25,160.25,"54,200"
12,BOKLPO,2020-03-05.csv,147.0,147.0,147.0,147.0,"28,762"
