S.no,Symbol,Date,Open,High,Low,Close,Vol
6,BOKPO,2013-04-25.csv,223.0,560.0,560.0,560.0,404
7,BOKPO,2013-05-22.csv,560.0,550.0,550.0,550.0,525
8,BOKPO,2013-06-26.csv,550.0,539.0,509.0,509.0,"6,252"
8,BOKPO,2013-10-02.csv,509.0,499.0,481.0,481.0,"35,390"
8,BOKPO,2013-10-03.csv,481.0,0.0,0.0,481.0,"118,600"
11,BOKPO,2015-07-22.csv,262.0,260.0,260.0,260.0,"10,000"
10,BOKPO,2015-09-08.csv,260.0,0.0,0.0,260.0,"10,090"
8,BOKPO,2015-10-19.csv,260.0,255.0,250.0,250.0,"162,106"
7,BOKPO,2015-11-30.csv,250.0,245.0,225.0,225.0,600
9,BOKPO,2015-12-01.csv,225.0,221.0,203.0,211.0,"6,600"
11,BOKPO,2015-12-02.csv,211.0,207.0,200.0,200.0,"243,749"
