Date,Symbol,Open,High,Low,Close,Vol
1/3/2016,BPCL,540.0,540.0,540.0,540.0,150
1/4/2016,BPCL,540.0,540.0,540.0,540.0,700
1/5/2016,BPCL,540.0,550.0,550.0,550.0,210
1/6/2016,BPCL,550.0,571.0,545.0,545.0,570
1/7/2016,BPCL,545.0,555.0,545.0,555.0,700
1/10/2016,BPCL,555.0,571.0,560.0,560.0,1933
1/11/2016,BPCL,560.0,581.0,570.0,581.0,550
1/12/2016,BPCL,581.0,611.0,590.0,592.0,1702
1/12/2016,BPCL,581.0,611.0,590.0,592.0,1702
1/13/2016,BPCL,592.0,620.0,596.0,601.0,3227
1/14/2016,BPCL,601.0,613.0,601.0,601.0,700
1/17/2016,BPCL,601.0,611.0,601.0,601.0,667
1/18/2016,BPCL,601.0,613.0,599.0,600.0,1470
1/19/2016,BPCL,600.0,590.0,583.0,583.0,700
1/20/2016,BPCL,583.0,599.0,590.0,593.0,1667
1/21/2016,BPCL,593.0,607.0,595.0,595.0,2121
1/25/2016,BPCL,595.0,595.0,592.0,592.0,792
1/26/2016,BPCL,592.0,603.0,585.0,585.0,1176
1/27/2016,BPCL,585.0,590.0,584.0,584.0,750
1/28/2016,BPCL,584.0,584.0,573.0,584.0,300
1/31/2016,BPCL,584.0,590.0,588.0,588.0,407
2/1/2016,BPCL,588.0,590.0,578.0,589.0,2550
2/2/2016,BPCL,589.0,587.0,575.0,585.0,1673
2/3/2016,BPCL,585.0,585.0,574.0,574.0,1500
2/4/2016,BPCL,574.0,630.0,580.0,615.0,10342
2/7/2016,BPCL,615.0,613.0,604.0,606.0,5834
2/8/2016,BPCL,606.0,625.0,615.0,622.0,4917
2/11/2016,BPCL,622.0,631.0,610.0,610.0,4650
2/14/2016,BPCL,610.0,602.0,602.0,602.0,100
2/15/2016,BPCL,602.0,608.0,600.0,608.0,540
2/16/2016,BPCL,608.0,610.0,610.0,610.0,10
2/17/2016,BPCL,610.0,605.0,595.0,595.0,2341
2/18/2016,BPCL,595.0,608.0,599.0,599.0,2540
2/21/2016,BPCL,599.0,605.0,600.0,600.0,440
2/22/2016,BPCL,600.0,612.0,590.0,590.0,1700
2/25/2016,BPCL,590.0,590.0,589.0,589.0,1285
2/28/2016,BPCL,589.0,600.0,575.0,575.0,19085
2/29/2016,BPCL,575.0,586.0,579.0,580.0,536
3/1/2016,BPCL,580.0,580.0,575.0,575.0,724
3/2/2016,BPCL,575.0,596.0,575.0,596.0,1750
3/3/2016,BPCL,596.0,595.0,586.0,590.0,811
3/6/2016,BPCL,590.0,590.0,590.0,590.0,200
3/10/2016,BPCL,590.0,610.0,590.0,610.0,7269
3/13/2016,BPCL,610.0,620.0,600.0,605.0,3033
3/14/2016,BPCL,605.0,608.0,600.0,601.0,1606
3/15/2016,BPCL,601.0,600.0,591.0,591.0,992
3/16/2016,BPCL,591.0,591.0,585.0,585.0,1320
3/17/2016,BPCL,585.0,595.0,590.0,595.0,1338
3/20/2016,BPCL,595.0,654.0,606.0,654.0,25965
3/21/2016,BPCL,654.0,688.0,640.0,644.0,15467
3/23/2016,BPCL,644.0,632.0,621.0,621.0,1371
3/24/2016,BPCL,621.0,611.0,611.0,611.0,50
3/27/2016,BPCL,611.0,642.0,615.0,620.0,5337
3/28/2016,BPCL,620.0,617.0,605.0,617.0,800
3/29/2016,BPCL,617.0,628.0,605.0,625.0,1667
3/30/2016,BPCL,625.0,637.0,615.0,616.0,560
3/31/2016,BPCL,616.0,630.0,616.0,630.0,2918
4/3/2016,BPCL,630.0,625.0,625.0,625.0,400
4/4/2016,BPCL,625.0,615.0,605.0,605.0,2100
4/5/2016,BPCL,605.0,617.0,610.0,612.0,2692
4/6/2016,BPCL,612.0,624.0,605.0,605.0,3200
4/10/2016,BPCL,605.0,617.0,617.0,617.0,200
4/11/2016,BPCL,617.0,608.0,608.0,608.0,212
4/12/2016,BPCL,608.0,612.0,607.0,610.0,5090
4/14/2016,BPCL,610.0,616.0,610.0,610.0,3330
4/17/2016,BPCL,610.0,620.0,608.0,612.0,3920
4/18/2016,BPCL,612.0,615.0,606.0,614.0,2183
4/19/2016,BPCL,614.0,615.0,610.0,615.0,2270
4/20/2016,BPCL,615.0,615.0,603.0,612.0,6304
4/21/2016,BPCL,612.0,612.0,604.0,608.0,5779
4/24/2016,BPCL,608.0,612.0,605.0,605.0,3630
4/25/2016,BPCL,605.0,608.0,600.0,600.0,4900
4/26/2016,BPCL,600.0,612.0,597.0,610.0,2705
4/27/2016,BPCL,610.0,601.0,600.0,601.0,500
4/28/2016,BPCL,601.0,603.0,601.0,602.0,1367
5/2/2016,BPCL,602.0,608.0,601.0,608.0,2305
5/3/2016,BPCL,608.0,615.0,603.0,610.0,717
5/4/2016,BPCL,610.0,610.0,602.0,610.0,4667
5/5/2016,BPCL,610.0,610.0,600.0,610.0,5355
5/8/2016,BPCL,610.0,609.0,601.0,601.0,2650
5/9/2016,BPCL,601.0,605.0,601.0,601.0,2882
5/10/2016,BPCL,601.0,610.0,600.0,605.0,2889
5/11/2016,BPCL,605.0,606.0,606.0,606.0,467
5/12/2016,BPCL,606.0,630.0,611.0,619.0,13538
5/15/2016,BPCL,619.0,617.0,612.0,613.0,3146
5/16/2016,BPCL,613.0,610.0,610.0,610.0,1666
5/17/2016,BPCL,610.0,612.0,600.0,602.0,4487
5/18/2016,BPCL,602.0,610.0,605.0,610.0,6092
5/19/2016,BPCL,610.0,621.0,615.0,620.0,3546
5/22/2016,BPCL,620.0,621.0,612.0,612.0,3565
5/23/2016,BPCL,612.0,620.0,608.0,608.0,10149
5/24/2016,BPCL,608.0,610.0,607.0,610.0,3131
5/25/2016,BPCL,610.0,620.0,612.0,620.0,6166
5/26/2016,BPCL,620.0,618.0,608.0,618.0,5067
5/29/2016,BPCL,618.0,640.0,622.0,635.0,13228
5/30/2016,BPCL,635.0,685.0,640.0,683.0,54576
5/31/2016,BPCL,683.0,739.0,693.0,738.0,79830
6/1/2016,BPCL,738.0,811.0,735.0,760.0,63264
6/2/2016,BPCL,760.0,752.0,728.0,748.0,18582
6/5/2016,BPCL,748.0,735.0,680.0,685.0,9944
6/6/2016,BPCL,685.0,711.0,685.0,708.0,11555
6/7/2016,BPCL,708.0,740.0,700.0,700.0,4305
6/8/2016,BPCL,700.0,719.0,686.0,704.0,10585
6/9/2016,BPCL,704.0,710.0,696.0,700.0,10259
6/12/2016,BPCL,700.0,734.0,707.0,709.0,6642
6/13/2016,BPCL,709.0,710.0,700.0,703.0,3346
6/14/2016,BPCL,703.0,773.0,715.0,773.0,4135
6/15/2016,BPCL,773.0,850.0,788.0,850.0,4650
6/16/2016,BPCL,850.0,935.0,839.0,849.0,66287
6/19/2016,BPCL,849.0,850.0,800.0,837.0,27590
6/20/2016,BPCL,837.0,845.0,800.0,824.0,24524
6/21/2016,BPCL,824.0,846.0,827.0,845.0,20894
6/22/2016,BPCL,845.0,889.0,845.0,872.0,27209
6/23/2016,BPCL,872.0,915.0,880.0,885.0,29770
6/26/2016,BPCL,885.0,925.0,895.0,924.0,51241
6/27/2016,BPCL,924.0,944.0,912.0,920.0,15972
6/28/2016,BPCL,920.0,928.0,900.0,925.0,28411
6/29/2016,BPCL,925.0,930.0,912.0,930.0,18162
6/30/2016,BPCL,930.0,929.0,909.0,929.0,9305
7/3/2016,BPCL,929.0,930.0,910.0,920.0,9163
7/4/2016,BPCL,920.0,940.0,910.0,910.0,6616
7/5/2016,BPCL,910.0,925.0,900.0,919.0,8513
7/6/2016,BPCL,919.0,929.0,915.0,924.0,12033
7/10/2016,BPCL,924.0,924.0,910.0,910.0,3868
7/11/2016,BPCL,910.0,914.0,896.0,906.0,3463
7/12/2016,BPCL,906.0,900.0,855.0,885.0,8765
7/13/2016,BPCL,885.0,895.0,880.0,885.0,2421
7/14/2016,BPCL,885.0,900.0,885.0,894.0,8633
7/17/2016,BPCL,894.0,890.0,871.0,875.0,1949
7/18/2016,BPCL,875.0,920.0,870.0,920.0,7334
7/19/2016,BPCL,920.0,926.0,895.0,895.0,7215
7/20/2016,BPCL,895.0,904.0,881.0,904.0,6108
7/21/2016,BPCL,904.0,900.0,891.0,898.0,3423
7/25/2016,BPCL,898.0,900.0,875.0,875.0,5446
7/26/2016,BPCL,875.0,907.0,880.0,892.0,15696
7/27/2016,BPCL,892.0,939.0,901.0,921.0,21438
7/28/2016,BPCL,921.0,939.0,920.0,938.0,40420
7/31/2016,BPCL,938.0,1008.0,920.0,995.0,49779
8/1/2016,BPCL,995.0,1030.0,960.0,970.0,15050
8/2/2016,BPCL,970.0,960.0,930.0,949.0,15360
8/3/2016,BPCL,949.0,960.0,920.0,940.0,9552
8/4/2016,BPCL,940.0,941.0,900.0,908.0,16312
8/7/2016,BPCL,908.0,944.0,910.0,915.0,12421
8/8/2016,BPCL,915.0,915.0,870.0,870.0,3283
8/9/2016,BPCL,870.0,922.0,887.0,922.0,110
8/10/2016,BPCL,922.0,940.0,900.0,922.0,15496
8/11/2016,BPCL,922.0,930.0,910.0,910.0,4200
8/14/2016,BPCL,910.0,910.0,880.0,882.0,7795
8/15/2016,BPCL,882.0,890.0,856.0,875.0,11093
8/16/2016,BPCL,875.0,895.0,875.0,895.0,6031
8/17/2016,BPCL,895.0,904.0,880.0,904.0,4700
8/21/2016,BPCL,904.0,900.0,882.0,882.0,600
8/22/2016,BPCL,882.0,870.0,840.0,840.0,1210
8/23/2016,BPCL,840.0,882.0,850.0,865.0,2525
8/24/2016,BPCL,865.0,878.0,849.0,878.0,2630
8/28/2016,BPCL,878.0,894.0,862.0,862.0,590
8/29/2016,BPCL,862.0,879.0,862.0,862.0,378
8/30/2016,BPCL,862.0,877.0,850.0,877.0,2749
8/31/2016,BPCL,877.0,860.0,813.0,839.0,13773
9/1/2016,BPCL,839.0,854.0,824.0,841.0,3967
9/3/2016,BPCL,841.0,850.0,837.0,845.0,1374
9/4/2016,BPCL,841.0,850.0,837.0,845.0,1374
9/5/2016,BPCL,845.0,852.0,840.0,840.0,3623
9/6/2016,BPCL,840.0,856.0,830.0,835.0,11024
9/7/2016,BPCL,835.0,845.0,825.0,840.0,2200
9/8/2016,BPCL,840.0,850.0,833.0,833.0,2964
9/11/2016,BPCL,833.0,840.0,828.0,830.0,4717
9/12/2016,BPCL,830.0,829.0,823.0,829.0,800
9/14/2016,BPCL,829.0,829.0,822.0,823.0,750
9/18/2016,BPCL,823.0,825.0,823.0,825.0,223
9/20/2016,BPCL,825.0,830.0,829.0,829.0,800
9/21/2016,BPCL,829.0,830.0,821.0,825.0,1450
9/22/2016,BPCL,825.0,820.0,810.0,818.0,2177
9/25/2016,BPCL,818.0,805.0,790.0,790.0,2236
9/26/2016,BPCL,790.0,810.0,790.0,801.0,2320
9/27/2016,BPCL,801.0,810.0,810.0,810.0,100
