S.no,Symbol,Date,Open,High,Low,Close,Vol
10,BSBL,2012-01-01.csv,117.0,115.0,115.0,115.0,20
10,BSBL,2012-01-03.csv,115.0,113.0,106.0,106.0,630
9,BSBL,2012-01-04.csv,106.0,104.0,100.0,100.0,"1,460"
5,BSBL,2012-01-05.csv,100.0,101.0,100.0,100.0,150
6,BSBL,2012-01-08.csv,100.0,103.0,101.0,103.0,"1,240"
10,BSBL,2012-01-10.csv,100.0,105.0,105.0,105.0,420
11,BSBL,2012-01-11.csv,105.0,105.0,105.0,105.0,120
11,BSBL,2012-01-12.csv,105.0,107.0,107.0,107.0,130
6,BSBL,2012-01-16.csv,107.0,105.0,103.0,104.0,320
7,BSBL,2012-01-17.csv,104.0,104.0,102.0,104.0,150
11,BSBL,2012-01-18.csv,104.0,105.0,102.0,104.0,360
7,BSBL,2012-01-19.csv,104.0,105.0,105.0,105.0,20
11,BSBL,2012-01-22.csv,105.0,105.0,103.0,105.0,490
8,BSBL,2012-01-23.csv,105.0,107.0,105.0,105.0,840
9,BSBL,2012-01-25.csv,105.0,105.0,103.0,105.0,400
7,BSBL,2012-01-26.csv,105.0,107.0,104.0,107.0,920
8,BSBL,2012-01-29.csv,107.0,107.0,105.0,105.0,380
12,BSBL,2012-01-31.csv,105.0,106.0,104.0,105.0,"1,880"
10,BSBL,2012-02-01.csv,105.0,106.0,104.0,106.0,"1,100"
10,BSBL,2012-02-02.csv,106.0,106.0,104.0,106.0,"1,030"
9,BSBL,2012-02-05.csv,106.0,108.0,106.0,106.0,370
7,BSBL,2012-02-06.csv,106.0,106.0,106.0,106.0,60
11,BSBL,2012-02-07.csv,106.0,105.0,105.0,105.0,50
8,BSBL,2012-02-08.csv,105.0,105.0,104.0,104.0,590
7,BSBL,2012-02-09.csv,104.0,104.0,103.0,103.0,870
8,BSBL,2012-02-12.csv,103.0,106.0,104.0,106.0,670
7,BSBL,2012-02-13.csv,106.0,109.0,104.0,108.0,630
7,BSBL,2012-02-14.csv,108.0,107.0,106.0,107.0,340
7,BSBL,2012-02-15.csv,107.0,108.0,107.0,108.0,270
9,BSBL,2012-02-16.csv,108.0,108.0,106.0,107.0,290
8,BSBL,2012-02-21.csv,107.0,111.0,106.0,108.0,"1,090"
7,BSBL,2012-02-23.csv,108.0,109.0,108.0,108.0,360
9,BSBL,2012-02-26.csv,108.0,108.0,106.0,106.0,"1,180"
11,BSBL,2012-02-27.csv,106.0,107.0,106.0,107.0,230
9,BSBL,2012-02-28.csv,107.0,108.0,106.0,108.0,800
10,BSBL,2012-02-29.csv,108.0,107.0,106.0,107.0,310
9,BSBL,2012-03-01.csv,107.0,107.0,107.0,107.0,360
8,BSBL,2012-03-04.csv,107.0,109.0,107.0,108.0,"1,130"
8,BSBL,2012-03-05.csv,108.0,108.0,106.0,106.0,670
8,BSBL,2012-03-06.csv,106.0,108.0,107.0,107.0,170
10,BSBL,2012-03-11.csv,107.0,109.0,106.0,107.0,"1,120"
9,BSBL,2012-03-12.csv,107.0,108.0,107.0,107.0,550
8,BSBL,2012-03-13.csv,107.0,108.0,107.0,108.0,480
10,BSBL,2012-03-14.csv,108.0,108.0,107.0,108.0,560
12,BSBL,2012-03-18.csv,108.0,109.0,106.0,106.0,"1,750"
11,BSBL,2012-03-19.csv,106.0,108.0,106.0,108.0,380
10,BSBL,2012-03-20.csv,108.0,108.0,105.0,105.0,210
13,BSBL,2012-03-21.csv,105.0,105.0,105.0,105.0,50
8,BSBL,2012-03-25.csv,105.0,105.0,103.0,105.0,890
12,BSBL,2012-03-26.csv,105.0,110.0,104.0,110.0,560
10,BSBL,2012-03-27.csv,110.0,108.0,104.0,104.0,320
9,BSBL,2012-03-28.csv,104.0,106.0,103.0,106.0,"1,970"
9,BSBL,2012-03-29.csv,106.0,110.0,104.0,104.0,"1,030"
9,BSBL,2012-04-01.csv,104.0,106.0,105.0,106.0,120
10,BSBL,2012-04-02.csv,106.0,108.0,104.0,107.0,730
9,BSBL,2012-04-03.csv,107.0,109.0,107.0,107.0,120
10,BSBL,2012-04-04.csv,107.0,109.0,104.0,106.0,"1,190"
10,BSBL,2012-04-05.csv,106.0,107.0,106.0,106.0,360
12,BSBL,2012-04-08.csv,106.0,108.0,104.0,108.0,320
8,BSBL,2012-04-09.csv,108.0,107.0,106.0,107.0,80
10,BSBL,2012-04-11.csv,107.0,113.0,109.0,110.0,730
11,BSBL,2012-04-12.csv,110.0,118.0,112.0,118.0,250
11,BSBL,2012-04-15.csv,118.0,120.0,120.0,120.0,40
6,BSBL,2012-04-16.csv,120.0,122.0,122.0,122.0,40
10,BSBL,2012-04-17.csv,122.0,124.0,124.0,124.0,190
11,BSBL,2012-04-18.csv,124.0,126.0,122.0,126.0,550
12,BSBL,2012-04-19.csv,126.0,134.0,128.0,134.0,"1,050"
11,BSBL,2012-04-22.csv,134.0,146.0,136.0,146.0,"1,820"
7,BSBL,2012-04-24.csv,146.0,153.0,148.0,153.0,220
9,BSBL,2012-04-25.csv,153.0,159.0,156.0,159.0,120
10,BSBL,2012-04-26.csv,159.0,162.0,156.0,162.0,"1,710"
12,BSBL,2012-04-29.csv,162.0,160.0,160.0,160.0,260
12,BSBL,2012-04-30.csv,160.0,157.0,148.0,148.0,490
9,BSBL,2012-05-03.csv,148.0,150.0,150.0,150.0,20
4,BSBL,2012-05-07.csv,150.0,153.0,153.0,153.0,110
9,BSBL,2012-05-08.csv,153.0,153.0,150.0,150.0,730
13,BSBL,2012-05-09.csv,150.0,147.0,144.0,145.0,980
11,BSBL,2012-05-10.csv,145.0,145.0,141.0,143.0,450
7,BSBL,2012-05-13.csv,143.0,141.0,139.0,139.0,60
6,BSBL,2012-05-14.csv,139.0,137.0,130.0,130.0,"1,000"
8,BSBL,2012-05-15.csv,130.0,143.0,132.0,141.0,770
8,BSBL,2012-05-17.csv,141.0,145.0,143.0,145.0,"1,420"
10,BSBL,2012-05-20.csv,145.0,145.0,145.0,145.0,100
8,BSBL,2012-05-27.csv,145.0,145.0,139.0,141.0,700
6,BSBL,2012-06-03.csv,141.0,139.0,135.0,135.0,150
8,BSBL,2012-06-04.csv,135.0,137.0,134.0,135.0,320
12,BSBL,2012-06-05.csv,135.0,133.0,125.0,126.0,"1,820"
9,BSBL,2012-06-06.csv,126.0,124.0,122.0,123.0,450
8,BSBL,2012-06-07.csv,123.0,122.0,121.0,122.0,470
6,BSBL,2012-06-10.csv,122.0,122.0,116.0,117.0,"1,070"
9,BSBL,2012-06-12.csv,117.0,118.0,116.0,118.0,210
6,BSBL,2012-06-13.csv,118.0,123.0,120.0,120.0,750
10,BSBL,2012-06-14.csv,120.0,128.0,119.0,128.0,520
6,BSBL,2012-06-17.csv,128.0,128.0,122.0,122.0,670
6,BSBL,2012-06-18.csv,122.0,122.0,120.0,122.0,620
7,BSBL,2012-06-19.csv,122.0,122.0,119.0,121.0,550
7,BSBL,2012-06-20.csv,121.0,124.0,120.0,121.0,"1,820"
7,BSBL,2012-06-21.csv,121.0,124.0,120.0,124.0,270
6,BSBL,2012-06-25.csv,124.0,124.0,122.0,124.0,250
7,BSBL,2012-06-26.csv,124.0,127.0,124.0,127.0,210
8,BSBL,2012-06-27.csv,127.0,129.0,129.0,129.0,180
6,BSBL,2012-07-01.csv,129.0,128.0,124.0,125.0,380
8,BSBL,2012-07-02.csv,125.0,125.0,123.0,123.0,790
7,BSBL,2012-07-03.csv,123.0,125.0,122.0,125.0,250
8,BSBL,2012-07-04.csv,125.0,127.0,125.0,127.0,600
6,BSBL,2012-07-05.csv,127.0,126.0,126.0,126.0,170
6,BSBL,2012-07-08.csv,126.0,124.0,123.0,124.0,280
7,BSBL,2012-07-09.csv,124.0,122.0,122.0,122.0,360
6,BSBL,2012-07-10.csv,122.0,126.0,121.0,123.0,580
7,BSBL,2012-07-11.csv,123.0,124.0,122.0,122.0,"1,140"
7,BSBL,2012-07-12.csv,122.0,124.0,122.0,123.0,"1,350"
6,BSBL,2012-07-15.csv,123.0,125.0,122.0,125.0,"1,500"
5,BSBL,2012-07-16.csv,125.0,127.0,121.0,124.0,830
6,BSBL,2012-07-17.csv,124.0,126.0,121.0,126.0,520
6,BSBL,2012-07-18.csv,126.0,136.0,128.0,136.0,160
8,BSBL,2012-07-19.csv,136.0,143.0,135.0,138.0,"2,020"
7,BSBL,2012-07-22.csv,138.0,142.0,138.0,140.0,540
8,BSBL,2012-07-23.csv,140.0,148.0,142.0,145.0,"2,160"
7,BSBL,2012-07-24.csv,145.0,143.0,141.0,143.0,370
7,BSBL,2012-07-25.csv,143.0,145.0,143.0,143.0,"1,200"
6,BSBL,2012-07-29.csv,143.0,141.0,137.0,138.0,950
6,BSBL,2012-07-30.csv,138.0,141.0,134.0,141.0,"1,380"
9,BSBL,2012-07-31.csv,141.0,140.0,139.0,139.0,180
7,BSBL,2012-08-01.csv,139.0,139.0,137.0,137.0,240
8,BSBL,2012-08-05.csv,137.0,142.0,137.0,140.0,540
8,BSBL,2012-08-06.csv,140.0,149.0,140.0,146.0,"1,480"
8,BSBL,2012-08-07.csv,146.0,146.0,142.0,142.0,730
8,BSBL,2012-08-08.csv,142.0,143.0,139.0,143.0,810
6,BSBL,2012-08-12.csv,143.0,141.0,139.0,139.0,100
9,BSBL,2012-08-13.csv,139.0,138.0,137.0,138.0,330
7,BSBL,2012-08-14.csv,138.0,139.0,136.0,137.0,"1,480"
6,BSBL,2012-08-15.csv,137.0,137.0,135.0,135.0,800
8,BSBL,2012-08-16.csv,135.0,137.0,135.0,137.0,350
9,BSBL,2012-08-21.csv,137.0,139.0,135.0,139.0,640
8,BSBL,2012-08-22.csv,139.0,144.0,135.0,144.0,810
8,BSBL,2012-08-23.csv,144.0,142.0,140.0,140.0,860
7,BSBL,2012-08-26.csv,140.0,139.0,137.0,139.0,560
7,BSBL,2012-08-27.csv,139.0,142.0,140.0,141.0,"1,010"
8,BSBL,2012-08-28.csv,141.0,142.0,140.0,141.0,500
7,BSBL,2012-08-29.csv,141.0,144.0,138.0,143.0,"1,580"
6,BSBL,2012-08-30.csv,143.0,145.0,140.0,145.0,"1,220"
9,BSBL,2012-09-02.csv,145.0,148.0,146.0,147.0,650
8,BSBL,2012-09-03.csv,147.0,149.0,146.0,149.0,"1,090"
7,BSBL,2012-09-04.csv,149.0,147.0,147.0,147.0,300
