S.no,Symbol,Date,Open,High,Low,Close,Vol
7,BUDBL,2012-07-08.csv,117.0,117.0,115.0,115.0,"2,526"
8,BUDBL,2012-07-09.csv,115.0,115.0,113.0,114.0,"2,215"
7,BUDBL,2012-07-10.csv,114.0,115.0,112.0,115.0,894
8,BUDBL,2012-07-11.csv,115.0,117.0,111.0,111.0,"3,397"
8,BUDBL,2012-07-12.csv,111.0,113.0,111.0,111.0,"3,067"
7,BUDBL,2012-07-15.csv,111.0,112.0,112.0,112.0,500
6,BUDBL,2012-07-16.csv,112.0,113.0,112.0,113.0,"5,924"
7,BUDBL,2012-07-17.csv,113.0,114.0,114.0,114.0,451
7,BUDBL,2012-07-18.csv,114.0,115.0,113.0,115.0,"1,587"
9,BUDBL,2012-07-19.csv,115.0,119.0,117.0,119.0,260
8,BUDBL,2012-07-22.csv,119.0,122.0,118.0,122.0,600
9,BUDBL,2012-07-23.csv,122.0,124.0,119.0,121.0,"3,658"
8,BUDBL,2012-07-24.csv,121.0,121.0,118.0,118.0,"2,105"
8,BUDBL,2012-07-25.csv,118.0,118.0,117.0,117.0,909
6,BUDBL,2012-07-26.csv,117.0,117.0,115.0,117.0,688
7,BUDBL,2012-07-30.csv,117.0,119.0,117.0,118.0,129
10,BUDBL,2012-07-31.csv,118.0,120.0,118.0,118.0,695
8,BUDBL,2012-08-01.csv,118.0,119.0,119.0,119.0,910
9,BUDBL,2012-08-05.csv,119.0,120.0,119.0,120.0,226
9,BUDBL,2012-08-06.csv,120.0,118.0,118.0,118.0,460
9,BUDBL,2012-08-07.csv,118.0,119.0,119.0,119.0,205
7,BUDBL,2012-08-12.csv,119.0,117.0,117.0,117.0,74
10,BUDBL,2012-08-13.csv,117.0,117.0,115.0,116.0,729
7,BUDBL,2012-08-15.csv,116.0,117.0,115.0,115.0,"1,737"
9,BUDBL,2012-08-16.csv,115.0,114.0,114.0,114.0,"1,134"
10,BUDBL,2012-08-21.csv,114.0,116.0,115.0,115.0,"1,978"
9,BUDBL,2012-08-22.csv,115.0,117.0,116.0,117.0,841
9,BUDBL,2012-08-23.csv,117.0,119.0,117.0,118.0,204
8,BUDBL,2012-08-26.csv,118.0,116.0,116.0,116.0,100
8,BUDBL,2012-08-27.csv,116.0,115.0,115.0,115.0,680
9,BUDBL,2012-08-28.csv,115.0,114.0,112.0,114.0,"3,489"
8,BUDBL,2012-08-29.csv,114.0,115.0,114.0,115.0,185
7,BUDBL,2012-08-30.csv,115.0,114.0,114.0,114.0,170
10,BUDBL,2012-09-02.csv,114.0,117.0,116.0,117.0,768
9,BUDBL,2012-09-03.csv,117.0,119.0,119.0,119.0,358
8,BUDBL,2012-09-04.csv,119.0,118.0,117.0,117.0,220
10,BUDBL,2012-09-06.csv,117.0,119.0,115.0,115.0,"5,091"
7,BUDBL,2012-09-09.csv,115.0,113.0,113.0,113.0,45
10,BUDBL,2012-09-11.csv,113.0,114.0,113.0,114.0,403
10,BUDBL,2012-09-12.csv,114.0,115.0,113.0,113.0,980
9,BUDBL,2012-09-13.csv,113.0,117.0,113.0,117.0,"1,014"
9,BUDBL,2012-09-16.csv,117.0,115.0,113.0,113.0,723
9,BUDBL,2012-09-18.csv,113.0,115.0,114.0,115.0,685
9,BUDBL,2012-09-19.csv,115.0,115.0,115.0,115.0,100
8,BUDBL,2012-09-20.csv,115.0,113.0,108.0,108.0,"1,641"
10,BUDBL,2012-09-23.csv,108.0,114.0,110.0,114.0,"1,010"
10,BUDBL,2012-09-24.csv,114.0,113.0,113.0,113.0,"1,028"
9,BUDBL,2012-09-25.csv,113.0,112.0,109.0,109.0,"1,905"
9,BUDBL,2012-09-26.csv,109.0,111.0,108.0,110.0,"47,537"
9,BUDBL,2012-09-30.csv,110.0,110.0,110.0,110.0,328
8,BUDBL,2012-10-02.csv,110.0,109.0,108.0,108.0,"2,257"
9,BUDBL,2012-10-03.csv,108.0,110.0,110.0,110.0,200
8,BUDBL,2012-10-04.csv,110.0,110.0,110.0,110.0,500
10,BUDBL,2012-10-07.csv,110.0,111.0,110.0,110.0,661
11,BUDBL,2012-10-08.csv,110.0,108.0,106.0,106.0,"1,176"
7,BUDBL,2012-10-09.csv,106.0,111.0,108.0,110.0,"4,500"
7,BUDBL,2012-10-10.csv,110.0,111.0,110.0,110.0,"1,900"
10,BUDBL,2012-10-11.csv,110.0,112.0,112.0,112.0,100
10,BUDBL,2012-10-15.csv,112.0,112.0,110.0,112.0,"1,752"
6,BUDBL,2012-10-30.csv,112.0,114.0,114.0,114.0,200
6,BUDBL,2012-10-31.csv,114.0,116.0,116.0,116.0,260
7,BUDBL,2012-11-01.csv,116.0,114.0,112.0,112.0,"1,150"
7,BUDBL,2012-11-04.csv,112.0,110.0,110.0,110.0,"1,200"
8,BUDBL,2012-11-05.csv,110.0,117.0,112.0,115.0,"1,385"
9,BUDBL,2012-11-06.csv,115.0,117.0,115.0,117.0,"3,219"
8,BUDBL,2012-11-07.csv,117.0,117.0,115.0,117.0,"1,030"
7,BUDBL,2012-11-08.csv,117.0,119.0,116.0,116.0,"2,380"
5,BUDBL,2012-11-11.csv,116.0,118.0,116.0,118.0,"1,625"
6,BUDBL,2012-11-12.csv,118.0,118.0,116.0,118.0,"7,615"
8,BUDBL,2012-11-18.csv,118.0,118.0,116.0,116.0,774
10,BUDBL,2012-11-20.csv,116.0,122.0,118.0,122.0,"3,008"
8,BUDBL,2012-11-21.csv,122.0,122.0,114.0,116.0,"1,268"
10,BUDBL,2012-11-25.csv,116.0,118.0,118.0,118.0,66
9,BUDBL,2012-11-26.csv,118.0,117.0,114.0,116.0,"1,688"
8,BUDBL,2012-11-27.csv,116.0,118.0,116.0,116.0,"2,113"
9,BUDBL,2012-11-28.csv,116.0,118.0,118.0,118.0,40
9,BUDBL,2012-11-29.csv,118.0,117.0,117.0,117.0,100
9,BUDBL,2012-12-02.csv,117.0,115.0,115.0,115.0,30
8,BUDBL,2012-12-03.csv,115.0,113.0,113.0,113.0,898
9,BUDBL,2012-12-04.csv,113.0,113.0,110.0,110.0,"1,028"
8,BUDBL,2012-12-05.csv,110.0,112.0,109.0,111.0,"31,003"
7,BUDBL,2012-12-06.csv,111.0,112.0,112.0,112.0,500
8,BUDBL,2012-12-10.csv,112.0,113.0,113.0,113.0,300
8,BUDBL,2012-12-11.csv,113.0,113.0,113.0,113.0,"1,000"
7,BUDBL,2012-12-13.csv,113.0,111.0,109.0,109.0,400
8,BUDBL,2012-12-16.csv,109.0,111.0,111.0,111.0,200
8,BUDBL,2012-12-17.csv,111.0,116.0,110.0,116.0,"1,415"
6,BUDBL,2012-12-18.csv,116.0,120.0,118.0,120.0,100
