S.no,Symbol,Date,Open,High,Low,Close,Vol
6,CBBL,2012-01-05.csv,346.0,340.0,340.0,340.0,20
12,CBBL,2012-01-11.csv,340.0,334.0,328.0,328.0,30
8,CBBL,2012-01-19.csv,328.0,322.0,322.0,322.0,21
10,CBBL,2012-01-25.csv,322.0,323.0,323.0,323.0,977
8,CBBL,2012-02-06.csv,323.0,320.0,320.0,320.0,20
9,CBBL,2012-02-08.csv,320.0,326.0,326.0,326.0,158
10,CBBL,2012-02-16.csv,326.0,320.0,314.0,314.0,138
8,CBBL,2012-02-23.csv,314.0,309.0,297.0,297.0,50
10,CBBL,2012-02-28.csv,297.0,292.0,277.0,277.0,178
11,CBBL,2012-02-29.csv,277.0,282.0,282.0,282.0,82
10,CBBL,2012-03-01.csv,282.0,277.0,254.0,254.0,"1,795"
9,CBBL,2012-03-04.csv,254.0,249.0,249.0,249.0,126
9,CBBL,2012-03-05.csv,249.0,246.0,242.0,242.0,31
11,CBBL,2012-03-20.csv,242.0,246.0,246.0,246.0,158
9,CBBL,2012-03-25.csv,246.0,250.0,250.0,250.0,157
10,CBBL,2012-03-28.csv,250.0,251.0,251.0,251.0,84
13,CBBL,2012-04-08.csv,251.0,256.0,256.0,256.0,110
12,CBBL,2012-04-12.csv,256.0,253.0,253.0,253.0,476
11,CBBL,2012-04-26.csv,253.0,258.0,258.0,258.0,"2,175"
7,CBBL,2012-05-14.csv,258.0,273.0,263.0,273.0,"1,927"
9,CBBL,2012-05-17.csv,273.0,293.0,278.0,293.0,288
9,CBBL,2012-05-24.csv,293.0,288.0,288.0,288.0,319
9,CBBL,2012-06-07.csv,288.0,293.0,293.0,293.0,472
10,CBBL,2012-06-12.csv,293.0,288.0,283.0,283.0,658
7,CBBL,2012-06-17.csv,283.0,288.0,288.0,288.0,420
7,CBBL,2012-07-01.csv,288.0,286.0,286.0,286.0,157
9,CBBL,2012-07-11.csv,286.0,314.0,291.0,314.0,"1,141"
8,CBBL,2012-07-17.csv,314.0,345.0,320.0,345.0,160
8,CBBL,2012-07-18.csv,345.0,379.0,351.0,379.0,443
10,CBBL,2012-07-19.csv,379.0,400.0,379.0,379.0,906
10,CBBL,2012-07-23.csv,379.0,375.0,374.0,374.0,58
9,CBBL,2012-07-24.csv,374.0,395.0,381.0,395.0,644
7,CBBL,2012-07-26.csv,395.0,388.0,388.0,388.0,16
11,CBBL,2012-07-31.csv,388.0,388.0,381.0,388.0,"1,437"
9,CBBL,2012-08-01.csv,388.0,402.0,395.0,396.0,64
10,CBBL,2012-08-06.csv,396.0,389.0,389.0,389.0,100
11,CBBL,2012-08-13.csv,389.0,390.0,390.0,390.0,525
10,CBBL,2012-08-16.csv,390.0,396.0,385.0,385.0,210
7,CBBL,2012-08-19.csv,385.0,378.0,371.0,371.0,380
10,CBBL,2012-08-28.csv,371.0,364.0,364.0,364.0,10
9,CBBL,2012-08-29.csv,364.0,373.0,340.0,373.0,435
8,CBBL,2012-08-30.csv,373.0,376.0,369.0,375.0,"1,755"
11,CBBL,2012-09-02.csv,375.0,382.0,382.0,382.0,21
10,CBBL,2012-09-03.csv,382.0,376.0,376.0,376.0,796
9,CBBL,2012-09-04.csv,376.0,384.0,377.0,377.0,344
6,CBBL,2012-09-05.csv,377.0,384.0,384.0,384.0,42
11,CBBL,2012-09-06.csv,384.0,384.0,377.0,377.0,880
8,CBBL,2012-09-09.csv,377.0,375.0,375.0,375.0,420
9,CBBL,2012-09-10.csv,375.0,373.0,368.0,373.0,"2,000"
11,CBBL,2012-09-11.csv,373.0,372.0,372.0,372.0,"1,000"
11,CBBL,2012-09-12.csv,372.0,380.0,374.0,380.0,230
10,CBBL,2012-09-16.csv,380.0,418.0,380.0,418.0,"2,184"
11,CBBL,2012-09-17.csv,418.0,450.0,426.0,440.0,891
10,CBBL,2012-09-18.csv,440.0,433.0,415.0,422.0,"1,457"
10,CBBL,2012-09-19.csv,422.0,430.0,422.0,422.0,50
9,CBBL,2012-09-20.csv,422.0,430.0,422.0,424.0,563
11,CBBL,2012-09-23.csv,424.0,416.0,416.0,416.0,261
11,CBBL,2012-09-24.csv,416.0,408.0,402.0,402.0,618
10,CBBL,2012-09-25.csv,402.0,405.0,405.0,405.0,50
10,CBBL,2012-09-26.csv,405.0,413.0,412.0,413.0,370
10,CBBL,2012-09-30.csv,416.0,420.0,420.0,420.0,100
10,CBBL,2012-10-03.csv,420.0,428.0,428.0,428.0,26
12,CBBL,2012-10-08.csv,428.0,425.0,417.0,417.0,377
8,CBBL,2012-10-09.csv,417.0,425.0,425.0,425.0,21
8,CBBL,2012-10-10.csv,425.0,441.0,432.0,441.0,304
7,CBBL,2012-10-30.csv,441.0,474.0,449.0,474.0,69
8,CBBL,2012-11-01.csv,474.0,471.0,452.0,452.0,"1,494"
8,CBBL,2012-11-04.csv,452.0,456.0,451.0,456.0,"1,002"
9,CBBL,2012-11-05.csv,456.0,465.0,460.0,460.0,730
10,CBBL,2012-11-06.csv,460.0,487.0,469.0,478.0,288
9,CBBL,2012-11-07.csv,478.0,472.0,471.0,472.0,155
8,CBBL,2012-11-08.csv,472.0,479.0,470.0,475.0,"1,779"
6,CBBL,2012-11-11.csv,475.0,474.0,470.0,474.0,494
7,CBBL,2012-11-12.csv,474.0,475.0,470.0,470.0,184
11,CBBL,2012-11-20.csv,470.0,478.0,475.0,476.0,780
9,CBBL,2012-11-21.csv,476.0,485.0,484.0,485.0,140
8,CBBL,2012-11-22.csv,485.0,499.0,476.0,497.0,"1,027"
11,CBBL,2012-11-25.csv,497.0,493.0,493.0,493.0,20
9,CBBL,2012-12-11.csv,493.0,391.0,391.0,391.0,100
8,CBBL,2012-12-13.csv,391.0,405.0,398.0,405.0,100
9,CBBL,2012-12-16.csv,405.0,421.0,405.0,421.0,255
9,CBBL,2012-12-17.csv,421.0,421.0,421.0,421.0,53
7,CBBL,2012-12-20.csv,421.0,437.0,429.0,437.0,40
8,CBBL,2012-12-24.csv,437.0,430.0,430.0,430.0,48
7,CBBL,2013-01-13.csv,430.0,443.0,425.0,425.0,"4,934"
9,CBBL,2013-01-17.csv,425.0,417.0,401.0,401.0,30
8,CBBL,2013-01-21.csv,401.0,400.0,393.0,400.0,77
9,CBBL,2013-01-22.csv,400.0,400.0,400.0,400.0,10
10,CBBL,2013-01-23.csv,400.0,407.0,407.0,407.0,12
8,CBBL,2013-01-24.csv,407.0,400.0,393.0,393.0,760
9,CBBL,2013-01-28.csv,383.0,396.0,389.0,390.0,158
9,CBBL,2013-01-30.csv,390.0,383.0,376.0,383.0,41
10,CBBL,2013-01-31.csv,383.0,380.0,375.0,375.0,133
7,CBBL,2013-02-03.csv,375.0,387.0,380.0,387.0,531
8,CBBL,2013-02-05.csv,387.0,388.0,381.0,388.0,265
6,CBBL,2013-02-07.csv,388.0,390.0,390.0,390.0,150
