S.no,Symbol,Date,Open,High,Low,Close,Vol
13,CBBLPO,2018-09-04.csv,490.0,490.0,490.0,490.0,"8,000"
12,CBBLPO,2019-01-09.csv,151.0,251.0,101.0,110.0,"523,066"
14,CBBLPO,2019-04-23.csv,564.0,564.0,564.0,564.0,"45,000"
15,CBBLPO,2019-05-19.csv,564.0,564.0,564.0,564.0,"11,800"
12,CBBLPO,2019-06-23.csv,510.0,510.0,510.0,510.0,"31,172"
12,CBBLPO,2019-06-24.csv,500.0,500.0,500.0,500.0,"2,560"
11,CBBLPO,2019-07-18.csv,490.0,490.0,490.0,490.0,"105,650"
12,CBBLPO,2019-07-21.csv,490.0,490.0,490.0,490.0,"12,400"
14,CBBLPO,2019-08-07.csv,481.0,481.0,481.0,481.0,"10,000"
13,CBBLPO,2019-08-08.csv,481.0,481.0,481.0,481.0,"10,000"
14,CBBLPO,2019-08-25.csv,481.0,481.0,481.0,481.0,"66,800"
13,CBBLPO,2019-08-28.csv,472.0,472.0,472.0,472.0,"10,000"
14,CBBLPO,2019-08-29.csv,470.0,470.0,461.0,470.0,"22,056"
13,CBBLPO,2019-09-01.csv,470.0,470.0,470.0,470.0,"10,900"
13,CBBLPO,2019-09-03.csv,470.0,470.0,470.0,470.0,"8,435"
13,CBBLPO,2019-09-12.csv,470.0,470.0,470.0,470.0,"31,800"
12,CBBLPO,2019-11-12.csv,470.0,470.0,470.0,470.0,"20,000"
14,CBBLPO,2020-01-07.csv,470.0,470.0,470.0,470.0,50
