S.no,Symbol,Date,Open,High,Low,Close,Vol
8,CBL,2013-03-04.csv,171.0,174.0,166.0,168.0,"130,359"
9,CBL,2013-03-05.csv,168.0,170.0,162.0,167.0,"43,648"
12,CBL,2013-03-06.csv,167.0,171.0,164.0,170.0,"34,344"
10,CBL,2013-03-07.csv,170.0,169.0,166.0,168.0,"30,932"
11,CBL,2013-03-11.csv,168.0,173.0,166.0,170.0,"37,709"
11,CBL,2013-03-13.csv,170.0,173.0,169.0,170.0,"54,094"
8,CBL,2013-03-14.csv,170.0,179.0,170.0,170.0,"52,081"
9,CBL,2013-03-17.csv,170.0,171.0,164.0,170.0,"30,551"
8,CBL,2013-03-18.csv,170.0,169.0,163.0,166.0,"40,598"
12,CBL,2013-03-19.csv,166.0,167.0,163.0,164.0,"35,073"
10,CBL,2013-03-20.csv,164.0,166.0,162.0,162.0,"32,124"
10,CBL,2013-03-21.csv,162.0,165.0,160.0,162.0,"20,623"
9,CBL,2013-03-24.csv,162.0,162.0,158.0,158.0,"29,316"
9,CBL,2013-03-25.csv,158.0,164.0,156.0,160.0,"36,554"
11,CBL,2013-03-27.csv,160.0,161.0,157.0,160.0,"17,897"
9,CBL,2013-03-28.csv,160.0,160.0,156.0,159.0,"26,692"
7,CBL,2013-03-31.csv,159.0,158.0,154.0,156.0,"43,059"
9,CBL,2013-04-01.csv,156.0,158.0,151.0,158.0,"25,894"
9,CBL,2013-04-02.csv,158.0,160.0,152.0,158.0,"26,882"
9,CBL,2013-04-03.csv,158.0,160.0,155.0,157.0,"36,884"
11,CBL,2013-04-04.csv,157.0,160.0,156.0,158.0,"16,222"
10,CBL,2013-04-07.csv,158.0,159.0,156.0,159.0,"39,573"
9,CBL,2013-04-08.csv,159.0,160.0,158.0,159.0,"20,470"
11,CBL,2013-04-09.csv,159.0,161.0,158.0,160.0,"57,708"
10,CBL,2013-04-11.csv,160.0,164.0,159.0,161.0,"39,806"
10,CBL,2013-04-15.csv,161.0,164.0,161.0,164.0,"27,472"
