Date,Symbol,Open,High,Low,Close,Vol
1/3/2016,CCBL,312.0,318.0,313.0,314.0,9200
1/4/2016,CCBL,314.0,316.0,308.0,314.0,7663
1/5/2016,CCBL,314.0,315.0,305.0,306.0,5891
1/6/2016,CCBL,306.0,312.0,304.0,311.0,4302
1/7/2016,CCBL,311.0,312.0,310.0,311.0,6065
1/10/2016,CCBL,311.0,312.0,302.0,311.0,8017
1/11/2016,CCBL,311.0,312.0,308.0,310.0,2897
1/12/2016,CCBL,310.0,315.0,310.0,312.0,8002
1/12/2016,CCBL,310.0,315.0,310.0,312.0,8002
1/13/2016,CCBL,312.0,316.0,311.0,315.0,10141
1/14/2016,CCBL,315.0,335.0,321.0,333.0,61759
1/17/2016,CCBL,333.0,356.0,333.0,350.0,29528
1/18/2016,CCBL,350.0,358.0,345.0,348.0,26956
1/19/2016,CCBL,348.0,349.0,339.0,347.0,13391
1/20/2016,CCBL,347.0,351.0,345.0,345.0,22862
1/21/2016,CCBL,345.0,349.0,343.0,349.0,34138
1/24/2016,CCBL,320.0,335.0,320.0,330.0,6885
1/25/2016,CCBL,330.0,335.0,328.0,328.0,10058
1/26/2016,CCBL,328.0,335.0,327.0,327.0,11840
1/27/2016,CCBL,327.0,330.0,324.0,325.0,14757
1/28/2016,CCBL,325.0,330.0,322.0,330.0,3874
1/31/2016,CCBL,330.0,330.0,326.0,329.0,6316
2/1/2016,CCBL,329.0,335.0,330.0,334.0,14957
2/2/2016,CCBL,334.0,341.0,335.0,335.0,16005
2/3/2016,CCBL,335.0,341.0,335.0,338.0,5755
2/4/2016,CCBL,338.0,342.0,335.0,335.0,8744
2/7/2016,CCBL,335.0,342.0,335.0,338.0,14873
2/8/2016,CCBL,338.0,350.0,340.0,344.0,32412
2/11/2016,CCBL,344.0,348.0,339.0,345.0,6621
2/14/2016,CCBL,345.0,350.0,337.0,342.0,8367
2/15/2016,CCBL,342.0,342.0,328.0,342.0,11340
2/16/2016,CCBL,342.0,342.0,336.0,341.0,5215
2/17/2016,CCBL,341.0,345.0,335.0,341.0,2485
2/18/2016,CCBL,341.0,347.0,341.0,344.0,10821
2/21/2016,CCBL,344.0,356.0,346.0,346.0,26292
2/22/2016,CCBL,346.0,352.0,346.0,350.0,26072
2/23/2016,CCBL,350.0,359.0,353.0,354.0,20217
2/24/2016,CCBL,354.0,361.0,350.0,358.0,16000
2/25/2016,CCBL,358.0,364.0,358.0,364.0,34166
2/28/2016,CCBL,364.0,395.0,367.0,388.0,65920
