S.no,Symbol,Date,Open,High,Low,Close,Vol
14,CDBLPO,2013-10-03.csv,0.0,130.0,130.0,130.0,"60,720"
12,CDBLPO,2014-03-11.csv,130.0,130.0,130.0,130.0,"30,536"
16,CDBLPO,2014-03-26.csv,130.0,130.0,130.0,130.0,"3,070"
15,CDBLPO,2014-04-27.csv,130.0,130.0,130.0,130.0,"34,846"
32,CDBLPO,2014-06-17.csv,130.0,132.0,132.0,132.0,"22,335"
33,CDBLPO,2014-06-17.csv,130.0,132.0,132.0,132.0,"22,335"
16,CDBLPO,2014-09-29.csv,132.0,132.0,132.0,132.0,"15,355"
16,CDBLPO,2015-06-16.csv,170.0,170.0,170.0,170.0,"10,000"
12,CDBLPO,2015-06-21.csv,170.0,170.0,170.0,170.0,"30,558"
15,CDBLPO,2015-06-22.csv,170.0,170.0,170.0,170.0,"44,332"
14,CDBLPO,2015-06-23.csv,170.0,170.0,170.0,170.0,"13,267"
