S.no,Symbol,Date,Open,High,Low,Close,Vol
16,CEFL,2018-04-19.csv,189.0,189.0,187.0,187.0,210
14,CEFL,2018-04-22.csv,190.0,190.0,187.0,187.0,832
15,CEFL,2018-04-23.csv,190.0,190.0,189.0,190.0,780
15,CEFL,2018-04-24.csv,193.0,196.0,193.0,193.0,30
13,CEFL,2018-04-25.csv,196.0,196.0,195.0,195.0,120
14,CEFL,2018-04-26.csv,198.0,206.0,198.0,198.0,230
14,CEFL,2018-04-29.csv,198.0,198.0,195.0,195.0,570
13,CEFL,2018-05-06.csv,192.0,192.0,192.0,192.0,20
12,CEFL,2018-05-07.csv,189.0,189.0,189.0,189.0,50
15,CEFL,2018-05-17.csv,186.0,189.0,186.0,189.0,60
15,CEFL,2018-05-28.csv,186.0,192.0,186.0,192.0,550
15,CEFL,2018-05-30.csv,195.0,201.0,193.0,193.0,140
15,CEFL,2018-05-31.csv,196.0,196.0,190.0,190.0,31
15,CEFL,2018-06-21.csv,193.0,193.0,193.0,193.0,90
14,CEFL,2018-06-27.csv,190.0,190.0,190.0,190.0,100
14,CEFL,2018-07-04.csv,189.0,189.0,189.0,189.0,150
17,CEFL,2018-07-15.csv,186.0,186.0,186.0,186.0,30
14,CEFL,2018-07-17.csv,183.0,183.0,183.0,183.0,100
15,CEFL,2018-07-25.csv,186.0,186.0,186.0,186.0,10
12,CEFL,2018-07-29.csv,183.0,183.0,168.0,168.0,420
14,CEFL,2018-07-30.csv,165.0,165.0,152.0,152.0,"1,470"
14,CEFL,2018-07-31.csv,149.0,151.0,137.0,137.0,990
12,CEFL,2018-08-01.csv,135.0,135.0,124.0,124.0,400
16,CEFL,2018-08-02.csv,122.0,122.0,112.0,112.0,"1,520"
14,CEFL,2018-08-05.csv,110.0,123.0,101.0,123.0,"13,227"
15,CEFL,2018-08-06.csv,107.0,108.0,105.0,105.0,470
13,CEFL,2018-08-08.csv,103.0,103.0,103.0,103.0,100
12,CEFL,2018-08-09.csv,101.0,103.0,101.0,103.0,400
13,CEFL,2018-08-12.csv,102.0,102.0,102.0,102.0,120
15,CEFL,2018-08-14.csv,104.0,108.0,102.0,108.0,960
15,CEFL,2018-08-15.csv,110.0,114.0,110.0,114.0,241
15,CEFL,2018-08-16.csv,112.0,112.0,112.0,112.0,200
15,CEFL,2018-08-21.csv,110.0,110.0,110.0,110.0,70
16,CEFL,2018-08-28.csv,108.0,108.0,108.0,108.0,300
16,CEFL,2018-08-30.csv,110.0,110.0,110.0,110.0,10
15,CEFL,2018-09-02.csv,112.0,112.0,112.0,112.0,15
15,CEFL,2018-09-03.csv,114.0,114.0,114.0,114.0,500
