Date,Symbol,Open,High,Low,Close,Vol
1/3/2016,CHCL,1174.0,1175.0,1166.0,1166.0,6394
1/4/2016,CHCL,1166.0,1175.0,1150.0,1150.0,4385
1/5/2016,CHCL,1150.0,1160.0,1150.0,1160.0,5242
1/6/2016,CHCL,1160.0,1170.0,1151.0,1170.0,2925
1/7/2016,CHCL,1170.0,1210.0,1152.0,1198.0,5932
1/10/2016,CHCL,1198.0,1248.0,1201.0,1240.0,4527
1/11/2016,CHCL,1240.0,1286.0,1246.0,1250.0,5873
1/12/2016,CHCL,1250.0,1285.0,1241.0,1250.0,6777
1/12/2016,CHCL,1250.0,1285.0,1241.0,1250.0,6777
1/13/2016,CHCL,1250.0,1375.0,1275.0,1375.0,3070
1/14/2016,CHCL,1375.0,1480.0,1360.0,1360.0,2970
1/17/2016,CHCL,1360.0,1400.0,1340.0,1340.0,3340
1/18/2016,CHCL,1340.0,1360.0,1335.0,1340.0,1717
1/19/2016,CHCL,1340.0,1366.0,1330.0,1340.0,984
1/20/2016,CHCL,1340.0,1337.0,1325.0,1327.0,2271
1/21/2016,CHCL,1327.0,1350.0,1294.0,1294.0,3304
1/24/2016,CHCL,1294.0,1300.0,1282.0,1285.0,1696
1/25/2016,CHCL,1285.0,1295.0,1275.0,1275.0,2150
1/26/2016,CHCL,1275.0,1300.0,1275.0,1275.0,951
1/27/2016,CHCL,1275.0,1292.0,1275.0,1275.0,919
1/28/2016,CHCL,1275.0,1284.0,1272.0,1284.0,1346
1/31/2016,CHCL,1284.0,1298.0,1280.0,1297.0,2684
2/1/2016,CHCL,1297.0,1291.0,1275.0,1281.0,2687
2/2/2016,CHCL,1281.0,1295.0,1280.0,1285.0,1274
2/3/2016,CHCL,1285.0,1284.0,1260.0,1281.0,7781
2/4/2016,CHCL,1281.0,1292.0,1281.0,1290.0,1164
2/7/2016,CHCL,1290.0,1341.0,1297.0,1316.0,9723
2/8/2016,CHCL,1316.0,1368.0,1325.0,1358.0,6467
2/11/2016,CHCL,1358.0,1424.0,1360.0,1407.0,12677
2/14/2016,CHCL,1407.0,1406.0,1375.0,1379.0,8093
2/15/2016,CHCL,1379.0,1385.0,1360.0,1384.0,2057
2/16/2016,CHCL,1384.0,1380.0,1365.0,1365.0,1647
2/17/2016,CHCL,1365.0,1370.0,1352.0,1370.0,10399
2/18/2016,CHCL,1370.0,1385.0,1360.0,1383.0,9468
2/21/2016,CHCL,1383.0,1425.0,1370.0,1380.0,3985
2/22/2016,CHCL,1380.0,1396.0,1380.0,1385.0,7730
2/23/2016,CHCL,1385.0,1385.0,1368.0,1385.0,1212
2/24/2016,CHCL,1385.0,1384.0,1371.0,1371.0,2349
2/25/2016,CHCL,1371.0,1371.0,1344.0,1370.0,3577
2/28/2016,CHCL,1370.0,1375.0,1361.0,1363.0,4144
2/29/2016,CHCL,1363.0,1360.0,1350.0,1360.0,2955
3/1/2016,CHCL,1360.0,1355.0,1341.0,1350.0,6760
3/2/2016,CHCL,1350.0,1375.0,1335.0,1336.0,7193
3/3/2016,CHCL,1336.0,1340.0,1320.0,1332.0,3343
3/6/2016,CHCL,1332.0,1339.0,1322.0,1323.0,1469
3/10/2016,CHCL,1323.0,1360.0,1322.0,1322.0,3051
3/13/2016,CHCL,1322.0,1325.0,1296.0,1313.0,5617
3/14/2016,CHCL,1313.0,1330.0,1300.0,1320.0,7586
3/15/2016,CHCL,1320.0,1323.0,1300.0,1323.0,5799
3/16/2016,CHCL,1323.0,1325.0,1299.0,1320.0,3347
3/17/2016,CHCL,1320.0,1319.0,1310.0,1315.0,4623
3/20/2016,CHCL,1315.0,1366.0,1311.0,1350.0,15320
3/21/2016,CHCL,1350.0,1338.0,1320.0,1335.0,6546
3/23/2016,CHCL,1335.0,1329.0,1315.0,1317.0,6726
3/24/2016,CHCL,1317.0,1328.0,1311.0,1325.0,3383
3/27/2016,CHCL,1325.0,1340.0,1325.0,1340.0,12256
3/28/2016,CHCL,1340.0,1339.0,1304.0,1335.0,19299
3/29/2016,CHCL,1335.0,1350.0,1315.0,1330.0,17364
3/30/2016,CHCL,1330.0,1351.0,1325.0,1345.0,10208
3/31/2016,CHCL,1345.0,1364.0,1327.0,1349.0,13219
4/3/2016,CHCL,1349.0,1350.0,1335.0,1336.0,4764
4/4/2016,CHCL,1336.0,1340.0,1320.0,1331.0,7023
4/5/2016,CHCL,1331.0,1335.0,1325.0,1333.0,10942
4/6/2016,CHCL,1333.0,1333.0,1320.0,1322.0,5438
4/10/2016,CHCL,1322.0,1332.0,1315.0,1318.0,6736
4/11/2016,CHCL,1318.0,1330.0,1311.0,1315.0,5353
4/12/2016,CHCL,1315.0,1320.0,1307.0,1316.0,7456
4/14/2016,CHCL,1316.0,1325.0,1311.0,1319.0,3113
4/17/2016,CHCL,1319.0,1330.0,1318.0,1318.0,15559
4/18/2016,CHCL,1318.0,1340.0,1320.0,1335.0,5492
4/19/2016,CHCL,1335.0,1335.0,1321.0,1323.0,8954
4/20/2016,CHCL,1323.0,1330.0,1315.0,1325.0,11231
4/21/2016,CHCL,1325.0,1325.0,1314.0,1320.0,6431
4/24/2016,CHCL,1320.0,1325.0,1300.0,1322.0,27535
4/25/2016,CHCL,1322.0,1322.0,1311.0,1316.0,10566
4/26/2016,CHCL,1316.0,1322.0,1311.0,1315.0,8164
4/27/2016,CHCL,1315.0,1321.0,1310.0,1312.0,5356
4/28/2016,CHCL,1312.0,1318.0,1310.0,1311.0,4314
5/2/2016,CHCL,1311.0,1315.0,1302.0,1302.0,11370
5/3/2016,CHCL,1302.0,1310.0,1295.0,1298.0,14387
5/4/2016,CHCL,1298.0,1300.0,1292.0,1295.0,9644
5/5/2016,CHCL,1295.0,1300.0,1281.0,1291.0,6342
5/8/2016,CHCL,1291.0,1299.0,1281.0,1285.0,4890
5/9/2016,CHCL,1285.0,1290.0,1279.0,1281.0,11658
5/10/2016,CHCL,1281.0,1286.0,1280.0,1280.0,5344
5/11/2016,CHCL,1280.0,1283.0,1261.0,1272.0,5017
5/12/2016,CHCL,1272.0,1282.0,1265.0,1270.0,10746
5/15/2016,CHCL,1270.0,1271.0,1260.0,1264.0,16595
5/16/2016,CHCL,1264.0,1269.0,1257.0,1259.0,4536
5/17/2016,CHCL,1259.0,1298.0,1260.0,1270.0,18874
5/18/2016,CHCL,1270.0,1294.0,1265.0,1275.0,14156
5/19/2016,CHCL,1275.0,1294.0,1280.0,1285.0,12986
5/22/2016,CHCL,1285.0,1303.0,1285.0,1289.0,9192
5/23/2016,CHCL,1289.0,1291.0,1285.0,1285.0,20537
5/24/2016,CHCL,1285.0,1292.0,1280.0,1283.0,10290
5/25/2016,CHCL,1283.0,1310.0,1282.0,1284.0,14530
5/26/2016,CHCL,1284.0,1301.0,1280.0,1300.0,14393
5/29/2016,CHCL,1300.0,1404.0,1324.0,1360.0,23985
5/30/2016,CHCL,1360.0,1410.0,1387.0,1395.0,48838
5/31/2016,CHCL,1395.0,1534.0,1400.0,1530.0,97255
6/1/2016,CHCL,1530.0,1600.0,1431.0,1471.0,45817
6/2/2016,CHCL,1471.0,1453.0,1412.0,1419.0,18850
6/5/2016,CHCL,1419.0,1420.0,1360.0,1370.0,13542
6/6/2016,CHCL,1370.0,1419.0,1385.0,1400.0,13522
6/7/2016,CHCL,1400.0,1420.0,1400.0,1402.0,7497
6/8/2016,CHCL,1402.0,1405.0,1390.0,1400.0,10193
6/9/2016,CHCL,1400.0,1405.0,1381.0,1394.0,10848
6/12/2016,CHCL,1394.0,1385.0,1355.0,1379.0,13432
6/13/2016,CHCL,1379.0,1400.0,1375.0,1384.0,6798
6/14/2016,CHCL,1384.0,1440.0,1385.0,1400.0,13551
6/15/2016,CHCL,1400.0,1420.0,1392.0,1392.0,13377
6/16/2016,CHCL,1392.0,1404.0,1384.0,1395.0,14575
6/19/2016,CHCL,1395.0,1391.0,1368.0,1370.0,16926
6/20/2016,CHCL,1370.0,1390.0,1365.0,1370.0,10664
6/21/2016,CHCL,1370.0,1390.0,1365.0,1370.0,10614
6/22/2016,CHCL,1370.0,1400.0,1385.0,1400.0,24505
6/23/2016,CHCL,1400.0,1450.0,1403.0,1415.0,25156
6/26/2016,CHCL,1415.0,1425.0,1400.0,1420.0,14717
6/27/2016,CHCL,1420.0,1440.0,1415.0,1439.0,8307
6/28/2016,CHCL,1439.0,1466.0,1421.0,1466.0,18336
6/29/2016,CHCL,1466.0,1480.0,1450.0,1474.0,13171
6/30/2016,CHCL,1474.0,1483.0,1450.0,1457.0,12874
7/3/2016,CHCL,1457.0,1455.0,1425.0,1450.0,18925
7/4/2016,CHCL,1450.0,1450.0,1432.0,1440.0,12735
7/5/2016,CHCL,1440.0,1455.0,1425.0,1441.0,7051
7/6/2016,CHCL,1441.0,1442.0,1420.0,1435.0,15686
7/10/2016,CHCL,1435.0,1435.0,1407.0,1428.0,13140
7/11/2016,CHCL,1428.0,1425.0,1405.0,1406.0,13098
7/12/2016,CHCL,1406.0,1420.0,1380.0,1395.0,11200
7/13/2016,CHCL,1395.0,1420.0,1380.0,1397.0,14484
7/14/2016,CHCL,1397.0,1440.0,1390.0,1440.0,11973
7/17/2016,CHCL,1440.0,1439.0,1410.0,1420.0,3562
7/18/2016,CHCL,1420.0,1440.0,1399.0,1410.0,8608
7/19/2016,CHCL,1410.0,1410.0,1390.0,1408.0,7528
7/20/2016,CHCL,1408.0,1407.0,1396.0,1399.0,9133
7/21/2016,CHCL,1399.0,1400.0,1380.0,1394.0,5974
7/25/2016,CHCL,1394.0,1399.0,1380.0,1388.0,12816
7/26/2016,CHCL,1388.0,1399.0,1380.0,1390.0,15897
7/27/2016,CHCL,1390.0,1405.0,1390.0,1400.0,23604
7/28/2016,CHCL,1400.0,1400.0,1380.0,1394.0,6657
7/31/2016,CHCL,1394.0,1401.0,1382.0,1389.0,10000
8/1/2016,CHCL,1389.0,1386.0,1365.0,1375.0,7615
8/2/2016,CHCL,1375.0,1380.0,1356.0,1370.0,7978
8/3/2016,CHCL,1370.0,1380.0,1355.0,1367.0,6283
8/4/2016,CHCL,1367.0,1360.0,1346.0,1350.0,9382
8/7/2016,CHCL,1350.0,1385.0,1332.0,1333.0,6949
8/8/2016,CHCL,1333.0,1315.0,1286.0,1286.0,6257
8/9/2016,CHCL,1286.0,1363.0,1311.0,1363.0,170
8/10/2016,CHCL,1363.0,1363.0,1325.0,1330.0,5908
8/11/2016,CHCL,1330.0,1340.0,1311.0,1325.0,3058
8/14/2016,CHCL,1325.0,1340.0,1300.0,1305.0,7570
8/15/2016,CHCL,1305.0,1300.0,1251.0,1290.0,7776
8/16/2016,CHCL,1290.0,1326.0,1270.0,1300.0,8063
8/17/2016,CHCL,1300.0,1310.0,1282.0,1294.0,7449
8/21/2016,CHCL,1294.0,1300.0,1280.0,1280.0,5047
8/22/2016,CHCL,1280.0,1290.0,1240.0,1250.0,6770
8/23/2016,CHCL,1250.0,1275.0,1242.0,1246.0,6572
8/24/2016,CHCL,1246.0,1270.0,1240.0,1270.0,7442
8/28/2016,CHCL,1270.0,1270.0,1245.0,1258.0,5282
8/29/2016,CHCL,1258.0,1260.0,1233.0,1239.0,11341
8/30/2016,CHCL,1239.0,1331.0,1222.0,1320.0,71011
8/31/2016,CHCL,1320.0,1317.0,1275.0,1285.0,9698
9/1/2016,CHCL,1285.0,1282.0,1255.0,1270.0,4037
9/3/2016,CHCL,1270.0,1273.0,1255.0,1260.0,9147
9/4/2016,CHCL,1270.0,1273.0,1255.0,1260.0,9147
9/5/2016,CHCL,1260.0,1275.0,1260.0,1265.0,6650
9/6/2016,CHCL,1265.0,1301.0,1262.0,1284.0,5232
9/7/2016,CHCL,1284.0,1300.0,1271.0,1271.0,6388
9/8/2016,CHCL,1271.0,1360.0,1280.0,1328.0,34560
9/11/2016,CHCL,1328.0,1436.0,1350.0,1365.0,38150
9/12/2016,CHCL,1365.0,1375.0,1312.0,1328.0,12258
9/14/2016,CHCL,1328.0,1330.0,1305.0,1320.0,10744
9/18/2016,CHCL,1320.0,1375.0,1321.0,1321.0,18274
9/20/2016,CHCL,1321.0,1320.0,1277.0,1291.0,7947
9/21/2016,CHCL,1291.0,1281.0,1250.0,1275.0,11773
9/22/2016,CHCL,1275.0,1290.0,1251.0,1285.0,5403
9/25/2016,CHCL,1285.0,1285.0,1251.0,1257.0,6551
9/26/2016,CHCL,1257.0,1275.0,1252.0,1260.0,4093
9/27/2016,CHCL,1260.0,1270.0,1257.0,1260.0,3900
9/28/2016,CHCL,1260.0,1265.0,1240.0,1260.0,13888
9/29/2016,CHCL,1260.0,1274.0,1252.0,1252.0,10589
10/2/2016,CHCL,1252.0,1265.0,1250.0,1250.0,7390
10/3/2016,CHCL,1250.0,1259.0,1246.0,1250.0,9567
10/4/2016,CHCL,1250.0,1262.0,1245.0,1251.0,10341
10/5/2016,CHCL,1251.0,1261.0,1235.0,1249.0,13441
10/6/2016,CHCL,1249.0,1320.0,1250.0,1260.0,13557
10/16/2016,CHCL,1260.0,1280.0,1233.0,1250.0,4690
10/17/2016,CHCL,1250.0,1261.0,1240.0,1261.0,3157
10/18/2016,CHCL,1261.0,1259.0,1245.0,1250.0,3069
10/19/2016,CHCL,1250.0,1256.0,1245.0,1256.0,4542
10/20/2016,CHCL,1256.0,1255.0,1249.0,1254.0,6590
10/23/2016,CHCL,1254.0,1270.0,1242.0,1244.0,4402
10/24/2016,CHCL,1244.0,1248.0,1235.0,1240.0,5956
10/25/2016,CHCL,1240.0,1242.0,1235.0,1240.0,3442
10/26/2016,CHCL,1240.0,1250.0,1225.0,1235.0,4471
10/27/2016,CHCL,1235.0,1250.0,1230.0,1250.0,8215
