S.no,Symbol,Date,Open,High,Low,Close,Vol
16,CHL,2017-08-03.csv,0.0,323.0,294.0,323.0,775
17,CHL,2017-08-06.csv,323.0,355.0,300.0,316.0,"10,396"
16,CHL,2017-08-07.csv,316.0,312.0,285.0,285.0,"4,374"
16,CHL,2017-08-09.csv,285.0,280.0,257.0,260.0,"5,869"
17,CHL,2017-08-10.csv,260.0,260.0,238.0,260.0,"2,022"
18,CHL,2017-08-13.csv,260.0,257.0,239.0,243.0,379
16,CHL,2017-08-15.csv,243.0,240.0,220.0,221.0,608
16,CHL,2017-08-16.csv,221.0,227.0,217.0,217.0,528
16,CHL,2017-08-17.csv,217.0,214.0,209.0,211.0,628
18,CHL,2017-08-20.csv,211.0,215.0,207.0,210.0,700
14,CHL,2017-08-21.csv,210.0,218.0,197.0,201.0,"1,788"
15,CHL,2017-08-22.csv,201.0,207.0,198.0,200.0,"6,521"
16,CHL,2017-08-23.csv,200.0,199.0,187.0,187.0,"3,955"
16,CHL,2017-08-24.csv,187.0,195.0,181.0,195.0,"4,342"
17,CHL,2017-08-27.csv,195.0,200.0,193.0,200.0,"2,006"
16,CHL,2017-08-28.csv,200.0,201.0,195.0,201.0,280
14,CHL,2017-08-30.csv,201.0,202.0,197.0,197.0,"1,851"
17,CHL,2017-08-31.csv,197.0,196.0,188.0,195.0,487
17,CHL,2017-09-04.csv,195.0,192.0,186.0,186.0,"1,582"
17,CHL,2017-09-06.csv,186.0,190.0,186.0,190.0,370
17,CHL,2017-09-07.csv,190.0,190.0,183.0,183.0,"1,146"
16,CHL,2017-09-10.csv,183.0,183.0,174.0,177.0,968
16,CHL,2017-09-11.csv,177.0,175.0,166.0,166.0,179
15,CHL,2017-09-12.csv,166.0,165.0,164.0,164.0,98
17,CHL,2017-09-13.csv,164.0,163.0,156.0,163.0,184
17,CHL,2017-09-14.csv,163.0,163.0,160.0,163.0,407
17,CHL,2017-09-17.csv,163.0,165.0,158.0,159.0,248
17,CHL,2017-09-18.csv,159.0,165.0,157.0,163.0,603
18,CHL,2017-09-20.csv,163.0,165.0,161.0,161.0,131
17,CHL,2017-09-24.csv,161.0,163.0,158.0,163.0,618
18,CHL,2017-09-25.csv,163.0,169.0,166.0,169.0,80
17,CHL,2017-09-26.csv,169.0,179.0,169.0,175.0,"1,151"
14,CHL,2017-10-03.csv,175.0,175.0,172.0,172.0,150
17,CHL,2017-10-04.csv,172.0,172.0,172.0,172.0,40
17,CHL,2017-10-08.csv,172.0,173.0,166.0,173.0,94
