S.no,Symbol,Date,Open,High,Low,Close,Vol
18,CHLBS,2019-01-08.csv,238.0,238.0,238.0,238.0,10
20,CHLBS,2019-01-31.csv,249.0,258.0,249.0,258.0,30
19,CHLBS,2019-02-05.csv,270.0,270.0,270.0,270.0,10
20,CHLBS,2019-02-06.csv,283.0,283.0,283.0,283.0,10
20,CHLBS,2019-02-11.csv,297.0,311.0,297.0,311.0,50
20,CHLBS,2019-02-12.csv,326.0,326.0,326.0,326.0,10
22,CHLBS,2019-02-13.csv,342.0,358.0,342.0,358.0,50
19,CHLBS,2019-02-14.csv,375.0,375.0,375.0,375.0,10
19,CHLBS,2019-02-17.csv,393.0,412.0,393.0,412.0,130
18,CHLBS,2019-02-18.csv,432.0,453.0,432.0,453.0,40
17,CHLBS,2019-02-19.csv,475.0,498.0,475.0,498.0,530
17,CHLBS,2019-02-20.csv,522.0,547.0,522.0,547.0,100
19,CHLBS,2019-02-21.csv,574.0,601.0,574.0,601.0,"42,215"
18,CHLBS,2019-02-24.csv,601.0,610.0,584.0,586.0,"17,370"
19,CHLBS,2019-02-25.csv,575.0,594.0,575.0,588.0,"5,670"
18,CHLBS,2019-02-26.csv,590.0,590.0,581.0,581.0,"4,240"
18,CHLBS,2019-02-27.csv,591.0,591.0,580.0,584.0,"1,970"
17,CHLBS,2019-03-03.csv,584.0,585.0,570.0,570.0,"3,260"
19,CHLBS,2019-03-05.csv,568.0,570.0,560.0,561.0,"2,540"
19,CHLBS,2019-03-06.csv,550.0,563.0,550.0,556.0,"2,480"
20,CHLBS,2019-03-07.csv,583.0,583.0,555.0,566.0,"1,810"
17,CHLBS,2019-03-10.csv,566.0,570.0,560.0,567.0,910
20,CHLBS,2019-03-11.csv,570.0,574.0,555.0,571.0,"2,700"
22,CHLBS,2019-03-12.csv,580.0,580.0,561.0,567.0,"1,640"
19,CHLBS,2019-03-13.csv,567.0,578.0,560.0,564.0,910
19,CHLBS,2019-03-14.csv,562.0,568.0,555.0,560.0,"1,208"
21,CHLBS,2019-03-17.csv,560.0,571.0,553.0,569.0,"1,730"
20,CHLBS,2019-03-18.csv,569.0,569.0,552.0,559.0,"1,570"
20,CHLBS,2019-03-19.csv,552.0,569.0,552.0,555.0,"1,794"
21,CHLBS,2019-03-21.csv,582.0,582.0,554.0,554.0,"1,470"
20,CHLBS,2019-03-24.csv,554.0,565.0,540.0,548.0,"1,440"
21,CHLBS,2019-03-25.csv,539.0,545.0,535.0,540.0,960
21,CHLBS,2019-03-26.csv,540.0,540.0,531.0,533.0,990
20,CHLBS,2019-03-27.csv,533.0,545.0,525.0,535.0,"1,210"
21,CHLBS,2019-03-28.csv,526.0,535.0,526.0,527.0,"1,130"
20,CHLBS,2019-03-31.csv,527.0,528.0,518.0,524.0,"1,450"
21,CHLBS,2019-04-01.csv,524.0,524.0,510.0,513.0,"2,180"
19,CHLBS,2019-04-02.csv,503.0,513.0,502.0,506.0,"1,110"
18,CHLBS,2019-04-03.csv,497.0,517.0,497.0,509.0,"1,276"
21,CHLBS,2019-04-04.csv,509.0,515.0,500.0,505.0,"1,650"
19,CHLBS,2019-04-07.csv,496.0,500.0,480.0,480.0,"2,370"
20,CHLBS,2019-04-08.csv,480.0,519.0,480.0,511.0,"1,980"
19,CHLBS,2019-04-09.csv,521.0,523.0,496.0,498.0,"1,460"
18,CHLBS,2019-04-10.csv,499.0,500.0,482.0,484.0,"1,660"
20,CHLBS,2019-04-11.csv,493.0,499.0,474.0,486.0,"3,988"
18,CHLBS,2019-04-15.csv,483.0,490.0,470.0,478.0,"1,890"
