Date,Symbol,Open,High,Low,Close,Vol
1/3/2016,CIT,4115.0,4125.0,4100.0,4105.0,2017
1/4/2016,CIT,4105.0,4150.0,4100.0,4135.0,1517
1/5/2016,CIT,4135.0,4140.0,4110.0,4140.0,1301
1/6/2016,CIT,4140.0,4200.0,4145.0,4150.0,1550
1/7/2016,CIT,4150.0,4174.0,4150.0,4174.0,830
1/10/2016,CIT,4174.0,4230.0,4200.0,4225.0,3121
1/11/2016,CIT,4225.0,4325.0,4255.0,4295.0,1453
1/12/2016,CIT,4295.0,4400.0,4300.0,4400.0,3096
1/12/2016,CIT,4295.0,4400.0,4300.0,4400.0,3096
1/13/2016,CIT,4400.0,4486.0,4450.0,4451.0,1692
1/14/2016,CIT,4451.0,4495.0,4455.0,4480.0,939
1/17/2016,CIT,4480.0,4465.0,4400.0,4465.0,2276
1/18/2016,CIT,4465.0,4465.0,4401.0,4410.0,1626
1/19/2016,CIT,4410.0,4440.0,4400.0,4416.0,970
1/20/2016,CIT,4416.0,4435.0,4405.0,4405.0,1687
1/21/2016,CIT,4405.0,4400.0,4382.0,4385.0,1054
1/24/2016,CIT,4385.0,4405.0,4350.0,4390.0,6038
1/25/2016,CIT,4390.0,4500.0,4400.0,4400.0,726
1/26/2016,CIT,4400.0,4405.0,4372.0,4372.0,982
1/27/2016,CIT,4372.0,4350.0,4350.0,4350.0,60
1/28/2016,CIT,4350.0,4325.0,4300.0,4310.0,516
1/31/2016,CIT,4310.0,4370.0,4300.0,4370.0,1800
2/1/2016,CIT,4370.0,4380.0,4355.0,4355.0,213
2/2/2016,CIT,4355.0,4360.0,4350.0,4350.0,224
2/3/2016,CIT,4350.0,4426.0,4295.0,4426.0,7399
2/4/2016,CIT,4426.0,4355.0,4300.0,4355.0,5056
2/7/2016,CIT,4355.0,4400.0,4353.0,4353.0,254
2/8/2016,CIT,4353.0,4360.0,4300.0,4360.0,305
2/11/2016,CIT,4360.0,4300.0,4300.0,4300.0,50
2/14/2016,CIT,4300.0,4325.0,4300.0,4320.0,602
