S.no,Symbol,Date,Open,High,Low,Close,Vol
16,CTBNL,2013-05-19.csv,149.0,149.0,144.0,145.0,"54,254"
16,CTBNL,2013-05-20.csv,145.0,147.0,142.0,143.0,"31,288"
17,CTBNL,2013-05-21.csv,143.0,149.0,142.0,144.0,"35,474"
17,CTBNL,2013-05-22.csv,144.0,144.0,141.0,143.0,"41,493"
16,CTBNL,2013-05-23.csv,143.0,143.0,141.0,143.0,"28,769"
17,CTBNL,2013-05-26.csv,143.0,145.0,141.0,143.0,"17,586"
16,CTBNL,2013-05-27.csv,143.0,147.0,143.0,146.0,"28,893"
15,CTBNL,2013-05-28.csv,146.0,146.0,145.0,145.0,"27,641"
16,CTBNL,2013-05-30.csv,145.0,146.0,144.0,145.0,"39,233"
16,CTBNL,2013-06-02.csv,145.0,146.0,142.0,144.0,"6,291"
17,CTBNL,2013-06-03.csv,144.0,144.0,143.0,143.0,"10,149"
18,CTBNL,2013-06-04.csv,143.0,144.0,143.0,144.0,"10,712"
16,CTBNL,2013-06-05.csv,144.0,145.0,143.0,145.0,"35,411"
16,CTBNL,2013-06-06.csv,145.0,146.0,142.0,144.0,"38,109"
17,CTBNL,2013-06-09.csv,144.0,145.0,141.0,144.0,"24,765"
18,CTBNL,2013-06-10.csv,144.0,144.0,142.0,143.0,"31,748"
15,CTBNL,2013-06-11.csv,143.0,145.0,142.0,143.0,"21,433"
16,CTBNL,2013-06-12.csv,143.0,145.0,143.0,144.0,"14,555"
12,CTBNL,2013-06-16.csv,144.0,145.0,144.0,144.0,"8,972"
15,CTBNL,2013-06-17.csv,144.0,144.0,142.0,144.0,"8,097"
17,CTBNL,2013-06-18.csv,144.0,144.0,142.0,143.0,"12,301"
18,CTBNL,2013-06-19.csv,143.0,143.0,142.0,142.0,"14,871"
17,CTBNL,2013-06-20.csv,142.0,144.0,140.0,143.0,"12,890"
14,CTBNL,2013-06-23.csv,143.0,143.0,141.0,141.0,"18,194"
15,CTBNL,2013-06-24.csv,141.0,143.0,139.0,143.0,"25,267"
13,CTBNL,2013-06-25.csv,143.0,147.0,140.0,144.0,"16,894"
18,CTBNL,2013-06-26.csv,144.0,146.0,143.0,144.0,"14,820"
16,CTBNL,2013-06-27.csv,144.0,146.0,143.0,143.0,"13,371"
16,CTBNL,2013-06-30.csv,143.0,145.0,140.0,143.0,"14,279"
15,CTBNL,2013-07-01.csv,143.0,144.0,140.0,141.0,"43,299"
19,CTBNL,2013-07-02.csv,141.0,142.0,139.0,140.0,"21,917"
16,CTBNL,2013-07-03.csv,140.0,140.0,139.0,140.0,"40,049"
16,CTBNL,2013-07-04.csv,140.0,141.0,139.0,140.0,"11,418"
18,CTBNL,2013-07-07.csv,140.0,141.0,140.0,140.0,"9,767"
17,CTBNL,2013-07-08.csv,140.0,143.0,140.0,143.0,"10,489"
17,CTBNL,2013-07-09.csv,143.0,145.0,141.0,145.0,"8,350"
17,CTBNL,2013-07-10.csv,145.0,146.0,143.0,145.0,"11,421"
16,CTBNL,2013-07-11.csv,145.0,145.0,142.0,142.0,"3,170"
14,CTBNL,2013-07-14.csv,142.0,144.0,141.0,143.0,"3,663"
20,CTBNL,2013-07-15.csv,143.0,149.0,140.0,140.0,"9,750"
18,CTBNL,2013-07-16.csv,140.0,145.0,142.0,143.0,"4,034"
16,CTBNL,2013-07-17.csv,143.0,143.0,141.0,142.0,"7,223"
18,CTBNL,2013-07-18.csv,142.0,147.0,142.0,145.0,"9,984"
14,CTBNL,2013-07-21.csv,145.0,150.0,145.0,147.0,"17,305"
16,CTBNL,2013-07-22.csv,147.0,147.0,145.0,146.0,"4,575"
18,CTBNL,2013-07-23.csv,146.0,146.0,143.0,145.0,"6,836"
17,CTBNL,2013-07-24.csv,145.0,145.0,143.0,144.0,"6,373"
16,CTBNL,2013-07-25.csv,144.0,146.0,142.0,146.0,"18,408"
16,CTBNL,2013-07-28.csv,146.0,150.0,141.0,145.0,"18,388"
18,CTBNL,2013-07-29.csv,145.0,146.0,143.0,144.0,"13,158"
16,CTBNL,2013-07-30.csv,144.0,146.0,143.0,144.0,"31,367"
