Date,Symbol,Open,High,Low,Close,Vol
1/3/2016,CZBIL,568.0,572.0,563.0,568.0,8166
1/4/2016,CZBIL,568.0,567.0,553.0,563.0,5521
1/5/2016,CZBIL,563.0,586.0,574.0,577.0,20148
1/6/2016,CZBIL,577.0,599.0,580.0,586.0,35033
1/7/2016,CZBIL,586.0,601.0,594.0,595.0,27081
1/10/2016,CZBIL,595.0,600.0,590.0,593.0,15540
1/11/2016,CZBIL,593.0,597.0,590.0,591.0,9996
1/12/2016,CZBIL,591.0,594.0,586.0,590.0,10216
1/12/2016,CZBIL,591.0,594.0,586.0,590.0,10216
1/13/2016,CZBIL,590.0,595.0,587.0,588.0,4624
1/14/2016,CZBIL,588.0,598.0,591.0,597.0,16131
1/17/2016,CZBIL,597.0,620.0,597.0,605.0,36080
1/18/2016,CZBIL,605.0,616.0,605.0,613.0,43293
1/19/2016,CZBIL,613.0,606.0,598.0,605.0,7788
1/20/2016,CZBIL,605.0,615.0,608.0,614.0,18605
1/21/2016,CZBIL,614.0,617.0,611.0,611.0,26946
1/24/2016,CZBIL,611.0,615.0,611.0,612.0,16034
1/25/2016,CZBIL,612.0,630.0,617.0,620.0,18186
1/26/2016,CZBIL,620.0,625.0,616.0,617.0,13417
1/27/2016,CZBIL,617.0,626.0,615.0,620.0,9601
1/28/2016,CZBIL,620.0,625.0,615.0,615.0,10131
1/31/2016,CZBIL,615.0,624.0,615.0,624.0,12505
2/1/2016,CZBIL,624.0,635.0,625.0,635.0,11953
2/2/2016,CZBIL,635.0,647.0,636.0,638.0,15288
2/3/2016,CZBIL,638.0,640.0,626.0,634.0,9270
2/4/2016,CZBIL,634.0,639.0,634.0,635.0,18771
2/7/2016,CZBIL,635.0,647.0,630.0,633.0,11972
2/8/2016,CZBIL,633.0,639.0,632.0,634.0,10988
2/11/2016,CZBIL,634.0,638.0,626.0,631.0,7289
2/14/2016,CZBIL,631.0,630.0,611.0,620.0,14201
2/15/2016,CZBIL,620.0,620.0,611.0,619.0,11106
2/16/2016,CZBIL,619.0,625.0,617.0,620.0,16892
2/17/2016,CZBIL,620.0,627.0,615.0,623.0,13742
2/18/2016,CZBIL,623.0,633.0,623.0,628.0,20221
2/21/2016,CZBIL,628.0,645.0,630.0,631.0,26296
2/22/2016,CZBIL,631.0,640.0,635.0,636.0,19646
2/23/2016,CZBIL,636.0,645.0,628.0,628.0,18094
2/24/2016,CZBIL,628.0,640.0,627.0,630.0,8918
2/25/2016,CZBIL,630.0,635.0,620.0,631.0,11918
2/28/2016,CZBIL,631.0,639.0,630.0,638.0,24920
2/29/2016,CZBIL,638.0,637.0,628.0,632.0,23691
3/1/2016,CZBIL,632.0,645.0,632.0,642.0,27281
3/2/2016,CZBIL,642.0,652.0,644.0,648.0,26073
3/3/2016,CZBIL,648.0,670.0,645.0,668.0,26414
3/6/2016,CZBIL,668.0,698.0,665.0,685.0,26128
3/10/2016,CZBIL,685.0,699.0,676.0,684.0,12167
3/13/2016,CZBIL,684.0,693.0,674.0,683.0,15264
3/14/2016,CZBIL,683.0,689.0,675.0,678.0,14802
3/15/2016,CZBIL,678.0,675.0,665.0,675.0,4817
3/16/2016,CZBIL,675.0,676.0,667.0,676.0,15469
3/17/2016,CZBIL,676.0,685.0,676.0,685.0,21843
3/20/2016,CZBIL,685.0,704.0,681.0,700.0,42476
3/21/2016,CZBIL,700.0,702.0,693.0,701.0,59483
3/23/2016,CZBIL,701.0,717.0,697.0,717.0,72796
3/24/2016,CZBIL,717.0,730.0,712.0,725.0,42399
3/27/2016,CZBIL,725.0,760.0,727.0,740.0,96909
3/28/2016,CZBIL,740.0,740.0,718.0,731.0,61701
3/29/2016,CZBIL,731.0,736.0,718.0,725.0,36082
3/30/2016,CZBIL,725.0,733.0,723.0,725.0,28979
3/31/2016,CZBIL,725.0,729.0,716.0,716.0,33174
4/3/2016,CZBIL,716.0,715.0,703.0,711.0,33191
4/4/2016,CZBIL,711.0,725.0,714.0,722.0,87704
4/5/2016,CZBIL,722.0,735.0,724.0,731.0,37344
4/6/2016,CZBIL,731.0,735.0,723.0,730.0,23865
4/10/2016,CZBIL,730.0,731.0,723.0,725.0,16583
4/11/2016,CZBIL,725.0,727.0,720.0,720.0,41683
4/12/2016,CZBIL,720.0,730.0,720.0,725.0,23272
4/14/2016,CZBIL,725.0,730.0,723.0,729.0,41452
4/17/2016,CZBIL,729.0,743.0,730.0,738.0,38355
4/18/2016,CZBIL,738.0,746.0,739.0,744.0,43903
4/19/2016,CZBIL,744.0,780.0,751.0,775.0,106725
4/20/2016,CZBIL,775.0,804.0,777.0,798.0,95303
4/21/2016,CZBIL,798.0,801.0,785.0,790.0,50787
4/24/2016,CZBIL,790.0,800.0,789.0,790.0,36606
4/25/2016,CZBIL,790.0,800.0,785.0,790.0,35497
4/26/2016,CZBIL,790.0,798.0,786.0,787.0,36348
4/27/2016,CZBIL,787.0,790.0,773.0,790.0,15009
4/28/2016,CZBIL,790.0,795.0,783.0,793.0,32638
5/2/2016,CZBIL,793.0,794.0,786.0,789.0,24976
5/3/2016,CZBIL,789.0,794.0,770.0,785.0,34975
5/4/2016,CZBIL,785.0,793.0,781.0,792.0,41586
5/5/2016,CZBIL,792.0,790.0,778.0,785.0,22579
5/8/2016,CZBIL,785.0,800.0,791.0,799.0,62744
5/9/2016,CZBIL,799.0,810.0,801.0,808.0,46061
5/10/2016,CZBIL,808.0,828.0,808.0,823.0,39604
5/11/2016,CZBIL,823.0,823.0,790.0,796.0,66690
5/12/2016,CZBIL,796.0,810.0,792.0,801.0,36280
5/15/2016,CZBIL,801.0,798.0,793.0,795.0,28049
5/16/2016,CZBIL,795.0,800.0,794.0,800.0,26928
5/17/2016,CZBIL,800.0,808.0,800.0,807.0,23274
5/18/2016,CZBIL,807.0,820.0,808.0,813.0,28761
5/19/2016,CZBIL,813.0,824.0,805.0,805.0,31893
5/22/2016,CZBIL,805.0,810.0,804.0,806.0,25724
5/23/2016,CZBIL,806.0,819.0,804.0,819.0,34313
5/24/2016,CZBIL,819.0,835.0,813.0,830.0,46361
5/25/2016,CZBIL,830.0,835.0,801.0,812.0,36702
5/26/2016,CZBIL,812.0,840.0,795.0,820.0,54472
5/29/2016,CZBIL,820.0,836.0,808.0,825.0,34318
5/30/2016,CZBIL,825.0,870.0,830.0,838.0,117380
5/31/2016,CZBIL,838.0,846.0,832.0,833.0,104588
6/1/2016,CZBIL,833.0,835.0,818.0,819.0,90305
6/2/2016,CZBIL,819.0,828.0,811.0,820.0,134230
6/5/2016,CZBIL,820.0,830.0,810.0,814.0,256572
6/6/2016,CZBIL,561.0,595.0,572.0,590.0,63778
6/7/2016,CZBIL,590.0,604.0,590.0,590.0,63364
6/8/2016,CZBIL,590.0,593.0,571.0,571.0,32340
6/9/2016,CZBIL,571.0,578.0,563.0,569.0,34152
6/12/2016,CZBIL,569.0,575.0,561.0,565.0,33161
6/13/2016,CZBIL,565.0,587.0,566.0,582.0,26014
