S.no,Symbol,Date,Open,High,Low,Close,Vol
14,CZBILP,2012-06-13.csv,0.0,110.0,100.0,100.0,"41,570"
16,CZBILP,2012-06-14.csv,100.0,100.0,100.0,100.0,"91,925"
15,CZBILP,2012-06-17.csv,100.0,100.0,100.0,100.0,"28,245"
14,CZBILP,2012-06-18.csv,100.0,100.0,100.0,100.0,"107,545"
15,CZBILP,2012-06-19.csv,100.0,100.0,100.0,100.0,"2,625"
16,CZBILP,2012-08-28.csv,100.0,100.0,100.0,100.0,"15,000"
14,CZBILP,2012-08-30.csv,100.0,100.0,100.0,100.0,"7,874"
12,CZBILP,2012-09-05.csv,100.0,100.0,100.0,100.0,"29,894"
18,CZBILP,2012-09-19.csv,100.0,100.0,100.0,100.0,"66,150"
19,CZBILP,2012-10-08.csv,100.0,100.0,100.0,100.0,"116,277"
14,CZBILP,2012-10-14.csv,100.0,100.0,100.0,100.0,50
16,CZBILP,2012-11-06.csv,100.0,100.0,100.0,100.0,58
14,CZBILP,2012-12-04.csv,100.0,100.0,100.0,100.0,"119,000"
16,CZBILP,2013-01-17.csv,100.0,100.0,100.0,100.0,"90,286"
16,CZBILP,2013-01-30.csv,100.0,100.0,100.0,100.0,"105,250"
16,CZBILP,2013-04-08.csv,100.0,106.0,102.0,106.0,300
15,CZBILP,2013-04-16.csv,106.0,110.0,108.0,110.0,200
14,CZBILP,2013-04-23.csv,110.0,114.0,112.0,114.0,200
17,CZBILP,2013-04-28.csv,114.0,118.0,116.0,118.0,200
17,CZBILP,2013-04-30.csv,118.0,116.0,116.0,116.0,"8,000"
16,CZBILP,2013-05-07.csv,116.0,120.0,118.0,120.0,"24,100"
16,CZBILP,2013-05-15.csv,120.0,120.0,120.0,120.0,"60,000"
18,CZBILP,2013-07-22.csv,120.0,124.0,122.0,124.0,"100,000"
20,CZBILP,2013-09-05.csv,124.0,124.0,124.0,124.0,"10,000"
19,CZBILP,2013-09-19.csv,124.0,124.0,124.0,124.0,"15,106"
14,CZBILP,2013-10-08.csv,124.0,0.0,0.0,124.0,"300,000"
12,CZBILP,2013-10-10.csv,135.0,135.0,126.0,135.0,"333,037"
16,CZBILP,2013-10-23.csv,135.0,139.0,137.0,139.0,"15,053"
14,CZBILP,2013-11-11.csv,139.0,137.0,137.0,137.0,"26,680"
16,CZBILP,2014-01-01.csv,137.0,135.0,135.0,135.0,"35,500"
18,CZBILP,2014-01-05.csv,135.0,133.0,133.0,133.0,"10,877"
19,CZBILP,2014-02-25.csv,133.0,135.0,135.0,135.0,"361,040"
18,CZBILP,2014-03-11.csv,135.0,135.0,135.0,135.0,"46,950"
20,CZBILP,2014-04-17.csv,135.0,137.0,137.0,137.0,"51,100"
22,CZBILP,2014-08-21.csv,137.0,135.0,135.0,135.0,"60,554"
24,CZBILP,2014-09-28.csv,135.0,135.0,135.0,135.0,"42,070"
22,CZBILP,2014-09-30.csv,135.0,135.0,135.0,135.0,"51,000"
23,CZBILP,2014-10-16.csv,135.0,135.0,135.0,135.0,"25,501"
21,CZBILP,2015-01-26.csv,135.0,137.0,137.0,137.0,"15,545"
22,CZBILP,2015-02-02.csv,137.0,137.0,137.0,137.0,"10,582"
21,CZBILP,2015-03-04.csv,137.0,139.0,139.0,139.0,"15,000"
11,CZBILP,2015-05-26.csv,139.0,139.0,139.0,139.0,"119,595"
22,CZBILP,2015-07-28.csv,139.0,150.0,145.0,150.0,"11,525"
18,CZBILP,2016-02-29.csv,320.0,315.0,315.0,315.0,"1,038"
19,CZBILP,2016-03-13.csv,315.0,315.0,315.0,315.0,"4,978"
17,CZBILP,2016-06-12.csv,315.0,335.0,321.0,335.0,"55,000"
18,CZBILP,2016-07-13.csv,335.0,329.0,323.0,323.0,"98,208"
18,CZBILP,2016-07-20.csv,323.0,323.0,323.0,323.0,995
16,CZBILP,2016-08-16.csv,323.0,323.0,323.0,323.0,"63,000"
16,CZBILP,2016-08-30.csv,323.0,325.0,325.0,325.0,"16,836"
18,CZBILP,2016-12-04.csv,325.0,325.0,325.0,325.0,"111,580"
17,CZBILP,2017-01-10.csv,325.0,325.0,325.0,325.0,"29,200"
15,CZBILP,2017-01-19.csv,325.0,325.0,325.0,325.0,"26,460"
16,CZBILP,2017-02-01.csv,325.0,325.0,325.0,325.0,"18,570"
19,CZBILP,2017-07-24.csv,325.0,325.0,325.0,325.0,"14,045"
20,CZBILP,2017-08-24.csv,325.0,325.0,325.0,325.0,"14,497"
22,CZBILP,2018-01-21.csv,160.0,157.0,150.0,150.0,"62,176"
23,CZBILP,2018-05-28.csv,150.0,150.0,150.0,150.0,"337,480"
21,CZBILP,2018-06-11.csv,150.0,150.0,150.0,150.0,"4,495"
20,CZBILP,2018-07-16.csv,150.0,150.0,150.0,150.0,84
20,CZBILP,2018-08-09.csv,147.0,147.0,147.0,147.0,"10,000"
21,CZBILP,2018-08-29.csv,145.0,145.0,145.0,145.0,"16,878"
23,CZBILP,2018-09-17.csv,145.0,145.0,145.0,145.0,"12,000"
23,CZBILP,2019-04-15.csv,159.0,159.0,159.0,159.0,"39,691"
27,CZBILP,2019-04-22.csv,159.0,159.0,159.0,159.0,"2,000"
23,CZBILP,2019-09-16.csv,140.0,140.0,140.0,140.0,"6,434"
20,CZBILP,2019-09-30.csv,150.0,150.0,150.0,150.0,"50,000"
23,CZBILP,2019-11-26.csv,159.0,159.0,159.0,159.0,"240,524"
24,CZBILP,2019-12-29.csv,156.0,156.0,156.0,156.0,"51,500"
