S.no,Symbol,Date,Open,High,Low,Close,Vol
24,DCBL,2012-01-01.csv,129.0,131.0,101.0,130.0,917
18,DCBL,2012-01-02.csv,130.0,135.0,129.0,135.0,"1,565"
23,DCBL,2012-01-03.csv,135.0,143.0,135.0,135.0,"11,788"
21,DCBL,2012-01-04.csv,135.0,133.0,130.0,130.0,821
14,DCBL,2012-01-05.csv,130.0,129.0,122.0,128.0,"13,066"
17,DCBL,2012-01-08.csv,128.0,128.0,122.0,128.0,"15,214"
20,DCBL,2012-01-09.csv,128.0,126.0,126.0,126.0,100
20,DCBL,2012-01-10.csv,128.0,128.0,128.0,128.0,48
22,DCBL,2012-01-12.csv,128.0,129.0,126.0,126.0,687
16,DCBL,2012-01-17.csv,126.0,129.0,123.0,123.0,"6,239"
20,DCBL,2012-01-18.csv,123.0,121.0,120.0,120.0,"2,891"
16,DCBL,2012-01-19.csv,120.0,126.0,122.0,126.0,138
23,DCBL,2012-01-22.csv,126.0,130.0,124.0,126.0,506
22,DCBL,2012-01-23.csv,126.0,129.0,126.0,129.0,440
20,DCBL,2012-01-25.csv,129.0,129.0,128.0,129.0,"10,418"
18,DCBL,2012-01-26.csv,129.0,131.0,127.0,131.0,"4,833"
23,DCBL,2012-01-29.csv,131.0,130.0,130.0,130.0,100
28,DCBL,2012-01-31.csv,130.0,128.0,128.0,128.0,116
23,DCBL,2012-02-01.csv,128.0,130.0,130.0,130.0,131
22,DCBL,2012-02-02.csv,130.0,128.0,126.0,126.0,300
22,DCBL,2012-02-05.csv,126.0,126.0,124.0,126.0,906
20,DCBL,2012-02-06.csv,126.0,130.0,126.0,130.0,230
24,DCBL,2012-02-07.csv,130.0,130.0,128.0,130.0,149
19,DCBL,2012-02-08.csv,130.0,128.0,128.0,128.0,200
18,DCBL,2012-02-09.csv,128.0,126.0,126.0,126.0,100
22,DCBL,2012-02-12.csv,126.0,124.0,123.0,123.0,704
18,DCBL,2012-02-13.csv,123.0,126.0,125.0,126.0,88
18,DCBL,2012-02-14.csv,126.0,125.0,124.0,125.0,176
20,DCBL,2012-02-15.csv,125.0,123.0,123.0,123.0,306
20,DCBL,2012-02-16.csv,123.0,124.0,121.0,122.0,"1,277"
19,DCBL,2012-02-21.csv,122.0,125.0,123.0,125.0,280
21,DCBL,2012-02-23.csv,125.0,126.0,125.0,126.0,"1,160"
21,DCBL,2012-02-26.csv,126.0,128.0,126.0,126.0,"1,503"
25,DCBL,2012-02-27.csv,126.0,125.0,125.0,125.0,"3,426"
21,DCBL,2012-02-28.csv,125.0,132.0,126.0,132.0,"2,735"
20,DCBL,2012-02-29.csv,132.0,132.0,131.0,131.0,62
23,DCBL,2012-03-01.csv,131.0,131.0,130.0,130.0,786
20,DCBL,2012-03-04.csv,130.0,131.0,129.0,131.0,"1,527"
19,DCBL,2012-03-05.csv,131.0,131.0,130.0,130.0,514
19,DCBL,2012-03-06.csv,130.0,129.0,129.0,129.0,600
23,DCBL,2012-03-11.csv,129.0,129.0,128.0,128.0,416
19,DCBL,2012-03-12.csv,128.0,130.0,126.0,126.0,"2,086"
20,DCBL,2012-03-13.csv,126.0,132.0,126.0,132.0,851
20,DCBL,2012-03-14.csv,132.0,132.0,130.0,132.0,301
22,DCBL,2012-03-18.csv,132.0,131.0,129.0,129.0,554
21,DCBL,2012-03-19.csv,129.0,129.0,127.0,129.0,"2,136"
25,DCBL,2012-03-20.csv,129.0,128.0,124.0,127.0,"5,624"
24,DCBL,2012-03-21.csv,127.0,132.0,126.0,132.0,571
19,DCBL,2012-03-25.csv,132.0,130.0,126.0,128.0,"2,348"
22,DCBL,2012-03-26.csv,128.0,130.0,130.0,130.0,20
20,DCBL,2012-03-27.csv,130.0,128.0,126.0,126.0,83
19,DCBL,2012-03-28.csv,126.0,129.0,121.0,129.0,"4,311"
23,DCBL,2012-04-01.csv,129.0,129.0,127.0,127.0,215
21,DCBL,2012-04-02.csv,127.0,129.0,126.0,127.0,"1,020"
18,DCBL,2012-04-03.csv,127.0,129.0,125.0,129.0,934
23,DCBL,2012-04-04.csv,129.0,129.0,126.0,129.0,"9,645"
26,DCBL,2012-04-05.csv,129.0,128.0,127.0,127.0,604
26,DCBL,2012-04-08.csv,127.0,129.0,124.0,129.0,"20,968"
17,DCBL,2012-04-09.csv,129.0,132.0,128.0,132.0,"2,068"
23,DCBL,2012-04-10.csv,132.0,135.0,133.0,135.0,663
22,DCBL,2012-04-11.csv,135.0,147.0,135.0,137.0,"2,119"
26,DCBL,2012-04-12.csv,137.0,147.0,133.0,147.0,"11,028"
25,DCBL,2012-04-15.csv,147.0,161.0,149.0,160.0,"6,049"
14,DCBL,2012-04-16.csv,160.0,176.0,163.0,176.0,"6,850"
