Date,Symbol,Open,High,Low,Close,Vol
1/3/2016,DDBL,1674.0,1760.0,1706.0,1759.0,2442
1/4/2016,DDBL,1759.0,1820.0,1725.0,1735.0,6895
1/5/2016,DDBL,1735.0,1725.0,1675.0,1680.0,1245
1/6/2016,DDBL,1680.0,1660.0,1640.0,1660.0,803
1/7/2016,DDBL,1660.0,1675.0,1645.0,1670.0,998
1/10/2016,DDBL,1670.0,1650.0,1640.0,1640.0,815
1/11/2016,DDBL,1640.0,1670.0,1626.0,1660.0,1021
1/12/2016,DDBL,1660.0,1694.0,1660.0,1690.0,2005
1/12/2016,DDBL,1660.0,1694.0,1660.0,1690.0,2005
1/13/2016,DDBL,1690.0,1723.0,1700.0,1720.0,400
1/14/2016,DDBL,1720.0,1750.0,1740.0,1750.0,250
1/17/2016,DDBL,1750.0,1850.0,1766.0,1766.0,1208
1/18/2016,DDBL,1766.0,1805.0,1766.0,1800.0,2956
1/19/2016,DDBL,1800.0,1805.0,1800.0,1801.0,2058
1/20/2016,DDBL,1801.0,1830.0,1805.0,1805.0,3445
1/21/2016,DDBL,1805.0,1880.0,1820.0,1880.0,2814
1/24/2016,DDBL,1880.0,2010.0,1915.0,2010.0,9271
1/25/2016,DDBL,2010.0,2020.0,1960.0,2005.0,6599
1/26/2016,DDBL,2005.0,2000.0,1990.0,1992.0,3360
1/27/2016,DDBL,1992.0,1989.0,1941.0,1979.0,2255
1/28/2016,DDBL,1979.0,1999.0,1940.0,1999.0,1417
1/31/2016,DDBL,1999.0,2015.0,1999.0,2015.0,483
2/1/2016,DDBL,2015.0,2030.0,1991.0,1991.0,1945
2/2/2016,DDBL,1991.0,2070.0,2005.0,2030.0,1443
2/3/2016,DDBL,2030.0,2150.0,2050.0,2150.0,2488
2/4/2016,DDBL,2150.0,2200.0,2128.0,2150.0,5720
2/7/2016,DDBL,2150.0,2236.0,2145.0,2150.0,6020
2/8/2016,DDBL,2150.0,2130.0,2065.0,2100.0,1940
2/11/2016,DDBL,2100.0,2120.0,2065.0,2100.0,1795
2/14/2016,DDBL,2100.0,2100.0,2059.0,2060.0,1950
2/15/2016,DDBL,2060.0,2099.0,1979.0,2099.0,1030
2/16/2016,DDBL,2099.0,2100.0,2065.0,2100.0,3643
2/17/2016,DDBL,2100.0,2110.0,2100.0,2100.0,400
2/18/2016,DDBL,2100.0,2100.0,2075.0,2100.0,1572
2/21/2016,DDBL,2100.0,2162.0,2110.0,2162.0,3056
2/22/2016,DDBL,2162.0,2160.0,2125.0,2140.0,1647
2/23/2016,DDBL,2140.0,2160.0,2145.0,2155.0,1220
2/24/2016,DDBL,2155.0,2190.0,2150.0,2190.0,2716
2/25/2016,DDBL,2190.0,2165.0,2150.0,2160.0,815
2/28/2016,DDBL,2160.0,2200.0,2160.0,2190.0,1016
2/29/2016,DDBL,2190.0,2397.0,2190.0,2320.0,9424
3/1/2016,DDBL,2320.0,2475.0,2360.0,2475.0,8198
3/2/2016,DDBL,2475.0,2722.0,2500.0,2722.0,16386
3/3/2016,DDBL,2722.0,2830.0,2563.0,2626.0,1932
3/6/2016,DDBL,2626.0,2600.0,2550.0,2600.0,1809
3/10/2016,DDBL,2600.0,2700.0,2646.0,2646.0,120
3/13/2016,DDBL,2646.0,2635.0,2585.0,2635.0,3561
3/14/2016,DDBL,2635.0,2600.0,2469.0,2569.0,2620
3/15/2016,DDBL,2569.0,2630.0,2520.0,2630.0,2873
3/16/2016,DDBL,2630.0,2640.0,2586.0,2586.0,443
3/17/2016,DDBL,2586.0,2586.0,2565.0,2565.0,494
3/20/2016,DDBL,2565.0,2600.0,2550.0,2575.0,2725
3/21/2016,DDBL,2575.0,2570.0,2500.0,2550.0,1287
3/23/2016,DDBL,2550.0,2548.0,2525.0,2535.0,447
3/24/2016,DDBL,2535.0,2535.0,2515.0,2525.0,1160
3/27/2016,DDBL,2525.0,2560.0,2520.0,2550.0,4781
3/28/2016,DDBL,2550.0,2595.0,2530.0,2590.0,2583
3/29/2016,DDBL,2590.0,2652.0,2589.0,2652.0,2453
3/30/2016,DDBL,2652.0,2900.0,2681.0,2894.0,11876
3/31/2016,DDBL,2894.0,2988.0,2790.0,2790.0,16063
4/3/2016,DDBL,2790.0,2830.0,2650.0,2685.0,6360
4/4/2016,DDBL,2685.0,2700.0,2655.0,2675.0,4149
4/5/2016,DDBL,2675.0,2720.0,2675.0,2695.0,578
4/6/2016,DDBL,2695.0,2700.0,2660.0,2683.0,1510
4/10/2016,DDBL,2683.0,2690.0,2650.0,2650.0,1920
4/11/2016,DDBL,2650.0,2620.0,2600.0,2620.0,1900
4/12/2016,DDBL,2620.0,2620.0,2585.0,2600.0,3423
4/14/2016,DDBL,2600.0,2667.0,2615.0,2667.0,359
4/17/2016,DDBL,2667.0,2735.0,2690.0,2735.0,1693
4/18/2016,DDBL,2735.0,2750.0,2705.0,2705.0,5306
4/19/2016,DDBL,2705.0,2730.0,2700.0,2700.0,425
4/20/2016,DDBL,2700.0,2720.0,2700.0,2703.0,485
4/21/2016,DDBL,2703.0,2719.0,2700.0,2718.0,1328
4/24/2016,DDBL,2718.0,2700.0,2675.0,2690.0,2032
4/25/2016,DDBL,2690.0,2743.0,2690.0,2743.0,500
4/26/2016,DDBL,2743.0,2715.0,2690.0,2700.0,1710
4/27/2016,DDBL,2700.0,2760.0,2650.0,2745.0,1948
4/28/2016,DDBL,2745.0,2790.0,2765.0,2766.0,1422
5/2/2016,DDBL,2766.0,2770.0,2720.0,2720.0,1786
5/3/2016,DDBL,2720.0,2730.0,2700.0,2700.0,2500
5/4/2016,DDBL,2700.0,2750.0,2695.0,2695.0,1350
5/5/2016,DDBL,2695.0,2740.0,2690.0,2700.0,4428
5/8/2016,DDBL,2700.0,2730.0,2660.0,2720.0,4440
5/9/2016,DDBL,2720.0,2800.0,2750.0,2750.0,1840
5/10/2016,DDBL,2750.0,2775.0,2722.0,2727.0,2530
5/11/2016,DDBL,2727.0,2775.0,2740.0,2775.0,4203
5/12/2016,DDBL,2775.0,2810.0,2750.0,2755.0,4642
5/15/2016,DDBL,2755.0,2765.0,2750.0,2765.0,2894
5/16/2016,DDBL,2765.0,2780.0,2740.0,2780.0,1165
5/17/2016,DDBL,2780.0,2805.0,2780.0,2782.0,1516
5/18/2016,DDBL,2782.0,2800.0,2772.0,2780.0,1087
5/19/2016,DDBL,2780.0,2830.0,2790.0,2795.0,3109
5/22/2016,DDBL,2795.0,2845.0,2789.0,2795.0,3743
5/23/2016,DDBL,2795.0,2830.0,2800.0,2830.0,2362
5/24/2016,DDBL,2830.0,2999.0,2870.0,2981.0,5930
5/25/2016,DDBL,2981.0,2980.0,2925.0,2969.0,3790
5/26/2016,DDBL,2969.0,2970.0,2862.0,2901.0,1081
5/29/2016,DDBL,2901.0,2930.0,2900.0,2905.0,3570
5/30/2016,DDBL,2905.0,2900.0,2881.0,2881.0,1593
5/31/2016,DDBL,2881.0,2925.0,2881.0,2881.0,2406
6/1/2016,DDBL,2881.0,2870.0,2793.0,2855.0,5135
6/2/2016,DDBL,2855.0,2850.0,2800.0,2850.0,5545
6/5/2016,DDBL,2850.0,2820.0,2740.0,2760.0,3900
6/6/2016,DDBL,2760.0,2815.0,2755.0,2815.0,2003
6/7/2016,DDBL,2815.0,2870.0,2815.0,2845.0,1673
6/8/2016,DDBL,2845.0,2958.0,2850.0,2900.0,8183
6/9/2016,DDBL,2900.0,2999.0,2910.0,2968.0,4936
6/12/2016,DDBL,2968.0,3200.0,3027.0,3190.0,16885
6/13/2016,DDBL,3190.0,3417.0,3250.0,3325.0,15507
6/14/2016,DDBL,3325.0,3400.0,3280.0,3300.0,9176
6/15/2016,DDBL,3300.0,3310.0,3252.0,3274.0,4278
