S.no,Symbol,Date,Open,High,Low,Close,Vol
18,DHPL,2017-02-13.csv,0.0,0.0,348.0,348.0,11
18,DHPL,2017-02-14.csv,348.0,342.0,314.0,314.0,62
19,DHPL,2017-02-15.csv,314.0,308.0,283.0,283.0,101
19,DHPL,2017-02-16.csv,283.0,278.0,255.0,255.0,324
18,DHPL,2017-02-19.csv,255.0,250.0,230.0,230.0,823
18,DHPL,2017-02-20.csv,230.0,234.0,225.0,230.0,359
18,DHPL,2017-02-21.csv,230.0,238.0,231.0,232.0,421
18,DHPL,2017-02-22.csv,232.0,233.0,224.0,228.0,567
19,DHPL,2017-02-23.csv,228.0,237.0,228.0,232.0,523
18,DHPL,2017-02-26.csv,232.0,235.0,233.0,233.0,174
17,DHPL,2017-02-28.csv,233.0,237.0,235.0,235.0,273
17,DHPL,2017-03-01.csv,235.0,234.0,229.0,230.0,267
18,DHPL,2017-03-02.csv,230.0,230.0,226.0,230.0,512
17,DHPL,2017-03-05.csv,230.0,236.0,232.0,233.0,95
19,DHPL,2017-03-06.csv,233.0,243.0,234.0,235.0,194
18,DHPL,2017-03-07.csv,235.0,236.0,231.0,234.0,147
17,DHPL,2017-03-09.csv,234.0,235.0,226.0,235.0,460
18,DHPL,2017-03-13.csv,235.0,239.0,236.0,239.0,108
18,DHPL,2017-03-14.csv,239.0,239.0,235.0,239.0,62
18,DHPL,2017-03-15.csv,239.0,239.0,234.0,239.0,161
20,DHPL,2017-03-16.csv,239.0,246.0,240.0,246.0,61
17,DHPL,2017-03-19.csv,246.0,255.0,246.0,246.0,"1,084"
15,DHPL,2017-03-20.csv,246.0,250.0,249.0,250.0,30
16,DHPL,2017-03-21.csv,250.0,265.0,244.0,245.0,951
17,DHPL,2017-03-22.csv,245.0,241.0,241.0,241.0,200
17,DHPL,2017-03-23.csv,241.0,237.0,229.0,234.0,"1,064"
17,DHPL,2017-03-26.csv,234.0,242.0,234.0,238.0,"1,426"
18,DHPL,2017-03-28.csv,238.0,249.0,242.0,249.0,"2,809"
18,DHPL,2017-03-29.csv,249.0,254.0,247.0,247.0,855
17,DHPL,2017-03-30.csv,247.0,245.0,241.0,242.0,150
14,DHPL,2017-04-02.csv,242.0,240.0,240.0,240.0,10
16,DHPL,2017-04-03.csv,240.0,244.0,240.0,240.0,30
18,DHPL,2017-04-04.csv,240.0,240.0,230.0,235.0,271
17,DHPL,2017-04-06.csv,235.0,235.0,230.0,230.0,105
18,DHPL,2017-04-09.csv,230.0,236.0,231.0,235.0,353
18,DHPL,2017-04-10.csv,235.0,239.0,235.0,239.0,172
17,DHPL,2017-04-11.csv,239.0,239.0,239.0,239.0,10
19,DHPL,2017-04-12.csv,239.0,240.0,235.0,240.0,328
18,DHPL,2017-04-16.csv,240.0,240.0,236.0,237.0,169
19,DHPL,2017-04-18.csv,237.0,248.0,237.0,244.0,583
20,DHPL,2017-04-19.csv,244.0,248.0,240.0,244.0,153
17,DHPL,2017-04-20.csv,244.0,240.0,240.0,240.0,86
18,DHPL,2017-04-24.csv,240.0,239.0,223.0,223.0,107
19,DHPL,2017-04-25.csv,223.0,230.0,223.0,230.0,569
19,DHPL,2017-04-26.csv,230.0,234.0,228.0,234.0,266
20,DHPL,2017-04-27.csv,234.0,234.0,227.0,230.0,103
18,DHPL,2017-04-30.csv,230.0,235.0,230.0,231.0,270
20,DHPL,2017-05-02.csv,231.0,229.0,220.0,224.0,495
19,DHPL,2017-05-03.csv,224.0,227.0,221.0,227.0,116
19,DHPL,2017-05-04.csv,227.0,225.0,217.0,221.0,218
19,DHPL,2017-05-07.csv,221.0,220.0,216.0,216.0,183
18,DHPL,2017-05-08.csv,216.0,220.0,214.0,220.0,"1,160"
18,DHPL,2017-05-09.csv,220.0,233.0,224.0,226.0,"1,493"
19,DHPL,2017-05-11.csv,226.0,248.0,227.0,248.0,"1,479"
19,DHPL,2017-05-15.csv,248.0,270.0,247.0,268.0,"2,306"
19,DHPL,2017-05-16.csv,268.0,271.0,250.0,250.0,746
19,DHPL,2017-05-17.csv,250.0,252.0,250.0,250.0,343
19,DHPL,2017-05-18.csv,250.0,245.0,233.0,233.0,548
20,DHPL,2017-05-21.csv,233.0,237.0,231.0,232.0,210
20,DHPL,2017-05-22.csv,232.0,232.0,220.0,225.0,178
19,DHPL,2017-05-23.csv,225.0,229.0,224.0,229.0,136
19,DHPL,2017-05-24.csv,229.0,229.0,225.0,225.0,105
19,DHPL,2017-05-28.csv,225.0,229.0,221.0,229.0,791
19,DHPL,2017-05-30.csv,229.0,225.0,218.0,222.0,185
18,DHPL,2017-05-31.csv,222.0,224.0,220.0,224.0,115
20,DHPL,2017-06-01.csv,224.0,224.0,221.0,222.0,161
19,DHPL,2017-06-04.csv,222.0,224.0,220.0,222.0,136
