S.no,Symbol,Date,Open,High,Low,Close,Vol
18,DIYALO,2012-01-03.csv,96.0,95.0,94.0,94.0,220
16,DIYALO,2012-01-04.csv,94.0,93.0,92.0,92.0,50
15,DIYALO,2012-01-09.csv,92.0,91.0,90.0,90.0,80
18,DIYALO,2012-01-11.csv,90.0,89.0,88.0,88.0,110
12,DIYALO,2012-01-16.csv,88.0,88.0,88.0,88.0,20
16,DIYALO,2012-01-23.csv,88.0,88.0,88.0,88.0,280
15,DIYALO,2012-01-29.csv,88.0,87.0,85.0,85.0,30
20,DIYALO,2012-01-31.csv,85.0,84.0,77.0,77.0,"1,170"
18,DIYALO,2012-02-01.csv,77.0,78.0,76.0,78.0,430
17,DIYALO,2012-02-02.csv,78.0,80.0,78.0,80.0,"1,090"
17,DIYALO,2012-02-05.csv,80.0,81.0,80.0,81.0,250
14,DIYALO,2012-02-06.csv,81.0,81.0,80.0,80.0,150
17,DIYALO,2012-02-07.csv,80.0,81.0,81.0,81.0,270
15,DIYALO,2012-02-08.csv,81.0,82.0,81.0,81.0,280
13,DIYALO,2012-02-09.csv,81.0,80.0,77.0,77.0,370
17,DIYALO,2012-02-12.csv,77.0,79.0,78.0,78.0,820
14,DIYALO,2012-02-13.csv,78.0,80.0,78.0,80.0,190
14,DIYALO,2012-02-14.csv,80.0,83.0,80.0,83.0,230
15,DIYALO,2012-02-15.csv,83.0,85.0,83.0,85.0,290
16,DIYALO,2012-02-16.csv,85.0,84.0,82.0,84.0,430
15,DIYALO,2012-02-21.csv,84.0,84.0,83.0,84.0,40
16,DIYALO,2012-02-23.csv,84.0,84.0,84.0,84.0,10
17,DIYALO,2012-02-26.csv,84.0,86.0,83.0,86.0,120
19,DIYALO,2012-02-27.csv,86.0,88.0,86.0,86.0,260
16,DIYALO,2012-02-28.csv,86.0,85.0,84.0,84.0,70
16,DIYALO,2012-02-29.csv,84.0,83.0,82.0,83.0,70
17,DIYALO,2012-03-01.csv,83.0,82.0,80.0,81.0,130
16,DIYALO,2012-03-04.csv,81.0,83.0,81.0,83.0,250
15,DIYALO,2012-03-05.csv,83.0,82.0,82.0,82.0,150
15,DIYALO,2012-03-06.csv,82.0,82.0,82.0,82.0,10
18,DIYALO,2012-03-11.csv,82.0,85.0,82.0,85.0,100
15,DIYALO,2012-03-12.csv,85.0,87.0,86.0,86.0,150
16,DIYALO,2012-03-13.csv,86.0,89.0,87.0,89.0,260
16,DIYALO,2012-03-14.csv,89.0,93.0,90.0,92.0,"2,000"
13,DIYALO,2012-03-15.csv,92.0,91.0,89.0,90.0,220
16,DIYALO,2012-03-18.csv,90.0,89.0,88.0,89.0,130
16,DIYALO,2012-03-19.csv,89.0,90.0,89.0,89.0,40
18,DIYALO,2012-03-20.csv,89.0,89.0,88.0,89.0,230
18,DIYALO,2012-03-21.csv,89.0,90.0,89.0,89.0,570
18,DIYALO,2012-03-26.csv,89.0,90.0,88.0,90.0,40
17,DIYALO,2012-03-29.csv,90.0,89.0,88.0,89.0,150
18,DIYALO,2012-04-01.csv,89.0,93.0,90.0,90.0,"2,980"
17,DIYALO,2012-04-02.csv,90.0,91.0,91.0,91.0,90
15,DIYALO,2012-04-03.csv,91.0,90.0,90.0,90.0,10
17,DIYALO,2012-04-04.csv,90.0,92.0,91.0,91.0,30
19,DIYALO,2012-04-05.csv,91.0,92.0,92.0,92.0,40
20,DIYALO,2012-04-08.csv,92.0,93.0,93.0,93.0,40
16,DIYALO,2012-04-10.csv,93.0,94.0,93.0,94.0,610
17,DIYALO,2012-04-11.csv,94.0,96.0,95.0,96.0,50
21,DIYALO,2012-04-12.csv,96.0,97.0,96.0,97.0,140
19,DIYALO,2012-04-15.csv,97.0,98.0,98.0,98.0,200
11,DIYALO,2012-04-16.csv,98.0,99.0,99.0,99.0,110
20,DIYALO,2012-04-19.csv,99.0,102.0,100.0,100.0,280
20,DIYALO,2012-04-26.csv,100.0,102.0,102.0,102.0,50
20,DIYALO,2012-04-29.csv,102.0,108.0,104.0,108.0,30
23,DIYALO,2012-06-05.csv,108.0,103.0,103.0,103.0,10
17,DIYALO,2012-06-06.csv,103.0,98.0,98.0,98.0,10
13,DIYALO,2012-06-10.csv,98.0,97.0,96.0,96.0,20
16,DIYALO,2012-06-11.csv,96.0,95.0,93.0,93.0,80
16,DIYALO,2012-06-20.csv,93.0,92.0,89.0,89.0,80
15,DIYALO,2012-06-21.csv,89.0,88.0,81.0,81.0,150
13,DIYALO,2012-06-25.csv,81.0,80.0,78.0,80.0,"1,220"
14,DIYALO,2012-06-26.csv,80.0,82.0,81.0,81.0,320
15,DIYALO,2012-06-27.csv,81.0,81.0,80.0,80.0,40
17,DIYALO,2012-06-28.csv,80.0,81.0,80.0,81.0,370
13,DIYALO,2012-07-01.csv,81.0,83.0,80.0,83.0,310
15,DIYALO,2012-07-02.csv,83.0,90.0,83.0,90.0,170
17,DIYALO,2012-07-04.csv,90.0,90.0,90.0,90.0,20
14,DIYALO,2012-07-08.csv,90.0,89.0,88.0,88.0,60
16,DIYALO,2012-07-09.csv,88.0,87.0,85.0,85.0,70
13,DIYALO,2012-07-10.csv,85.0,84.0,83.0,84.0,60
16,DIYALO,2012-07-11.csv,84.0,85.0,84.0,85.0,50
