S.no,Symbol,Date,Open,High,Low,Close,Vol
17,EBL,2012-01-01.csv,696.0,695.0,681.0,685.0,"6,914"
14,EBL,2012-01-02.csv,685.0,714.0,680.0,714.0,"9,126"
19,EBL,2012-01-03.csv,714.0,714.0,700.0,700.0,"4,018"
17,EBL,2012-01-04.csv,700.0,700.0,680.0,681.0,"18,324"
11,EBL,2012-01-05.csv,681.0,702.0,680.0,702.0,"5,733"
14,EBL,2012-01-08.csv,702.0,700.0,675.0,700.0,"9,151"
16,EBL,2012-01-09.csv,700.0,686.0,670.0,670.0,"12,252"
16,EBL,2012-01-10.csv,702.0,709.0,661.0,690.0,389
19,EBL,2012-01-11.csv,690.0,740.0,670.0,714.0,"1,369"
17,EBL,2012-01-12.csv,714.0,728.0,711.0,728.0,110
13,EBL,2012-01-16.csv,728.0,714.0,686.0,693.0,429
12,EBL,2012-01-17.csv,693.0,711.0,685.0,697.0,283
16,EBL,2012-01-18.csv,697.0,703.0,690.0,693.0,821
13,EBL,2012-01-19.csv,693.0,700.0,687.0,687.0,780
17,EBL,2012-01-22.csv,687.0,692.0,685.0,685.0,183
17,EBL,2012-01-23.csv,685.0,685.0,670.0,670.0,"3,838"
16,EBL,2012-01-25.csv,670.0,683.0,670.0,682.0,"1,151"
14,EBL,2012-01-26.csv,682.0,691.0,670.0,690.0,330
16,EBL,2012-01-29.csv,690.0,680.0,670.0,680.0,"3,345"
21,EBL,2012-01-31.csv,680.0,680.0,670.0,675.0,453
19,EBL,2012-02-01.csv,675.0,687.0,670.0,687.0,"1,427"
18,EBL,2012-02-02.csv,687.0,682.0,670.0,680.0,"2,007"
18,EBL,2012-02-05.csv,680.0,684.0,671.0,672.0,67
15,EBL,2012-02-06.csv,672.0,673.0,670.0,672.0,"1,677"
18,EBL,2012-02-07.csv,672.0,683.0,665.0,683.0,"1,337"
16,EBL,2012-02-08.csv,683.0,696.0,696.0,696.0,210
14,EBL,2012-02-09.csv,696.0,709.0,665.0,696.0,"1,552"
18,EBL,2012-02-12.csv,696.0,683.0,670.0,683.0,968
15,EBL,2012-02-13.csv,683.0,684.0,670.0,671.0,800
15,EBL,2012-02-14.csv,671.0,672.0,667.0,667.0,"6,670"
16,EBL,2012-02-15.csv,667.0,679.0,668.0,679.0,"1,229"
17,EBL,2012-02-16.csv,679.0,688.0,665.0,670.0,"2,457"
16,EBL,2012-02-21.csv,670.0,680.0,665.0,680.0,"1,290"
17,EBL,2012-02-23.csv,680.0,694.0,665.0,694.0,"3,286"
18,EBL,2012-02-26.csv,694.0,681.0,665.0,680.0,"4,064"
20,EBL,2012-02-27.csv,680.0,688.0,671.0,688.0,573
17,EBL,2012-02-28.csv,688.0,698.0,670.0,698.0,"3,642"
17,EBL,2012-02-29.csv,698.0,685.0,670.0,676.0,"2,794"
18,EBL,2012-03-01.csv,676.0,690.0,655.0,690.0,"33,581"
17,EBL,2012-03-04.csv,690.0,683.0,668.0,683.0,"1,949"
16,EBL,2012-03-05.csv,683.0,686.0,665.0,686.0,"6,761"
16,EBL,2012-03-06.csv,686.0,690.0,665.0,690.0,"3,519"
19,EBL,2012-03-11.csv,690.0,683.0,670.0,683.0,770
16,EBL,2012-03-12.csv,683.0,683.0,665.0,683.0,"1,930"
17,EBL,2012-03-13.csv,683.0,670.0,650.0,670.0,"152,797"
17,EBL,2012-03-14.csv,670.0,692.0,669.0,692.0,828
14,EBL,2012-03-15.csv,692.0,683.0,670.0,683.0,564
17,EBL,2012-03-18.csv,683.0,684.0,665.0,678.0,"4,530"
17,EBL,2012-03-19.csv,678.0,678.0,665.0,665.0,"4,922"
19,EBL,2012-03-20.csv,665.0,695.0,667.0,695.0,416
19,EBL,2012-03-21.csv,695.0,700.0,671.0,700.0,582
16,EBL,2012-03-25.csv,700.0,686.0,670.0,683.0,880
19,EBL,2012-03-26.csv,683.0,678.0,665.0,678.0,"8,350"
17,EBL,2012-03-27.csv,678.0,678.0,662.0,678.0,"5,611"
15,EBL,2012-03-28.csv,678.0,678.0,665.0,678.0,"4,252"
18,EBL,2012-03-29.csv,678.0,670.0,665.0,670.0,"4,310"
19,EBL,2012-04-01.csv,670.0,705.0,666.0,705.0,328
18,EBL,2012-04-02.csv,705.0,691.0,673.0,680.0,289
16,EBL,2012-04-03.csv,680.0,688.0,666.0,688.0,"3,949"
18,EBL,2012-04-04.csv,688.0,689.0,675.0,689.0,"2,384"
20,EBL,2012-04-05.csv,689.0,680.0,675.0,678.0,"10,316"
21,EBL,2012-04-08.csv,678.0,690.0,680.0,685.0,529
15,EBL,2012-04-09.csv,685.0,694.0,690.0,694.0,"3,029"
17,EBL,2012-04-10.csv,694.0,702.0,691.0,700.0,"3,405"
18,EBL,2012-04-11.csv,700.0,725.0,705.0,715.0,"3,502"
22,EBL,2012-04-12.csv,715.0,751.0,718.0,751.0,"4,129"
20,EBL,2012-04-15.csv,751.0,804.0,751.0,804.0,"6,854"
12,EBL,2012-04-16.csv,804.0,883.0,820.0,883.0,415
17,EBL,2012-04-17.csv,883.0,971.0,795.0,796.0,"15,765"
19,EBL,2012-04-18.csv,796.0,873.0,760.0,830.0,"11,617"
21,EBL,2012-04-19.csv,830.0,881.0,830.0,881.0,"3,226"
19,EBL,2012-04-22.csv,881.0,915.0,875.0,899.0,"10,422"
14,EBL,2012-04-24.csv,899.0,988.0,911.0,988.0,"1,848"
15,EBL,2012-04-25.csv,988.0,1086.0,1007.0,1086.0,"1,310"
21,EBL,2012-04-26.csv,1086.0,1151.0,978.0,1110.0,"15,702"
21,EBL,2012-04-29.csv,1110.0,1125.0,1051.0,1078.0,"9,521"
21,EBL,2012-04-30.csv,1078.0,1099.0,1000.0,1003.0,"14,923"
9,EBL,2012-05-02.csv,1003.0,983.0,904.0,909.0,"2,436"
