S.no,Symbol,Date,Open,High,Low,Close,Vol
18,EBLCP,2012-01-01.csv,922.0,904.0,904.0,904.0,48
18,EBLCP,2012-05-22.csv,904.0,900.0,882.0,882.0,36
18,EBLCP,2012-07-11.csv,882.0,926.0,926.0,926.0,60
17,EBLCP,2012-07-12.csv,926.0,908.0,838.0,864.0,"33,588"
13,EBLCP,2012-07-15.csv,864.0,847.0,831.0,831.0,40
17,EBLCP,2012-07-25.csv,831.0,815.0,754.0,779.0,"2,524"
15,EBLCP,2012-07-26.csv,779.0,765.0,750.0,750.0,76
17,EBLCP,2012-07-30.csv,750.0,765.0,765.0,765.0,52
19,EBLCP,2012-07-31.csv,765.0,750.0,694.0,719.0,"1,148"
17,EBLCP,2012-08-01.csv,719.0,765.0,694.0,765.0,"3,600"
18,EBLCP,2012-09-04.csv,765.0,780.0,750.0,780.0,112
15,EBLCP,2012-09-05.csv,780.0,765.0,765.0,765.0,192
19,EBLCP,2012-09-11.csv,765.0,750.0,750.0,750.0,10
18,EBLCP,2012-09-12.csv,750.0,735.0,729.0,729.0,128
20,EBLCP,2012-09-17.csv,729.0,725.0,725.0,725.0,88
32,EBLCP,2012-10-01.csv,725.0,711.0,711.0,711.0,20
33,EBLCP,2012-10-01.csv,725.0,711.0,711.0,711.0,20
22,EBLCP,2012-10-08.csv,711.0,697.0,684.0,684.0,36
18,EBLCP,2012-10-09.csv,684.0,674.0,674.0,674.0,64
18,EBLCP,2012-11-07.csv,674.0,674.0,650.0,663.0,190
14,EBLCP,2012-11-08.csv,663.0,678.0,665.0,665.0,52
13,EBLCP,2012-11-11.csv,665.0,704.0,678.0,704.0,64
14,EBLCP,2012-11-12.csv,704.0,745.0,717.0,745.0,60
17,EBLCP,2012-11-29.csv,745.0,731.0,731.0,731.0,16
14,EBLCP,2012-12-12.csv,731.0,728.0,700.0,700.0,248
17,EBLCP,2012-12-13.csv,700.0,734.0,673.0,734.0,272
18,EBLCP,2012-12-16.csv,734.0,769.0,740.0,769.0,84
18,EBLCP,2012-12-17.csv,769.0,784.0,784.0,784.0,20
13,EBLCP,2012-12-18.csv,784.0,771.0,770.0,771.0,188
16,EBLCP,2012-12-19.csv,771.0,786.0,771.0,786.0,370
16,EBLCP,2012-12-20.csv,786.0,785.0,771.0,785.0,44
16,EBLCP,2012-12-24.csv,785.0,785.0,770.0,784.0,698
16,EBLCP,2012-12-26.csv,784.0,799.0,799.0,799.0,20
14,EBLCP,2012-12-31.csv,799.0,810.0,810.0,810.0,24
16,EBLCP,2013-01-01.csv,810.0,794.0,764.0,764.0,456
13,EBLCP,2013-01-02.csv,764.0,750.0,749.0,750.0,260
14,EBLCP,2013-01-03.csv,750.0,780.0,765.0,780.0,232
15,EBLCP,2013-01-06.csv,780.0,785.0,770.0,785.0,392
14,EBLCP,2013-01-07.csv,785.0,777.0,765.0,775.0,724
12,EBLCP,2013-01-09.csv,775.0,770.0,770.0,770.0,56
12,EBLCP,2013-01-10.csv,770.0,790.0,775.0,775.0,320
15,EBLCP,2013-01-15.csv,775.0,776.0,760.0,770.0,552
15,EBLCP,2013-01-16.csv,770.0,776.0,775.0,776.0,40
19,EBLCP,2013-01-17.csv,776.0,775.0,775.0,775.0,24
16,EBLCP,2013-01-21.csv,775.0,775.0,760.0,775.0,152
17,EBLCP,2013-01-22.csv,775.0,775.0,775.0,775.0,160
19,EBLCP,2013-01-23.csv,775.0,780.0,775.0,775.0,672
16,EBLCP,2013-01-24.csv,775.0,780.0,765.0,780.0,108
18,EBLCP,2013-01-28.csv,766.0,781.0,775.0,781.0,100
18,EBLCP,2013-01-30.csv,781.0,780.0,780.0,780.0,176
15,EBLCP,2013-02-03.csv,780.0,788.0,780.0,780.0,624
16,EBLCP,2013-02-04.csv,780.0,780.0,780.0,780.0,16
16,EBLCP,2013-02-05.csv,780.0,790.0,789.0,789.0,120
