S.no,Symbol,Date,Open,High,Low,Close,Vol
19,EDBL,2012-01-01.csv,285.0,266.0,266.0,266.0,"2,640"
18,EDBL,2012-01-12.csv,266.0,285.0,285.0,285.0,82
18,EDBL,2012-01-22.csv,285.0,280.0,270.0,270.0,92
19,EDBL,2012-02-05.csv,270.0,295.0,265.0,295.0,428
16,EDBL,2012-02-06.csv,295.0,306.0,300.0,306.0,21
19,EDBL,2012-02-07.csv,306.0,312.0,312.0,312.0,10
21,EDBL,2012-02-27.csv,312.0,306.0,281.0,281.0,300
18,EDBL,2012-02-28.csv,281.0,286.0,276.0,286.0,51
20,EDBL,2012-03-20.csv,286.0,291.0,291.0,291.0,418
20,EDBL,2012-03-21.csv,291.0,286.0,271.0,271.0,80
21,EDBL,2012-04-05.csv,271.0,266.0,245.0,245.0,502
22,EDBL,2012-04-08.csv,245.0,241.0,237.0,237.0,60
18,EDBL,2012-04-10.csv,237.0,241.0,241.0,241.0,50
19,EDBL,2012-04-11.csv,241.0,241.0,241.0,241.0,50
23,EDBL,2012-04-12.csv,241.0,245.0,233.0,245.0,573
21,EDBL,2012-04-15.csv,245.0,249.0,249.0,249.0,200
13,EDBL,2012-04-16.csv,249.0,253.0,253.0,253.0,500
18,EDBL,2012-04-17.csv,253.0,258.0,258.0,258.0,10
20,EDBL,2012-04-18.csv,258.0,255.0,250.0,250.0,200
22,EDBL,2012-04-19.csv,250.0,245.0,245.0,245.0,203
20,EDBL,2012-04-22.csv,245.0,253.0,248.0,253.0,"2,271"
15,EDBL,2012-04-24.csv,253.0,258.0,258.0,258.0,82
16,EDBL,2012-04-25.csv,258.0,278.0,263.0,278.0,120
22,EDBL,2012-04-26.csv,278.0,303.0,283.0,303.0,200
22,EDBL,2012-04-29.csv,303.0,321.0,309.0,321.0,40
22,EDBL,2012-04-30.csv,321.0,339.0,315.0,339.0,81
15,EDBL,2012-05-03.csv,339.0,345.0,345.0,345.0,50
17,EDBL,2012-05-17.csv,345.0,339.0,339.0,339.0,194
19,EDBL,2012-06-28.csv,339.0,333.0,333.0,333.0,153
16,EDBL,2012-07-08.csv,333.0,327.0,309.0,309.0,41
18,EDBL,2012-07-18.csv,309.0,303.0,303.0,303.0,100
18,EDBL,2012-07-25.csv,303.0,303.0,282.0,303.0,"7,903"
16,EDBL,2012-07-26.csv,303.0,297.0,297.0,297.0,40
18,EDBL,2012-08-06.csv,297.0,292.0,277.0,277.0,307
17,EDBL,2012-08-07.csv,277.0,272.0,271.0,271.0,230
15,EDBL,2012-08-08.csv,271.0,274.0,250.0,266.0,"3,630"
14,EDBL,2012-08-12.csv,266.0,262.0,262.0,262.0,41
18,EDBL,2012-08-13.csv,262.0,262.0,255.0,255.0,"2,268"
15,EDBL,2012-08-14.csv,255.0,264.0,259.0,259.0,"4,038"
15,EDBL,2012-08-15.csv,259.0,267.0,262.0,267.0,"1,110"
17,EDBL,2012-08-21.csv,267.0,272.0,272.0,272.0,31
17,EDBL,2012-08-22.csv,272.0,280.0,275.0,275.0,494
19,EDBL,2012-08-23.csv,275.0,275.0,270.0,275.0,110
16,EDBL,2012-08-26.csv,275.0,280.0,280.0,280.0,20
17,EDBL,2012-08-27.csv,280.0,275.0,275.0,275.0,10
20,EDBL,2012-08-28.csv,275.0,270.0,270.0,270.0,300
17,EDBL,2012-08-29.csv,270.0,270.0,270.0,270.0,82
17,EDBL,2012-08-30.csv,270.0,270.0,270.0,270.0,50
19,EDBL,2012-09-02.csv,270.0,280.0,271.0,280.0,662
18,EDBL,2012-09-03.csv,280.0,277.0,276.0,277.0,123
19,EDBL,2012-09-04.csv,277.0,277.0,277.0,277.0,349
16,EDBL,2012-09-05.csv,277.0,280.0,275.0,280.0,550
19,EDBL,2012-09-06.csv,280.0,282.0,280.0,282.0,562
17,EDBL,2012-09-09.csv,282.0,285.0,285.0,285.0,113
19,EDBL,2012-09-12.csv,285.0,285.0,285.0,285.0,160
18,EDBL,2012-09-13.csv,285.0,291.0,286.0,291.0,714
19,EDBL,2012-09-25.csv,291.0,320.0,296.0,320.0,60
20,EDBL,2012-09-26.csv,320.0,338.0,314.0,316.0,"1,119"
17,EDBL,2012-10-04.csv,311.0,305.0,300.0,300.0,778
19,EDBL,2012-10-07.csv,300.0,300.0,289.0,290.0,"3,148"
23,EDBL,2012-10-08.csv,290.0,294.0,285.0,290.0,"3,485"
19,EDBL,2012-10-09.csv,290.0,302.0,292.0,302.0,"1,141"
18,EDBL,2012-10-10.csv,302.0,308.0,296.0,296.0,93
17,EDBL,2012-10-11.csv,296.0,301.0,301.0,301.0,10
16,EDBL,2012-10-30.csv,301.0,295.0,295.0,295.0,500
15,EDBL,2012-11-01.csv,295.0,300.0,295.0,298.0,"1,194"
16,EDBL,2012-11-04.csv,298.0,302.0,302.0,302.0,141
17,EDBL,2012-11-05.csv,302.0,312.0,307.0,312.0,702
18,EDBL,2012-11-06.csv,312.0,320.0,317.0,317.0,"1,102"
19,EDBL,2012-11-07.csv,317.0,320.0,320.0,320.0,403
15,EDBL,2012-11-08.csv,320.0,314.0,314.0,314.0,605
14,EDBL,2012-11-11.csv,314.0,315.0,314.0,314.0,182
15,EDBL,2012-11-12.csv,314.0,320.0,314.0,314.0,300
15,EDBL,2012-11-18.csv,314.0,326.0,308.0,326.0,"1,233"
20,EDBL,2012-11-20.csv,326.0,331.0,319.0,319.0,254
18,EDBL,2012-11-21.csv,319.0,318.0,314.0,314.0,464
16,EDBL,2012-11-22.csv,314.0,314.0,313.0,314.0,92
16,EDBL,2012-11-26.csv,314.0,314.0,314.0,314.0,41
16,EDBL,2012-11-27.csv,314.0,320.0,315.0,315.0,557
18,EDBL,2012-11-28.csv,315.0,346.0,317.0,340.0,"5,426"
18,EDBL,2012-11-29.csv,340.0,350.0,340.0,340.0,"2,530"
15,EDBL,2012-12-02.csv,340.0,336.0,334.0,334.0,260
17,EDBL,2012-12-04.csv,334.0,328.0,328.0,328.0,600
15,EDBL,2012-12-05.csv,328.0,340.0,334.0,335.0,600
15,EDBL,2012-12-06.csv,335.0,341.0,335.0,335.0,142
16,EDBL,2012-12-09.csv,335.0,335.0,330.0,330.0,"1,000"
15,EDBL,2012-12-10.csv,330.0,324.0,321.0,321.0,462
16,EDBL,2012-12-11.csv,321.0,335.0,327.0,335.0,523
15,EDBL,2012-12-12.csv,335.0,340.0,335.0,340.0,718
18,EDBL,2012-12-13.csv,340.0,342.0,336.0,342.0,133
19,EDBL,2012-12-16.csv,342.0,348.0,348.0,348.0,80
19,EDBL,2012-12-17.csv,348.0,350.0,342.0,342.0,765
14,EDBL,2012-12-18.csv,342.0,337.0,337.0,337.0,500
17,EDBL,2012-12-19.csv,337.0,343.0,337.0,343.0,211
13,EDBL,2012-12-23.csv,343.0,337.0,330.0,335.0,"2,575"
17,EDBL,2012-12-24.csv,335.0,353.0,341.0,350.0,"1,386"
17,EDBL,2012-12-26.csv,350.0,362.0,354.0,354.0,"1,167"
16,EDBL,2012-12-27.csv,354.0,367.0,350.0,355.0,"1,679"
19,EDBL,2013-01-30.csv,355.0,273.0,273.0,273.0,185
17,EDBL,2013-02-05.csv,273.0,269.0,175.0,269.0,60
