S.no,Symbol,Date,Open,High,Low,Close,Vol
20,EFL,2012-01-01.csv,114.0,120.0,116.0,118.0,460
15,EFL,2012-01-26.csv,118.0,120.0,120.0,120.0,48
17,EFL,2012-01-29.csv,120.0,118.0,118.0,118.0,135
22,EFL,2012-01-31.csv,118.0,116.0,116.0,116.0,100
22,EFL,2012-02-27.csv,116.0,116.0,116.0,116.0,336
19,EFL,2012-04-04.csv,116.0,117.0,117.0,117.0,108
21,EFL,2012-04-22.csv,117.0,119.0,119.0,119.0,20
23,EFL,2012-04-26.csv,119.0,123.0,121.0,123.0,40
23,EFL,2012-04-29.csv,123.0,121.0,121.0,121.0,80
21,EFL,2012-05-10.csv,121.0,124.0,122.0,122.0,"1,600"
12,EFL,2012-05-14.csv,122.0,120.0,116.0,116.0,212
19,EFL,2012-05-22.csv,116.0,119.0,115.0,115.0,600
18,EFL,2012-05-24.csv,115.0,117.0,117.0,117.0,150
14,EFL,2012-06-03.csv,117.0,119.0,119.0,119.0,110
17,EFL,2012-06-04.csv,119.0,115.0,115.0,115.0,"5,000"
18,EFL,2012-06-14.csv,115.0,113.0,111.0,111.0,134
18,EFL,2012-06-17.csv,111.0,109.0,103.0,103.0,326
17,EFL,2012-06-19.csv,103.0,102.0,102.0,102.0,192
18,EFL,2012-06-20.csv,102.0,104.0,104.0,104.0,54
17,EFL,2012-06-21.csv,104.0,106.0,104.0,104.0,304
16,EFL,2012-07-05.csv,104.0,103.0,102.0,103.0,144
17,EFL,2012-07-08.csv,103.0,103.0,103.0,103.0,160
18,EFL,2012-07-09.csv,103.0,103.0,103.0,103.0,24
15,EFL,2012-07-10.csv,103.0,102.0,101.0,102.0,256
19,EFL,2012-07-11.csv,102.0,101.0,101.0,101.0,100
14,EFL,2012-07-15.csv,101.0,101.0,101.0,101.0,100
15,EFL,2012-07-16.csv,101.0,102.0,102.0,102.0,200
20,EFL,2012-07-31.csv,102.0,100.0,100.0,100.0,24
19,EFL,2012-08-06.csv,100.0,102.0,102.0,102.0,150
15,EFL,2012-08-12.csv,102.0,102.0,102.0,102.0,48
20,EFL,2012-08-23.csv,102.0,100.0,98.0,98.0,991
21,EFL,2012-08-28.csv,98.0,97.0,97.0,97.0,90
17,EFL,2012-09-05.csv,97.0,96.0,96.0,96.0,48
24,EFL,2012-10-08.csv,96.0,95.0,94.0,94.0,360
17,EFL,2012-10-30.csv,94.0,93.0,93.0,93.0,200
17,EFL,2012-11-04.csv,93.0,92.0,92.0,92.0,200
16,EFL,2012-11-18.csv,92.0,91.0,91.0,91.0,80
13,EFL,2013-01-09.csv,91.0,90.0,90.0,90.0,54
18,EFL,2013-02-13.csv,90.0,89.0,89.0,89.0,24
23,EFL,2013-07-23.csv,89.0,88.0,88.0,88.0,330
21,EFL,2013-09-02.csv,88.0,94.0,89.0,93.0,"1,514"
24,EFL,2013-09-03.csv,93.0,102.0,94.0,102.0,754
22,EFL,2013-09-04.csv,102.0,100.0,96.0,96.0,"1,271"
24,EFL,2013-09-05.csv,96.0,97.0,96.0,96.0,580
22,EFL,2013-09-08.csv,96.0,96.0,95.0,95.0,470
21,EFL,2013-09-09.csv,95.0,97.0,95.0,97.0,"2,018"
25,EFL,2013-09-10.csv,97.0,100.0,98.0,100.0,570
24,EFL,2013-09-11.csv,100.0,98.0,98.0,98.0,384
23,EFL,2013-09-15.csv,98.0,100.0,99.0,99.0,250
23,EFL,2013-09-16.csv,99.0,99.0,98.0,98.0,366
22,EFL,2013-09-17.csv,98.0,99.0,99.0,99.0,240
23,EFL,2013-09-19.csv,99.0,100.0,99.0,99.0,130
23,EFL,2013-09-22.csv,99.0,101.0,100.0,101.0,372
19,EFL,2013-12-01.csv,88.0,89.0,89.0,89.0,48
20,EFL,2013-12-09.csv,89.0,91.0,90.0,91.0,20
20,EFL,2013-12-10.csv,91.0,95.0,92.0,95.0,40
19,EFL,2013-12-11.csv,95.0,104.0,96.0,104.0,130
18,EFL,2013-12-12.csv,104.0,108.0,106.0,108.0,20
20,EFL,2013-12-15.csv,108.0,112.0,110.0,112.0,20
19,EFL,2013-12-16.csv,112.0,110.0,110.0,110.0,500
17,EFL,2013-12-18.csv,110.0,112.0,112.0,112.0,195
19,EFL,2013-12-19.csv,112.0,114.0,112.0,114.0,236
22,EFL,2013-12-26.csv,114.0,116.0,116.0,116.0,20
20,EFL,2014-01-05.csv,116.0,118.0,116.0,116.0,70
22,EFL,2014-01-27.csv,116.0,118.0,118.0,118.0,10
22,EFL,2014-01-29.csv,118.0,129.0,120.0,129.0,74
23,EFL,2014-02-20.csv,128.0,130.0,130.0,130.0,68
23,EFL,2014-02-25.csv,130.0,138.0,132.0,136.0,408
19,EFL,2014-02-26.csv,136.0,138.0,138.0,138.0,40
50,EFL,2014-05-15.csv,138.0,151.0,140.0,151.0,468
51,EFL,2014-05-15.csv,138.0,151.0,140.0,151.0,468
28,EFL,2014-05-18.csv,151.0,166.0,154.0,166.0,560
25,EFL,2014-05-19.csv,166.0,181.0,169.0,169.0,"2,950"
26,EFL,2014-05-20.csv,169.0,170.0,170.0,170.0,148
28,EFL,2014-05-26.csv,170.0,173.0,173.0,173.0,"4,030"
28,EFL,2014-05-28.csv,173.0,170.0,156.0,156.0,"1,243"
30,EFL,2014-06-01.csv,156.0,153.0,153.0,153.0,100
27,EFL,2014-06-09.csv,153.0,150.0,147.0,147.0,416
29,EFL,2014-06-10.csv,147.0,145.0,141.0,141.0,435
28,EFL,2014-06-11.csv,141.0,143.0,139.0,143.0,576
27,EFL,2014-06-12.csv,143.0,141.0,141.0,141.0,55
23,EFL,2014-06-15.csv,141.0,145.0,143.0,145.0,65
25,EFL,2014-06-16.csv,145.0,157.0,147.0,157.0,50
56,EFL,2014-06-17.csv,157.0,166.0,160.0,166.0,30
57,EFL,2014-06-17.csv,157.0,166.0,160.0,166.0,30
27,EFL,2014-06-19.csv,166.0,169.0,169.0,169.0,10
29,EFL,2014-07-01.csv,169.0,172.0,172.0,172.0,10
29,EFL,2014-07-07.csv,172.0,169.0,166.0,169.0,648
28,EFL,2014-07-08.csv,169.0,166.0,166.0,166.0,62
27,EFL,2014-07-09.csv,166.0,163.0,160.0,160.0,272
25,EFL,2014-07-10.csv,160.0,160.0,157.0,157.0,297
28,EFL,2014-07-13.csv,157.0,154.0,154.0,154.0,27
28,EFL,2014-07-14.csv,154.0,151.0,148.0,148.0,254
32,EFL,2014-07-16.csv,148.0,160.0,150.0,160.0,"1,659"
31,EFL,2014-07-17.csv,160.0,176.0,163.0,176.0,"1,694"
26,EFL,2014-07-20.csv,176.0,193.0,179.0,193.0,274
28,EFL,2014-07-21.csv,193.0,212.0,196.0,212.0,"3,058"
28,EFL,2014-07-22.csv,212.0,233.0,216.0,233.0,"2,596"
26,EFL,2014-07-23.csv,233.0,249.0,237.0,237.0,"3,969"
29,EFL,2014-07-24.csv,237.0,241.0,236.0,236.0,700
28,EFL,2014-07-27.csv,236.0,233.0,228.0,228.0,320
23,EFL,2014-07-28.csv,228.0,225.0,224.0,225.0,"1,200"
28,EFL,2014-07-30.csv,225.0,228.0,225.0,228.0,565
27,EFL,2014-07-31.csv,228.0,228.0,221.0,221.0,"2,736"
27,EFL,2014-08-03.csv,221.0,220.0,211.0,211.0,"7,593"
26,EFL,2014-08-04.csv,211.0,215.0,207.0,215.0,950
28,EFL,2014-08-05.csv,215.0,230.0,219.0,230.0,"2,295"
26,EFL,2014-08-24.csv,230.0,234.0,234.0,234.0,100
26,EFL,2014-08-27.csv,234.0,238.0,238.0,238.0,30
28,EFL,2014-09-01.csv,238.0,242.0,242.0,242.0,40
23,EFL,2014-09-03.csv,242.0,238.0,230.0,230.0,232
24,EFL,2014-09-07.csv,230.0,226.0,226.0,226.0,62
27,EFL,2014-11-02.csv,226.0,222.0,218.0,218.0,134
26,EFL,2014-11-11.csv,218.0,214.0,214.0,214.0,100
28,EFL,2014-11-20.csv,214.0,210.0,210.0,210.0,100
22,EFL,2014-12-14.csv,210.0,206.0,206.0,206.0,10
