S.no,Symbol,Date,Open,High,Low,Close,Vol
18,EIC,2012-01-29.csv,315.0,315.0,315.0,315.0,23
23,EIC,2012-01-31.csv,315.0,310.0,310.0,310.0,"1,350"
15,EIC,2012-02-09.csv,310.0,315.0,315.0,315.0,15
21,EIC,2012-03-20.csv,315.0,309.0,292.0,292.0,112
16,EIC,2012-03-28.csv,292.0,287.0,282.0,282.0,66
22,EIC,2012-04-05.csv,282.0,277.0,272.0,272.0,93
17,EIC,2012-05-20.csv,272.0,267.0,267.0,267.0,33
16,EIC,2012-05-21.csv,267.0,262.0,262.0,262.0,33
14,EIC,2012-07-03.csv,262.0,267.0,267.0,267.0,30
20,EIC,2012-07-11.csv,267.0,272.0,268.0,268.0,66
18,EIC,2012-07-30.csv,268.0,273.0,273.0,273.0,33
18,EIC,2012-08-01.csv,273.0,274.0,274.0,274.0,16
18,EIC,2012-08-07.csv,274.0,274.0,273.0,274.0,100
17,EIC,2012-08-26.csv,274.0,289.0,279.0,289.0,133
18,EIC,2012-08-27.csv,289.0,299.0,294.0,299.0,99
20,EIC,2012-09-02.csv,299.0,322.0,304.0,322.0,165
20,EIC,2012-09-06.csv,322.0,316.0,316.0,316.0,33
18,EIC,2012-09-09.csv,316.0,328.0,322.0,328.0,100
19,EIC,2012-09-10.csv,328.0,334.0,334.0,334.0,60
20,EIC,2012-09-11.csv,334.0,328.0,325.0,325.0,"10,000"
19,EIC,2012-10-03.csv,325.0,357.0,331.0,357.0,229
18,EIC,2012-10-04.csv,357.0,364.0,364.0,364.0,30
20,EIC,2012-10-07.csv,364.0,385.0,371.0,385.0,99
25,EIC,2012-10-08.csv,385.0,422.0,392.0,406.0,217
20,EIC,2012-10-09.csv,406.0,405.0,398.0,405.0,159
16,EIC,2013-01-06.csv,405.0,397.0,390.0,390.0,189
19,EIC,2013-02-13.csv,390.0,383.0,383.0,383.0,16
20,EIC,2013-03-11.csv,383.0,376.0,355.0,355.0,186
20,EIC,2013-03-13.csv,355.0,348.0,348.0,348.0,30
22,EIC,2013-06-10.csv,348.0,342.0,336.0,336.0,26
19,EIC,2013-06-11.csv,336.0,330.0,318.0,318.0,43
19,EIC,2013-06-13.csv,318.0,312.0,289.0,289.0,122
17,EIC,2013-06-16.csv,289.0,284.0,279.0,279.0,40
20,EIC,2013-06-17.csv,279.0,274.0,274.0,274.0,20
21,EIC,2013-06-18.csv,274.0,269.0,264.0,264.0,33
21,EIC,2013-06-20.csv,264.0,259.0,245.0,245.0,116
21,EIC,2013-06-26.csv,245.0,241.0,237.0,237.0,33
24,EIC,2013-07-15.csv,237.0,258.0,233.0,258.0,182
24,EIC,2013-07-16.csv,258.0,253.0,248.0,248.0,66
23,EIC,2013-08-04.csv,248.0,244.0,224.0,224.0,236
21,EIC,2013-08-05.csv,224.0,220.0,212.0,212.0,159
22,EIC,2013-08-06.csv,212.0,208.0,199.0,200.0,"127,357"
24,EIC,2013-08-07.csv,200.0,220.0,204.0,220.0,300
21,EIC,2013-08-08.csv,220.0,220.0,220.0,220.0,101
23,EIC,2013-08-11.csv,220.0,224.0,224.0,224.0,135
24,EIC,2013-08-12.csv,224.0,230.0,228.0,230.0,200
24,EIC,2013-08-13.csv,230.0,230.0,230.0,230.0,33
21,EIC,2013-08-15.csv,230.0,230.0,230.0,230.0,30
19,EIC,2013-08-18.csv,230.0,231.0,231.0,231.0,120
24,EIC,2013-08-20.csv,231.0,235.0,235.0,235.0,33
24,EIC,2013-08-25.csv,235.0,231.0,231.0,231.0,57
25,EIC,2013-09-01.csv,231.0,235.0,235.0,235.0,201
25,EIC,2013-09-11.csv,235.0,231.0,231.0,231.0,33
18,EIC,2013-10-08.csv,231.0,227.0,223.0,223.0,66
14,EIC,2013-10-09.csv,223.0,219.0,215.0,215.0,82
15,EIC,2013-10-10.csv,215.0,211.0,211.0,211.0,67
