S.no,Symbol,Date,Open,High,Low,Close,Vol
29,EKBL,2014-09-18.csv,0.0,365.0,358.0,365.0,43
25,EKBL,2014-10-09.csv,365.0,358.0,344.0,344.0,63
27,EKBL,2014-10-13.csv,344.0,338.0,326.0,326.0,130
24,EKBL,2014-10-19.csv,326.0,320.0,294.0,294.0,203
24,EKBL,2014-10-20.csv,294.0,289.0,265.0,265.0,235
24,EKBL,2014-10-21.csv,265.0,260.0,239.0,239.0,212
27,EKBL,2014-10-22.csv,239.0,235.0,216.0,216.0,"4,613"
19,EKBL,2014-10-26.csv,216.0,214.0,195.0,206.0,"12,370"
23,EKBL,2014-10-27.csv,206.0,217.0,200.0,209.0,"14,742"
27,EKBL,2014-10-28.csv,209.0,207.0,200.0,200.0,"4,456"
25,EKBL,2014-10-30.csv,200.0,199.0,187.0,187.0,"6,858"
29,EKBL,2014-11-02.csv,187.0,186.0,181.0,183.0,802
26,EKBL,2014-11-03.csv,183.0,185.0,178.0,181.0,"5,422"
25,EKBL,2014-11-04.csv,181.0,183.0,177.0,180.0,"1,133"
26,EKBL,2014-11-05.csv,180.0,181.0,178.0,178.0,"1,326"
25,EKBL,2014-11-06.csv,178.0,181.0,174.0,177.0,"2,141"
24,EKBL,2014-11-09.csv,177.0,176.0,172.0,175.0,"1,636"
24,EKBL,2014-11-10.csv,175.0,177.0,174.0,174.0,"2,425"
28,EKBL,2014-11-11.csv,174.0,184.0,171.0,184.0,"2,215"
27,EKBL,2014-11-12.csv,184.0,187.0,178.0,182.0,"1,272"
30,EKBL,2014-11-13.csv,182.0,184.0,181.0,184.0,155
27,EKBL,2014-11-16.csv,184.0,186.0,182.0,186.0,734
27,EKBL,2014-11-17.csv,186.0,190.0,183.0,185.0,"2,669"
24,EKBL,2014-11-18.csv,185.0,183.0,171.0,180.0,"1,250"
23,EKBL,2014-11-19.csv,180.0,182.0,179.0,180.0,714
29,EKBL,2014-11-20.csv,180.0,183.0,180.0,183.0,326
27,EKBL,2014-11-23.csv,183.0,183.0,182.0,183.0,408
27,EKBL,2014-11-24.csv,183.0,184.0,181.0,184.0,579
29,EKBL,2014-11-25.csv,184.0,184.0,181.0,182.0,"2,227"
28,EKBL,2014-11-30.csv,182.0,182.0,179.0,179.0,603
25,EKBL,2014-12-01.csv,179.0,182.0,172.0,179.0,"4,169"
22,EKBL,2014-12-02.csv,179.0,180.0,175.0,178.0,"1,463"
25,EKBL,2014-12-03.csv,178.0,183.0,176.0,176.0,"1,015"
21,EKBL,2014-12-04.csv,176.0,182.0,179.0,180.0,544
24,EKBL,2014-12-07.csv,180.0,179.0,177.0,178.0,439
25,EKBL,2014-12-08.csv,178.0,186.0,179.0,186.0,"1,275"
24,EKBL,2014-12-09.csv,186.0,184.0,178.0,180.0,"3,872"
20,EKBL,2014-12-10.csv,180.0,182.0,180.0,180.0,"6,350"
26,EKBL,2014-12-11.csv,180.0,190.0,180.0,190.0,"4,783"
23,EKBL,2014-12-14.csv,190.0,193.0,189.0,193.0,"1,108"
25,EKBL,2014-12-15.csv,193.0,190.0,183.0,184.0,"3,096"
23,EKBL,2014-12-16.csv,184.0,188.0,182.0,186.0,194
27,EKBL,2014-12-17.csv,186.0,187.0,183.0,187.0,"1,114"
27,EKBL,2014-12-18.csv,187.0,190.0,184.0,186.0,806
22,EKBL,2014-12-21.csv,186.0,184.0,180.0,181.0,172
24,EKBL,2014-12-22.csv,181.0,184.0,178.0,184.0,198
24,EKBL,2014-12-23.csv,184.0,181.0,175.0,178.0,"1,421"
25,EKBL,2014-12-24.csv,178.0,184.0,177.0,182.0,"8,625"
46,EKBL,2014-12-28.csv,182.0,184.0,173.0,183.0,"1,416"
47,EKBL,2014-12-28.csv,182.0,184.0,173.0,183.0,"1,416"
23,EKBL,2014-12-29.csv,183.0,185.0,179.0,184.0,655
22,EKBL,2014-12-31.csv,184.0,190.0,184.0,185.0,240
25,EKBL,2015-01-01.csv,185.0,200.0,185.0,197.0,"4,444"
