S.no,Symbol,Date,Open,High,Low,Close,Vol
22,FBBL,2015-10-15.csv,285.0,313.0,290.0,313.0,"4,050"
19,FBBL,2015-10-18.csv,313.0,343.0,309.0,314.0,"18,584"
23,FBBL,2015-10-19.csv,314.0,315.0,306.0,312.0,"14,578"
13,FBBL,2015-10-25.csv,312.0,321.0,315.0,321.0,"1,456"
17,FBBL,2015-10-27.csv,321.0,315.0,302.0,302.0,"2,084"
18,FBBL,2015-10-28.csv,302.0,309.0,290.0,309.0,"3,935"
20,FBBL,2015-10-29.csv,309.0,315.0,302.0,305.0,"5,070"
20,FBBL,2015-11-01.csv,305.0,309.0,296.0,302.0,"10,753"
21,FBBL,2015-11-02.csv,302.0,308.0,300.0,303.0,"9,994"
22,FBBL,2015-11-03.csv,303.0,306.0,297.0,300.0,"2,573"
19,FBBL,2015-11-04.csv,300.0,307.0,298.0,301.0,"10,639"
22,FBBL,2015-11-05.csv,301.0,307.0,300.0,306.0,"3,824"
23,FBBL,2015-11-08.csv,306.0,304.0,302.0,304.0,"4,912"
21,FBBL,2015-11-09.csv,304.0,311.0,305.0,311.0,"1,558"
23,FBBL,2015-11-10.csv,311.0,318.0,311.0,317.0,711
21,FBBL,2015-11-15.csv,317.0,321.0,305.0,305.0,"3,118"
21,FBBL,2015-11-16.csv,305.0,306.0,297.0,299.0,"44,190"
23,FBBL,2015-11-18.csv,299.0,297.0,290.0,295.0,"7,080"
25,FBBL,2016-01-11.csv,295.0,324.0,300.0,324.0,"6,206"
48,FBBL,2016-01-12.csv,324.0,354.0,326.0,333.0,"19,579"
49,FBBL,2016-01-12.csv,324.0,354.0,326.0,333.0,"19,579"
22,FBBL,2016-01-13.csv,333.0,331.0,324.0,330.0,"19,002"
24,FBBL,2016-01-14.csv,330.0,340.0,325.0,340.0,"18,703"
23,FBBL,2016-02-24.csv,340.0,374.0,346.0,374.0,60
25,FBBL,2016-02-25.csv,374.0,411.0,381.0,411.0,"10,958"
25,FBBL,2016-02-28.csv,411.0,439.0,414.0,428.0,"12,465"
24,FBBL,2016-02-29.csv,428.0,423.0,410.0,412.0,"6,772"
24,FBBL,2016-03-01.csv,412.0,425.0,413.0,425.0,"5,965"
24,FBBL,2016-03-02.csv,425.0,440.0,427.0,439.0,"6,749"
26,FBBL,2016-03-03.csv,439.0,455.0,445.0,455.0,"7,843"
27,FBBL,2016-03-06.csv,455.0,459.0,450.0,450.0,"5,626"
25,FBBL,2016-03-10.csv,450.0,486.0,459.0,475.0,"13,925"
26,FBBL,2016-03-13.csv,475.0,475.0,450.0,468.0,"3,207"
25,FBBL,2016-03-14.csv,468.0,470.0,460.0,460.0,"2,072"
28,FBBL,2016-03-15.csv,460.0,453.0,442.0,453.0,"8,990"
27,FBBL,2016-03-16.csv,453.0,455.0,437.0,455.0,"2,099"
25,FBBL,2016-03-17.csv,455.0,455.0,447.0,449.0,"2,160"
22,FBBL,2016-03-20.csv,449.0,465.0,446.0,465.0,"9,372"
27,FBBL,2016-03-21.csv,465.0,511.0,466.0,510.0,"20,494"
25,FBBL,2016-03-23.csv,510.0,519.0,505.0,515.0,"18,558"
