S.no,Symbol,Date,Open,High,Low,Close,Vol
18,FFCL,2012-01-23.csv,202.0,181.0,178.0,178.0,"2,850"
24,FFCL,2012-01-31.csv,178.0,175.0,175.0,175.0,200
17,FFCL,2012-02-06.csv,175.0,172.0,169.0,169.0,450
20,FFCL,2012-02-07.csv,169.0,172.0,169.0,172.0,260
19,FFCL,2012-02-12.csv,172.0,169.0,169.0,169.0,100
18,FFCL,2012-02-23.csv,169.0,169.0,169.0,169.0,20
19,FFCL,2012-03-01.csv,169.0,169.0,169.0,169.0,20
21,FFCL,2012-03-21.csv,169.0,166.0,163.0,163.0,726
20,FFCL,2012-04-01.csv,163.0,160.0,160.0,160.0,100
23,FFCL,2012-04-08.csv,160.0,157.0,144.0,144.0,"1,011"
19,FFCL,2012-04-10.csv,144.0,142.0,142.0,142.0,140
20,FFCL,2012-04-11.csv,142.0,140.0,140.0,140.0,42
21,FFCL,2012-04-18.csv,140.0,150.0,142.0,150.0,444
23,FFCL,2012-04-19.csv,150.0,159.0,153.0,159.0,60
16,FFCL,2012-04-24.csv,159.0,171.0,162.0,171.0,80
17,FFCL,2012-04-25.csv,171.0,183.0,174.0,183.0,80
24,FFCL,2012-04-26.csv,183.0,189.0,186.0,186.0,242
15,FFCL,2012-05-15.csv,186.0,192.0,189.0,192.0,40
18,FFCL,2012-05-17.csv,192.0,201.0,195.0,201.0,60
18,FFCL,2012-05-27.csv,201.0,209.0,205.0,209.0,40
15,FFCL,2012-06-03.csv,209.0,217.0,213.0,217.0,40
19,FFCL,2012-07-19.csv,217.0,215.0,215.0,215.0,"1,000"
16,FFCL,2012-08-08.csv,215.0,211.0,211.0,211.0,53
16,FFCL,2012-08-15.csv,211.0,207.0,207.0,207.0,60
21,FFCL,2012-09-11.csv,207.0,219.0,211.0,219.0,60
21,FFCL,2012-09-26.csv,219.0,215.0,211.0,211.0,547
19,FFCL,2012-09-30.csv,214.0,210.0,210.0,210.0,273
19,FFCL,2012-11-29.csv,210.0,210.0,210.0,210.0,100
16,FFCL,2012-12-12.csv,210.0,210.0,206.0,206.0,"1,500"
15,FFCL,2012-12-31.csv,206.0,206.0,206.0,206.0,"1,566"
15,FFCL,2013-02-14.csv,206.0,208.0,193.0,193.0,"10,933"
19,FFCL,2013-04-15.csv,193.0,190.0,190.0,190.0,"4,550"
18,FFCL,2013-04-21.csv,190.0,187.0,187.0,187.0,173
21,FFCL,2013-04-28.csv,187.0,184.0,184.0,184.0,53
16,FFCL,2013-05-02.csv,184.0,181.0,181.0,181.0,100
20,FFCL,2013-05-07.csv,181.0,180.0,180.0,180.0,543
22,FFCL,2013-06-04.csv,180.0,177.0,177.0,177.0,110
20,FFCL,2013-06-13.csv,177.0,174.0,174.0,174.0,637
23,FFCL,2013-07-07.csv,174.0,171.0,171.0,171.0,74
23,FFCL,2013-07-31.csv,171.0,185.0,174.0,180.0,"1,406"
22,FFCL,2013-08-01.csv,180.0,182.0,179.0,179.0,"2,100"
25,FFCL,2013-08-07.csv,179.0,179.0,176.0,179.0,750
20,FFCL,2013-08-18.csv,179.0,176.0,175.0,175.0,"1,500"
25,FFCL,2013-08-25.csv,175.0,172.0,166.0,166.0,"1,650"
22,FFCL,2013-08-26.csv,166.0,166.0,166.0,166.0,"2,024"
25,FFCL,2013-09-05.csv,166.0,165.0,165.0,165.0,38
24,FFCL,2013-09-15.csv,165.0,169.0,168.0,169.0,110
24,FFCL,2013-09-16.csv,169.0,180.0,172.0,177.0,"1,383"
23,FFCL,2013-09-17.csv,177.0,175.0,175.0,175.0,200
24,FFCL,2013-09-19.csv,175.0,172.0,170.0,170.0,480
21,FFCL,2013-09-23.csv,170.0,170.0,170.0,170.0,150
21,FFCL,2013-09-24.csv,170.0,167.0,167.0,167.0,121
21,FFCL,2013-10-01.csv,167.0,164.0,164.0,164.0,13
20,FFCL,2013-10-06.csv,164.0,167.0,167.0,167.0,20
22,FFCL,2013-10-07.csv,167.0,167.0,165.0,165.0,399
10,FFCL,2013-10-17.csv,165.0,167.0,167.0,167.0,20
18,FFCL,2013-10-20.csv,167.0,167.0,167.0,167.0,500
17,FFCL,2013-10-21.csv,167.0,170.0,170.0,170.0,100
17,FFCL,2013-10-22.csv,170.0,170.0,170.0,170.0,900
19,FFCL,2013-10-23.csv,170.0,172.0,172.0,172.0,20
21,FFCL,2013-10-24.csv,172.0,172.0,170.0,172.0,751
17,FFCL,2013-10-28.csv,172.0,175.0,175.0,175.0,70
16,FFCL,2013-10-31.csv,175.0,178.0,176.0,178.0,370
20,FFCL,2013-11-07.csv,178.0,180.0,180.0,180.0,19
16,FFCL,2013-11-12.csv,180.0,180.0,180.0,180.0,120
20,FFCL,2013-11-28.csv,180.0,188.0,183.0,188.0,"1,093"
20,FFCL,2013-12-01.csv,188.0,201.0,186.0,201.0,"2,605"
20,FFCL,2013-12-03.csv,201.0,221.0,205.0,221.0,736
21,FFCL,2013-12-04.csv,221.0,221.0,217.0,221.0,374
22,FFCL,2013-12-05.csv,221.0,241.0,225.0,241.0,"1,251"
21,FFCL,2013-12-08.csv,241.0,260.0,244.0,260.0,"1,373"
20,FFCL,2013-12-16.csv,260.0,265.0,265.0,265.0,934
20,FFCL,2013-12-19.csv,265.0,265.0,264.0,265.0,"1,601"
