S.no,Symbol,Date,Open,High,Low,Close,Vol
15,FMDBL,2012-06-10.csv,0.0,141.0,136.0,141.0,950
18,FMDBL,2012-06-11.csv,141.0,155.0,143.0,147.0,"2,898"
19,FMDBL,2012-06-12.csv,147.0,147.0,138.0,138.0,"12,254"
17,FMDBL,2012-06-13.csv,138.0,144.0,136.0,140.0,"10,961"
19,FMDBL,2012-06-14.csv,140.0,141.0,137.0,140.0,"3,464"
19,FMDBL,2012-06-17.csv,140.0,138.0,136.0,136.0,"1,720"
17,FMDBL,2012-06-18.csv,136.0,138.0,136.0,138.0,208
18,FMDBL,2012-06-19.csv,138.0,140.0,140.0,140.0,98
19,FMDBL,2012-06-20.csv,140.0,142.0,140.0,140.0,724
18,FMDBL,2012-06-21.csv,140.0,138.0,136.0,136.0,"2,405"
15,FMDBL,2012-06-25.csv,136.0,137.0,135.0,135.0,"3,945"
16,FMDBL,2012-06-26.csv,135.0,138.0,134.0,138.0,"3,293"
17,FMDBL,2012-06-27.csv,138.0,136.0,136.0,136.0,475
20,FMDBL,2012-06-28.csv,136.0,141.0,138.0,141.0,"2,074"
15,FMDBL,2012-07-01.csv,141.0,140.0,137.0,137.0,"4,050"
17,FMDBL,2012-07-02.csv,137.0,139.0,137.0,137.0,825
15,FMDBL,2012-07-03.csv,137.0,137.0,137.0,137.0,810
19,FMDBL,2012-07-04.csv,137.0,139.0,139.0,139.0,49
17,FMDBL,2012-07-05.csv,139.0,141.0,141.0,141.0,148
18,FMDBL,2012-07-08.csv,141.0,140.0,139.0,140.0,619
19,FMDBL,2012-07-09.csv,140.0,140.0,140.0,140.0,49
16,FMDBL,2012-07-10.csv,140.0,138.0,138.0,138.0,198
18,FMDBL,2012-07-12.csv,138.0,138.0,138.0,138.0,"1,655"
16,FMDBL,2012-07-16.csv,138.0,138.0,138.0,138.0,98
16,FMDBL,2012-07-17.csv,138.0,150.0,140.0,145.0,"1,226"
19,FMDBL,2012-07-18.csv,145.0,153.0,147.0,153.0,"1,639"
20,FMDBL,2012-07-19.csv,153.0,159.0,156.0,159.0,98
17,FMDBL,2012-07-22.csv,159.0,160.0,159.0,159.0,246
17,FMDBL,2012-07-24.csv,159.0,157.0,150.0,150.0,295
17,FMDBL,2012-07-26.csv,150.0,148.0,148.0,148.0,49
14,FMDBL,2012-07-29.csv,148.0,146.0,146.0,146.0,49
19,FMDBL,2012-08-01.csv,146.0,146.0,145.0,146.0,827
17,FMDBL,2012-08-05.csv,146.0,146.0,144.0,146.0,249
20,FMDBL,2012-08-06.csv,146.0,148.0,146.0,148.0,"1,786"
19,FMDBL,2012-08-07.csv,148.0,152.0,147.0,152.0,"1,972"
18,FMDBL,2012-08-08.csv,152.0,158.0,155.0,158.0,40
16,FMDBL,2012-08-12.csv,158.0,155.0,155.0,155.0,247
19,FMDBL,2012-08-13.csv,155.0,153.0,150.0,150.0,198
16,FMDBL,2012-08-14.csv,150.0,147.0,147.0,147.0,795
17,FMDBL,2012-08-15.csv,147.0,147.0,147.0,147.0,109
16,FMDBL,2012-08-19.csv,147.0,147.0,143.0,147.0,851
18,FMDBL,2012-08-21.csv,147.0,147.0,147.0,147.0,98
18,FMDBL,2012-08-22.csv,147.0,149.0,149.0,149.0,109
22,FMDBL,2012-08-28.csv,149.0,150.0,146.0,146.0,532
18,FMDBL,2012-08-29.csv,146.0,148.0,147.0,148.0,751
18,FMDBL,2012-08-30.csv,148.0,150.0,147.0,148.0,587
21,FMDBL,2012-09-02.csv,148.0,150.0,149.0,150.0,128
19,FMDBL,2012-09-03.csv,150.0,165.0,150.0,165.0,"1,538"
20,FMDBL,2012-09-04.csv,165.0,180.0,168.0,180.0,473
20,FMDBL,2012-09-10.csv,180.0,177.0,162.0,162.0,"2,891"
22,FMDBL,2012-09-11.csv,162.0,160.0,150.0,159.0,"17,222"
20,FMDBL,2012-09-12.csv,159.0,171.0,158.0,170.0,"21,357"
19,FMDBL,2012-09-13.csv,170.0,167.0,162.0,165.0,"10,038"
18,FMDBL,2012-09-16.csv,165.0,171.0,168.0,171.0,"14,390"
21,FMDBL,2012-09-17.csv,171.0,179.0,174.0,179.0,"4,226"
17,FMDBL,2012-09-18.csv,179.0,181.0,180.0,181.0,"5,895"
22,FMDBL,2012-09-19.csv,181.0,180.0,179.0,180.0,"8,811"
18,FMDBL,2012-09-20.csv,180.0,180.0,177.0,180.0,534
