S.no,Symbol,Date,Open,High,Low,Close,Vol
27,GABL,2014-11-06.csv,100.0,102.0,102.0,102.0,50
25,GABL,2015-01-06.csv,94.0,95.0,95.0,95.0,35
25,GABL,2015-02-03.csv,95.0,99.0,99.0,99.0,10
29,GABL,2015-02-04.csv,99.0,103.0,103.0,103.0,10
31,GABL,2015-02-08.csv,103.0,108.0,108.0,108.0,10
27,GABL,2015-02-09.csv,108.0,113.0,113.0,113.0,10
29,GABL,2015-02-12.csv,113.0,118.0,118.0,118.0,10
29,GABL,2015-02-15.csv,118.0,123.0,123.0,123.0,10
62,GABL,2015-02-16.csv,123.0,131.0,129.0,131.0,510
63,GABL,2015-02-16.csv,123.0,131.0,129.0,131.0,510
28,GABL,2015-02-18.csv,131.0,137.0,137.0,137.0,10
25,GABL,2015-03-01.csv,137.0,143.0,143.0,143.0,10
28,GABL,2015-03-02.csv,143.0,150.0,150.0,150.0,10
27,GABL,2015-03-04.csv,150.0,160.0,157.0,160.0,27
28,GABL,2015-03-10.csv,160.0,168.0,168.0,168.0,10
32,GABL,2015-03-11.csv,168.0,176.0,176.0,176.0,10
24,GABL,2015-04-07.csv,176.0,190.0,184.0,190.0,30
27,GABL,2015-04-08.csv,190.0,202.0,193.0,202.0,40
29,GABL,2015-04-09.csv,202.0,220.0,212.0,220.0,37
9,GABL,2015-05-25.csv,220.0,224.0,224.0,224.0,203
23,GABL,2015-06-21.csv,224.0,236.0,228.0,236.0,64
27,GABL,2015-06-22.csv,236.0,244.0,240.0,244.0,40
25,GABL,2015-06-23.csv,244.0,252.0,248.0,252.0,40
21,GABL,2015-06-24.csv,252.0,257.0,257.0,257.0,20
25,GABL,2015-06-25.csv,257.0,267.0,262.0,267.0,40
24,GABL,2015-06-28.csv,267.0,277.0,272.0,277.0,40
26,GABL,2015-06-29.csv,277.0,282.0,282.0,282.0,20
24,GABL,2015-07-01.csv,282.0,292.0,287.0,292.0,44
25,GABL,2015-07-05.csv,292.0,308.0,297.0,308.0,60
28,GABL,2015-07-06.csv,308.0,320.0,314.0,320.0,40
25,GABL,2015-07-09.csv,320.0,338.0,326.0,338.0,140
24,GABL,2015-07-12.csv,338.0,357.0,344.0,357.0,400
29,GABL,2015-07-14.csv,357.0,371.0,364.0,371.0,200
27,GABL,2015-07-15.csv,371.0,385.0,378.0,385.0,200
31,GABL,2015-07-16.csv,385.0,422.0,392.0,422.0,153
29,GABL,2015-07-22.csv,422.0,438.0,430.0,438.0,200
29,GABL,2015-07-23.csv,438.0,446.0,446.0,446.0,450
27,GABL,2015-07-29.csv,446.0,459.0,450.0,459.0,650
29,GABL,2015-07-30.csv,459.0,470.0,460.0,470.0,394
25,GABL,2015-08-03.csv,470.0,470.0,470.0,470.0,26
28,GABL,2015-08-04.csv,470.0,479.0,479.0,479.0,20
29,GABL,2015-08-05.csv,479.0,488.0,488.0,488.0,54
27,GABL,2015-08-09.csv,488.0,479.0,470.0,470.0,287
25,GABL,2015-08-10.csv,470.0,470.0,470.0,470.0,89
25,GABL,2015-08-11.csv,470.0,470.0,470.0,470.0,11
24,GABL,2015-08-20.csv,470.0,480.0,475.0,480.0,180
24,GABL,2015-09-01.csv,480.0,489.0,489.0,489.0,11
