S.no,Symbol,Date,Open,High,Low,Close,Vol
21,GBBL,2012-01-01.csv,112.0,114.0,111.0,114.0,230
15,GBBL,2012-01-02.csv,114.0,119.0,112.0,118.0,"1,060"
20,GBBL,2012-01-03.csv,118.0,120.0,117.0,117.0,640
18,GBBL,2012-01-04.csv,117.0,118.0,113.0,117.0,"1,100"
12,GBBL,2012-01-05.csv,117.0,119.0,116.0,118.0,510
17,GBBL,2012-01-09.csv,118.0,117.0,114.0,116.0,280
17,GBBL,2012-01-10.csv,118.0,116.0,116.0,116.0,120
20,GBBL,2012-01-11.csv,116.0,117.0,117.0,117.0,900
19,GBBL,2012-01-12.csv,117.0,115.0,111.0,111.0,280
14,GBBL,2012-01-16.csv,111.0,114.0,112.0,114.0,110
13,GBBL,2012-01-17.csv,114.0,118.0,112.0,118.0,"1,100"
17,GBBL,2012-01-18.csv,118.0,121.0,118.0,121.0,380
14,GBBL,2012-01-19.csv,121.0,122.0,120.0,121.0,420
19,GBBL,2012-01-22.csv,121.0,122.0,116.0,116.0,"1,550"
19,GBBL,2012-01-23.csv,116.0,120.0,118.0,120.0,160
17,GBBL,2012-01-25.csv,120.0,124.0,122.0,122.0,150
16,GBBL,2012-01-26.csv,122.0,121.0,115.0,115.0,100
19,GBBL,2012-01-29.csv,115.0,115.0,115.0,115.0,80
25,GBBL,2012-01-31.csv,115.0,120.0,116.0,120.0,360
20,GBBL,2012-02-01.csv,120.0,122.0,119.0,119.0,620
19,GBBL,2012-02-02.csv,119.0,119.0,113.0,113.0,600
20,GBBL,2012-02-05.csv,113.0,117.0,115.0,117.0,620
18,GBBL,2012-02-06.csv,117.0,121.0,116.0,119.0,"1,230"
21,GBBL,2012-02-07.csv,119.0,120.0,117.0,117.0,550
17,GBBL,2012-02-08.csv,117.0,119.0,117.0,117.0,"1,230"
16,GBBL,2012-02-09.csv,117.0,117.0,115.0,115.0,380
20,GBBL,2012-02-12.csv,115.0,119.0,117.0,119.0,250
16,GBBL,2012-02-13.csv,119.0,117.0,113.0,116.0,730
16,GBBL,2012-02-14.csv,116.0,120.0,116.0,116.0,480
17,GBBL,2012-02-15.csv,116.0,116.0,116.0,116.0,60
18,GBBL,2012-02-16.csv,116.0,118.0,117.0,118.0,120
17,GBBL,2012-02-21.csv,118.0,120.0,119.0,120.0,970
19,GBBL,2012-02-23.csv,120.0,118.0,117.0,117.0,220
19,GBBL,2012-02-26.csv,117.0,119.0,116.0,118.0,530
23,GBBL,2012-02-27.csv,118.0,118.0,117.0,118.0,180
19,GBBL,2012-02-28.csv,118.0,120.0,116.0,118.0,900
18,GBBL,2012-02-29.csv,118.0,120.0,120.0,120.0,20
20,GBBL,2012-03-01.csv,120.0,120.0,116.0,118.0,490
18,GBBL,2012-03-04.csv,118.0,120.0,116.0,119.0,370
17,GBBL,2012-03-05.csv,119.0,119.0,117.0,117.0,360
17,GBBL,2012-03-06.csv,117.0,118.0,116.0,116.0,470
20,GBBL,2012-03-11.csv,116.0,116.0,115.0,116.0,"1,000"
17,GBBL,2012-03-12.csv,116.0,118.0,116.0,116.0,180
18,GBBL,2012-03-13.csv,116.0,120.0,118.0,120.0,70
18,GBBL,2012-03-14.csv,120.0,122.0,118.0,118.0,970
15,GBBL,2012-03-15.csv,118.0,118.0,117.0,117.0,50
18,GBBL,2012-03-18.csv,117.0,116.0,116.0,116.0,620
18,GBBL,2012-03-19.csv,116.0,119.0,117.0,119.0,130
22,GBBL,2012-03-20.csv,119.0,118.0,115.0,118.0,400
22,GBBL,2012-03-21.csv,118.0,118.0,116.0,118.0,80
17,GBBL,2012-03-25.csv,118.0,120.0,115.0,117.0,700
20,GBBL,2012-03-26.csv,117.0,118.0,118.0,118.0,100
18,GBBL,2012-03-27.csv,118.0,119.0,117.0,118.0,"2,800"
17,GBBL,2012-03-28.csv,118.0,119.0,118.0,118.0,"2,160"
19,GBBL,2012-03-29.csv,118.0,120.0,115.0,118.0,620
21,GBBL,2012-04-01.csv,118.0,118.0,117.0,118.0,920
19,GBBL,2012-04-02.csv,118.0,116.0,114.0,114.0,40
17,GBBL,2012-04-03.csv,114.0,120.0,116.0,119.0,220
20,GBBL,2012-04-04.csv,119.0,122.0,119.0,122.0,700
23,GBBL,2012-04-05.csv,122.0,120.0,119.0,120.0,160
24,GBBL,2012-04-08.csv,120.0,120.0,120.0,120.0,150
20,GBBL,2012-04-10.csv,120.0,118.0,118.0,118.0,30
24,GBBL,2012-04-12.csv,118.0,128.0,120.0,128.0,"1,520"
22,GBBL,2012-04-15.csv,128.0,132.0,130.0,132.0,230
22,GBBL,2012-04-18.csv,132.0,132.0,128.0,132.0,"1,930"
24,GBBL,2012-04-19.csv,132.0,140.0,134.0,140.0,"1,150"
22,GBBL,2012-04-22.csv,140.0,152.0,142.0,152.0,630
17,GBBL,2012-04-24.csv,152.0,161.0,155.0,161.0,80
25,GBBL,2012-04-26.csv,161.0,177.0,164.0,177.0,"1,270"
24,GBBL,2012-04-29.csv,177.0,188.0,175.0,185.0,"3,570"
23,GBBL,2012-04-30.csv,185.0,190.0,179.0,179.0,"1,340"
10,GBBL,2012-05-07.csv,179.0,182.0,182.0,182.0,50
17,GBBL,2012-05-08.csv,182.0,179.0,173.0,173.0,320
21,GBBL,2012-05-09.csv,173.0,173.0,166.0,166.0,"1,120"
22,GBBL,2012-05-10.csv,166.0,168.0,162.0,165.0,810
13,GBBL,2012-05-13.csv,165.0,160.0,149.0,149.0,"3,880"
13,GBBL,2012-05-14.csv,149.0,147.0,142.0,142.0,290
16,GBBL,2012-05-15.csv,142.0,148.0,142.0,148.0,800
19,GBBL,2012-05-17.csv,148.0,162.0,150.0,158.0,740
18,GBBL,2012-05-20.csv,158.0,157.0,154.0,156.0,280
17,GBBL,2012-05-21.csv,156.0,163.0,159.0,163.0,440
20,GBBL,2012-05-22.csv,163.0,160.0,157.0,159.0,890
19,GBBL,2012-05-24.csv,159.0,162.0,162.0,162.0,70
19,GBBL,2012-05-27.csv,162.0,168.0,159.0,168.0,430
16,GBBL,2012-06-03.csv,168.0,165.0,159.0,159.0,160
18,GBBL,2012-06-04.csv,159.0,156.0,144.0,146.0,"1,700"
25,GBBL,2012-06-05.csv,146.0,145.0,141.0,141.0,"1,110"
19,GBBL,2012-06-06.csv,141.0,139.0,135.0,138.0,950
17,GBBL,2012-06-07.csv,138.0,142.0,140.0,140.0,550
16,GBBL,2012-06-10.csv,140.0,140.0,136.0,137.0,280
19,GBBL,2012-06-11.csv,137.0,143.0,136.0,143.0,290
20,GBBL,2012-06-12.csv,143.0,143.0,141.0,142.0,520
18,GBBL,2012-06-13.csv,142.0,146.0,142.0,142.0,770
20,GBBL,2012-06-14.csv,142.0,144.0,139.0,142.0,560
20,GBBL,2012-06-17.csv,142.0,143.0,142.0,143.0,210
18,GBBL,2012-06-18.csv,143.0,142.0,137.0,138.0,"1,230"
19,GBBL,2012-06-19.csv,138.0,137.0,136.0,137.0,420
20,GBBL,2012-06-20.csv,137.0,140.0,138.0,138.0,780
19,GBBL,2012-06-21.csv,138.0,140.0,138.0,140.0,370
16,GBBL,2012-06-25.csv,140.0,143.0,138.0,143.0,"1,510"
17,GBBL,2012-06-26.csv,143.0,142.0,140.0,140.0,290
18,GBBL,2012-06-27.csv,140.0,140.0,138.0,140.0,280
21,GBBL,2012-06-28.csv,140.0,144.0,140.0,142.0,400
16,GBBL,2012-07-01.csv,142.0,144.0,142.0,142.0,350
18,GBBL,2012-07-02.csv,142.0,142.0,140.0,140.0,670
16,GBBL,2012-07-03.csv,140.0,140.0,138.0,140.0,80
20,GBBL,2012-07-04.csv,140.0,138.0,136.0,137.0,150
18,GBBL,2012-07-05.csv,137.0,139.0,139.0,139.0,130
19,GBBL,2012-07-08.csv,139.0,137.0,136.0,136.0,70
20,GBBL,2012-07-09.csv,136.0,140.0,134.0,139.0,770
17,GBBL,2012-07-10.csv,139.0,141.0,137.0,138.0,710
21,GBBL,2012-07-11.csv,138.0,140.0,138.0,140.0,220
19,GBBL,2012-07-12.csv,140.0,140.0,138.0,138.0,210
15,GBBL,2012-07-15.csv,138.0,140.0,138.0,138.0,300
17,GBBL,2012-07-16.csv,138.0,140.0,140.0,140.0,230
17,GBBL,2012-07-17.csv,140.0,150.0,142.0,150.0,"4,320"
20,GBBL,2012-07-18.csv,150.0,155.0,149.0,155.0,"1,420"
21,GBBL,2012-07-19.csv,155.0,161.0,155.0,161.0,"1,490"
18,GBBL,2012-07-22.csv,161.0,164.0,157.0,157.0,"1,120"
17,GBBL,2012-07-23.csv,157.0,172.0,157.0,163.0,"3,100"
18,GBBL,2012-07-24.csv,163.0,162.0,160.0,161.0,"1,000"
19,GBBL,2012-07-25.csv,161.0,172.0,155.0,169.0,"2,630"
18,GBBL,2012-07-26.csv,169.0,166.0,160.0,163.0,570
15,GBBL,2012-07-29.csv,163.0,168.0,162.0,162.0,840
19,GBBL,2012-07-30.csv,162.0,163.0,158.0,158.0,"1,430"
21,GBBL,2012-07-31.csv,158.0,163.0,158.0,162.0,"2,020"
20,GBBL,2012-08-01.csv,162.0,162.0,160.0,161.0,410
18,GBBL,2012-08-05.csv,161.0,163.0,161.0,161.0,630
21,GBBL,2012-08-06.csv,161.0,165.0,162.0,162.0,"2,620"
20,GBBL,2012-08-07.csv,162.0,165.0,160.0,165.0,"1,450"
19,GBBL,2012-08-08.csv,165.0,165.0,163.0,163.0,780
17,GBBL,2012-08-12.csv,163.0,160.0,160.0,160.0,"1,300"
20,GBBL,2012-08-13.csv,160.0,160.0,157.0,157.0,480
17,GBBL,2012-08-14.csv,157.0,160.0,155.0,160.0,260
18,GBBL,2012-08-15.csv,160.0,159.0,152.0,155.0,360
18,GBBL,2012-08-16.csv,155.0,155.0,152.0,155.0,370
17,GBBL,2012-08-19.csv,155.0,156.0,152.0,154.0,"1,480"
19,GBBL,2012-08-21.csv,154.0,166.0,157.0,166.0,"3,350"
19,GBBL,2012-08-22.csv,166.0,175.0,164.0,175.0,"6,670"
21,GBBL,2012-08-23.csv,175.0,183.0,171.0,174.0,"7,840"
18,GBBL,2012-08-26.csv,174.0,179.0,173.0,173.0,"5,380"
19,GBBL,2012-08-27.csv,173.0,173.0,169.0,173.0,640
23,GBBL,2012-08-28.csv,173.0,177.0,172.0,176.0,"3,020"
19,GBBL,2012-08-29.csv,176.0,177.0,172.0,176.0,"4,000"
19,GBBL,2012-08-30.csv,176.0,176.0,170.0,175.0,"1,090"
22,GBBL,2012-09-02.csv,175.0,189.0,176.0,186.0,"4,160"
20,GBBL,2012-09-03.csv,186.0,189.0,180.0,186.0,"3,940"
21,GBBL,2012-09-04.csv,186.0,186.0,180.0,181.0,"1,920"
18,GBBL,2012-09-05.csv,181.0,180.0,177.0,177.0,"1,300"
21,GBBL,2012-09-06.csv,177.0,180.0,177.0,179.0,"2,070"
19,GBBL,2012-09-09.csv,179.0,179.0,173.0,176.0,160
21,GBBL,2012-09-10.csv,176.0,179.0,171.0,178.0,"4,250"
23,GBBL,2012-09-11.csv,178.0,180.0,175.0,175.0,520
21,GBBL,2012-09-12.csv,175.0,177.0,173.0,177.0,"2,280"
20,GBBL,2012-09-13.csv,177.0,177.0,177.0,177.0,60
19,GBBL,2012-09-16.csv,177.0,178.0,178.0,178.0,100
22,GBBL,2012-09-17.csv,178.0,182.0,173.0,181.0,"4,070"
18,GBBL,2012-09-18.csv,181.0,183.0,175.0,180.0,"1,840"
23,GBBL,2012-09-19.csv,180.0,178.0,178.0,178.0,100
19,GBBL,2012-09-20.csv,178.0,184.0,178.0,181.0,"1,880"
23,GBBL,2012-09-23.csv,181.0,178.0,178.0,178.0,150
20,GBBL,2012-09-24.csv,178.0,177.0,174.0,174.0,130
21,GBBL,2012-09-25.csv,174.0,176.0,174.0,176.0,"1,610"
23,GBBL,2012-09-26.csv,176.0,179.0,175.0,176.0,"1,340"
20,GBBL,2012-09-30.csv,176.0,184.0,179.0,180.0,"12,850"
34,GBBL,2012-10-01.csv,180.0,184.0,182.0,184.0,"4,800"
35,GBBL,2012-10-01.csv,180.0,184.0,182.0,184.0,"4,800"
17,GBBL,2012-10-02.csv,184.0,190.0,183.0,187.0,"10,760"
20,GBBL,2012-10-03.csv,187.0,184.0,181.0,184.0,"3,680"
19,GBBL,2012-10-04.csv,184.0,187.0,181.0,186.0,"9,410"
21,GBBL,2012-10-07.csv,186.0,186.0,181.0,181.0,170
27,GBBL,2012-10-08.csv,181.0,166.0,160.0,160.0,90
21,GBBL,2012-10-09.csv,160.0,157.0,146.0,146.0,310
19,GBBL,2012-10-10.csv,146.0,148.0,146.0,148.0,100
19,GBBL,2012-10-11.csv,148.0,146.0,144.0,144.0,120
18,GBBL,2012-10-14.csv,144.0,144.0,140.0,144.0,460
18,GBBL,2012-10-15.csv,144.0,146.0,146.0,146.0,30
14,GBBL,2012-10-17.csv,146.0,148.0,144.0,148.0,360
16,GBBL,2012-10-18.csv,148.0,153.0,150.0,153.0,190
18,GBBL,2012-10-30.csv,153.0,157.0,155.0,155.0,250
16,GBBL,2012-11-01.csv,155.0,161.0,158.0,161.0,"3,660"
18,GBBL,2012-11-04.csv,161.0,167.0,164.0,167.0,430
18,GBBL,2012-11-05.csv,167.0,170.0,165.0,168.0,770
19,GBBL,2012-11-06.csv,168.0,170.0,169.0,170.0,180
