S.no,Symbol,Date,Open,High,Low,Close,Vol
31,GBBLPO,2014-11-02.csv,0.0,200.0,200.0,200.0,"138,548"
26,GBBLPO,2016-04-12.csv,175.0,175.0,175.0,175.0,"34,215"
25,GBBLPO,2017-01-31.csv,200.0,200.0,200.0,200.0,"184,163"
28,GBBLPO,2017-07-25.csv,168.0,165.0,165.0,165.0,"51,776"
31,GBBLPO,2017-12-17.csv,165.0,162.0,162.0,162.0,"129,894"
31,GBBLPO,2017-12-18.csv,162.0,159.0,159.0,159.0,"73,000"
30,GBBLPO,2017-12-19.csv,159.0,156.0,156.0,156.0,"66,904"
28,GBBLPO,2017-12-20.csv,156.0,156.0,156.0,156.0,"89,195"
32,GBBLPO,2018-07-08.csv,115.0,115.0,115.0,115.0,"37,440"
30,GBBLPO,2018-07-09.csv,115.0,115.0,115.0,115.0,"75,044"
29,GBBLPO,2018-07-10.csv,115.0,115.0,115.0,115.0,"65,150"
36,GBBLPO,2018-07-15.csv,115.0,115.0,115.0,115.0,"24,891"
34,GBBLPO,2019-04-09.csv,115.0,115.0,115.0,115.0,"334,497"
34,GBBLPO,2019-04-11.csv,115.0,115.0,115.0,115.0,"2,145"
33,GBBLPO,2019-04-29.csv,115.0,115.0,115.0,115.0,"2,530"
33,GBBLPO,2019-05-09.csv,115.0,115.0,115.0,115.0,"5,000"
31,GBBLPO,2019-07-08.csv,115.0,115.0,115.0,115.0,"136,293"
33,GBBLPO,2019-07-09.csv,115.0,115.0,115.0,115.0,"21,613"
31,GBBLPO,2019-07-15.csv,115.0,115.0,115.0,115.0,"27,530"
35,GBBLPO,2019-08-19.csv,115.0,115.0,115.0,115.0,"50,000"
