S.no,Symbol,Date,Open,High,Low,Close,Vol
20,GBIME,2012-09-09.csv,163.0,175.0,163.0,175.0,50
22,GBIME,2012-09-10.csv,175.0,192.0,178.0,192.0,254
24,GBIME,2012-09-11.csv,192.0,211.0,195.0,211.0,376
22,GBIME,2012-09-12.csv,211.0,232.0,215.0,232.0,"1,131"
21,GBIME,2012-09-13.csv,232.0,255.0,236.0,255.0,"27,430"
20,GBIME,2012-09-16.csv,255.0,260.0,243.0,260.0,"9,406"
23,GBIME,2012-09-17.csv,260.0,270.0,253.0,270.0,"6,296"
19,GBIME,2012-09-18.csv,270.0,277.0,260.0,275.0,"8,686"
24,GBIME,2012-09-19.csv,275.0,271.0,261.0,270.0,"4,336"
20,GBIME,2012-09-20.csv,270.0,267.0,260.0,260.0,"11,416"
24,GBIME,2012-09-23.csv,260.0,255.0,245.0,247.0,"5,384"
21,GBIME,2012-09-24.csv,247.0,250.0,245.0,248.0,"9,768"
22,GBIME,2012-09-25.csv,248.0,249.0,244.0,248.0,"4,830"
24,GBIME,2012-09-26.csv,248.0,249.0,244.0,247.0,"7,227"
21,GBIME,2012-09-30.csv,245.0,247.0,238.0,244.0,"7,236"
36,GBIME,2012-10-01.csv,244.0,245.0,240.0,243.0,"5,064"
37,GBIME,2012-10-01.csv,244.0,245.0,240.0,243.0,"5,064"
18,GBIME,2012-10-02.csv,243.0,248.0,242.0,248.0,"2,854"
21,GBIME,2012-10-03.csv,248.0,251.0,244.0,248.0,"3,424"
20,GBIME,2012-10-04.csv,248.0,250.0,244.0,250.0,"3,162"
22,GBIME,2012-10-07.csv,250.0,255.0,248.0,252.0,"6,485"
28,GBIME,2012-10-08.csv,252.0,253.0,245.0,252.0,"7,223"
22,GBIME,2012-10-09.csv,252.0,256.0,250.0,256.0,"3,945"
20,GBIME,2012-10-10.csv,256.0,256.0,251.0,253.0,"1,964"
20,GBIME,2012-10-11.csv,253.0,252.0,250.0,251.0,"3,846"
19,GBIME,2012-10-14.csv,251.0,254.0,251.0,254.0,"1,029"
19,GBIME,2012-10-15.csv,254.0,254.0,249.0,252.0,"1,589"
15,GBIME,2012-10-17.csv,252.0,260.0,247.0,260.0,"2,975"
17,GBIME,2012-10-18.csv,260.0,266.0,260.0,266.0,"3,263"
19,GBIME,2012-10-30.csv,266.0,275.0,263.0,270.0,"2,478"
14,GBIME,2012-10-31.csv,270.0,285.0,275.0,278.0,"4,291"
17,GBIME,2012-11-01.csv,278.0,287.0,269.0,287.0,"2,017"
19,GBIME,2012-11-04.csv,287.0,301.0,275.0,296.0,"16,234"
19,GBIME,2012-11-05.csv,296.0,307.0,283.0,297.0,"12,136"
20,GBIME,2012-11-06.csv,297.0,304.0,288.0,304.0,"4,876"
21,GBIME,2012-11-07.csv,304.0,310.0,300.0,310.0,"8,988"
18,GBIME,2012-11-08.csv,310.0,330.0,306.0,308.0,"9,282"
16,GBIME,2012-11-11.csv,308.0,324.0,289.0,293.0,"9,640"
16,GBIME,2012-11-12.csv,293.0,315.0,293.0,313.0,"3,044"
18,GBIME,2012-11-18.csv,313.0,326.0,310.0,318.0,"2,200"
22,GBIME,2012-11-20.csv,318.0,335.0,316.0,333.0,"7,312"
19,GBIME,2012-11-21.csv,333.0,344.0,321.0,343.0,"10,747"
17,GBIME,2012-11-22.csv,343.0,344.0,330.0,342.0,"9,816"
20,GBIME,2012-11-25.csv,342.0,370.0,343.0,352.0,"13,675"
19,GBIME,2012-11-26.csv,352.0,359.0,334.0,359.0,"14,535"
18,GBIME,2012-11-27.csv,359.0,369.0,345.0,366.0,"15,772"
20,GBIME,2012-11-28.csv,366.0,385.0,368.0,380.0,"17,520"
21,GBIME,2012-11-29.csv,380.0,395.0,373.0,380.0,"12,950"
16,GBIME,2012-12-02.csv,380.0,380.0,366.0,370.0,"9,600"
17,GBIME,2012-12-03.csv,370.0,370.0,355.0,364.0,"5,403"
18,GBIME,2012-12-04.csv,364.0,382.0,368.0,380.0,"11,242"
16,GBIME,2012-12-05.csv,380.0,400.0,379.0,400.0,"14,715"
17,GBIME,2012-12-06.csv,400.0,404.0,385.0,404.0,"29,266"
18,GBIME,2012-12-09.csv,404.0,398.0,383.0,387.0,"12,055"
17,GBIME,2012-12-10.csv,387.0,393.0,384.0,389.0,"9,827"
