S.no,Symbol,Date,Open,High,Low,Close,Vol
22,GBL,2012-01-01.csv,163.0,169.0,158.0,169.0,545
16,GBL,2012-01-02.csv,169.0,175.0,168.0,175.0,"1,920"
21,GBL,2012-01-03.csv,175.0,181.0,177.0,180.0,200
19,GBL,2012-01-04.csv,180.0,177.0,177.0,177.0,20
15,GBL,2012-01-08.csv,177.0,174.0,166.0,168.0,875
18,GBL,2012-01-09.csv,168.0,170.0,168.0,169.0,"1,140"
18,GBL,2012-01-10.csv,177.0,172.0,166.0,166.0,325
21,GBL,2012-01-11.csv,166.0,172.0,168.0,171.0,780
20,GBL,2012-01-12.csv,171.0,169.0,166.0,166.0,"1,240"
15,GBL,2012-01-16.csv,166.0,165.0,163.0,163.0,"1,045"
14,GBL,2012-01-17.csv,163.0,166.0,160.0,165.0,351
18,GBL,2012-01-18.csv,165.0,167.0,165.0,167.0,300
20,GBL,2012-01-22.csv,167.0,164.0,164.0,164.0,200
20,GBL,2012-01-23.csv,164.0,163.0,162.0,163.0,135
18,GBL,2012-01-25.csv,163.0,161.0,161.0,161.0,60
20,GBL,2012-01-29.csv,161.0,163.0,160.0,163.0,525
26,GBL,2012-01-31.csv,163.0,163.0,160.0,162.0,495
21,GBL,2012-02-01.csv,162.0,165.0,162.0,165.0,75
20,GBL,2012-02-02.csv,165.0,162.0,157.0,160.0,"1,296"
