S.no,Symbol,Date,Open,High,Low,Close,Vol
34,GBLBS,2018-04-29.csv,658.0,684.0,630.0,635.0,"5,440"
31,GBLBS,2018-05-02.csv,625.0,665.0,620.0,653.0,"19,051"
34,GBLBS,2018-05-03.csv,664.0,664.0,640.0,653.0,"28,360"
33,GBLBS,2018-05-06.csv,641.0,666.0,636.0,641.0,"6,806"
29,GBLBS,2018-05-07.csv,632.0,650.0,632.0,639.0,"9,642"
31,GBLBS,2018-05-08.csv,640.0,669.0,632.0,669.0,"4,739"
30,GBLBS,2018-05-09.csv,669.0,670.0,642.0,652.0,"13,120"
33,GBLBS,2018-05-10.csv,648.0,649.0,640.0,640.0,"9,005"
31,GBLBS,2018-05-14.csv,642.0,652.0,626.0,626.0,"4,437"
29,GBLBS,2018-05-15.csv,638.0,648.0,618.0,627.0,"1,849"
30,GBLBS,2018-05-16.csv,625.0,641.0,615.0,630.0,"4,131"
31,GBLBS,2018-05-17.csv,630.0,642.0,626.0,629.0,"5,330"
31,GBLBS,2018-05-20.csv,639.0,650.0,630.0,635.0,"2,447"
29,GBLBS,2018-05-21.csv,630.0,645.0,625.0,645.0,"5,718"
30,GBLBS,2018-05-22.csv,635.0,645.0,626.0,633.0,"1,450"
30,GBLBS,2018-05-23.csv,630.0,650.0,628.0,641.0,"1,604"
31,GBLBS,2018-05-24.csv,642.0,641.0,623.0,623.0,"4,580"
29,GBLBS,2018-05-27.csv,614.0,623.0,614.0,617.0,"9,448"
35,GBLBS,2018-05-28.csv,606.0,646.0,606.0,646.0,"9,675"
30,GBLBS,2018-05-29.csv,652.0,653.0,628.0,634.0,"11,597"
34,GBLBS,2018-05-30.csv,625.0,646.0,625.0,632.0,"5,305"
35,GBLBS,2018-05-31.csv,635.0,639.0,620.0,620.0,"5,055"
29,GBLBS,2018-06-03.csv,610.0,620.0,589.0,593.0,"12,369"
31,GBLBS,2018-06-04.csv,583.0,604.0,582.0,586.0,"5,185"
27,GBLBS,2018-06-06.csv,597.0,620.0,597.0,603.0,"11,010"
32,GBLBS,2018-06-07.csv,615.0,615.0,585.0,585.0,"8,035"
28,GBLBS,2018-06-10.csv,590.0,590.0,568.0,570.0,"4,335"
33,GBLBS,2018-06-11.csv,560.0,590.0,560.0,575.0,"10,251"
31,GBLBS,2018-06-12.csv,568.0,585.0,560.0,576.0,"3,890"
29,GBLBS,2018-06-13.csv,576.0,633.0,569.0,624.0,"23,228"
31,GBLBS,2018-06-14.csv,630.0,648.0,616.0,643.0,"27,640"
33,GBLBS,2018-06-17.csv,655.0,667.0,636.0,649.0,"35,147"
29,GBLBS,2018-06-18.csv,637.0,650.0,631.0,637.0,"10,805"
36,GBLBS,2018-06-19.csv,640.0,651.0,625.0,628.0,"12,890"
32,GBLBS,2018-06-20.csv,625.0,635.0,615.0,623.0,"8,990"
35,GBLBS,2018-06-21.csv,613.0,629.0,609.0,609.0,"4,402"
31,GBLBS,2018-06-24.csv,603.0,628.0,603.0,607.0,"9,348"
30,GBLBS,2018-06-25.csv,595.0,614.0,595.0,600.0,"9,966"
30,GBLBS,2018-06-26.csv,600.0,600.0,592.0,592.0,"4,678"
33,GBLBS,2018-06-27.csv,590.0,612.0,581.0,600.0,"2,425"
31,GBLBS,2018-06-28.csv,602.0,602.0,592.0,592.0,"3,360"
31,GBLBS,2018-07-01.csv,582.0,588.0,577.0,578.0,"1,040"
30,GBLBS,2018-07-02.csv,579.0,588.0,569.0,577.0,"4,453"
30,GBLBS,2018-07-03.csv,570.0,585.0,570.0,580.0,980
34,GBLBS,2018-07-04.csv,570.0,596.0,570.0,595.0,"3,406"
31,GBLBS,2018-07-05.csv,595.0,628.0,595.0,625.0,"8,340"
34,GBLBS,2018-07-08.csv,630.0,630.0,611.0,614.0,"19,201"
32,GBLBS,2018-07-09.csv,615.0,623.0,603.0,609.0,"4,080"
31,GBLBS,2018-07-10.csv,609.0,615.0,591.0,609.0,"11,058"
31,GBLBS,2018-07-11.csv,620.0,635.0,612.0,615.0,"22,771"
31,GBLBS,2018-07-12.csv,627.0,627.0,588.0,600.0,"12,188"
39,GBLBS,2018-07-15.csv,600.0,605.0,594.0,605.0,"3,975"
29,GBLBS,2018-07-16.csv,605.0,625.0,597.0,613.0,"4,343"
31,GBLBS,2018-07-17.csv,613.0,613.0,603.0,603.0,970
30,GBLBS,2018-07-18.csv,603.0,603.0,595.0,601.0,"3,175"
30,GBLBS,2018-07-19.csv,600.0,605.0,589.0,590.0,"4,448"
32,GBLBS,2018-07-22.csv,582.0,590.0,576.0,583.0,"5,270"
32,GBLBS,2018-07-23.csv,575.0,599.0,575.0,589.0,"3,209"
32,GBLBS,2018-07-24.csv,600.0,611.0,586.0,586.0,"8,626"
33,GBLBS,2018-07-25.csv,590.0,590.0,580.0,587.0,"2,530"
33,GBLBS,2018-07-26.csv,580.0,595.0,579.0,580.0,"6,183"
29,GBLBS,2018-07-29.csv,571.0,590.0,571.0,580.0,"4,310"
31,GBLBS,2018-07-30.csv,585.0,588.0,575.0,588.0,"5,103"
32,GBLBS,2018-07-31.csv,598.0,598.0,575.0,580.0,"4,420"
31,GBLBS,2018-08-01.csv,574.0,580.0,574.0,574.0,"4,160"
34,GBLBS,2018-08-02.csv,577.0,579.0,572.0,574.0,"4,080"
32,GBLBS,2018-08-05.csv,574.0,574.0,565.0,569.0,"2,950"
33,GBLBS,2018-08-06.csv,574.0,579.0,561.0,573.0,"6,869"
30,GBLBS,2018-08-07.csv,562.0,575.0,562.0,571.0,490
31,GBLBS,2018-08-08.csv,560.0,569.0,560.0,561.0,"2,300"
31,GBLBS,2018-08-09.csv,559.0,561.0,558.0,558.0,"3,920"
30,GBLBS,2018-08-12.csv,559.0,559.0,544.0,548.0,"3,742"
30,GBLBS,2018-08-13.csv,538.0,558.0,533.0,558.0,700
32,GBLBS,2018-08-14.csv,569.0,574.0,549.0,574.0,"5,032"
33,GBLBS,2018-08-15.csv,574.0,585.0,564.0,584.0,"6,896"
33,GBLBS,2018-08-16.csv,580.0,589.0,571.0,571.0,"8,283"
31,GBLBS,2018-08-19.csv,582.0,616.0,566.0,583.0,"59,551"
33,GBLBS,2018-08-20.csv,572.0,582.0,565.0,570.0,"4,520"
34,GBLBS,2018-08-21.csv,570.0,575.0,565.0,570.0,"3,841"
31,GBLBS,2018-08-22.csv,569.0,569.0,559.0,564.0,"4,525"
31,GBLBS,2018-08-23.csv,569.0,569.0,550.0,550.0,"8,163"
28,GBLBS,2018-08-26.csv,545.0,560.0,540.0,547.0,"5,430"
31,GBLBS,2018-08-28.csv,545.0,553.0,541.0,553.0,"2,700"
32,GBLBS,2018-08-29.csv,555.0,555.0,537.0,547.0,"6,065"
35,GBLBS,2018-08-30.csv,547.0,560.0,539.0,540.0,"7,918"
34,GBLBS,2018-09-02.csv,546.0,556.0,540.0,545.0,"2,955"
36,GBLBS,2018-09-04.csv,555.0,555.0,542.0,547.0,"1,326"
35,GBLBS,2018-09-05.csv,550.0,566.0,547.0,554.0,"7,238"
35,GBLBS,2018-09-06.csv,554.0,575.0,550.0,557.0,"7,189"
37,GBLBS,2018-09-09.csv,555.0,555.0,540.0,542.0,"1,835"
34,GBLBS,2018-09-10.csv,534.0,549.0,533.0,543.0,"1,570"
33,GBLBS,2018-09-11.csv,540.0,560.0,540.0,547.0,"1,330"
33,GBLBS,2018-09-12.csv,540.0,560.0,540.0,555.0,"3,910"
34,GBLBS,2018-09-13.csv,555.0,555.0,545.0,546.0,"4,876"
32,GBLBS,2018-09-16.csv,556.0,567.0,553.0,553.0,"11,699"
34,GBLBS,2018-09-17.csv,553.0,564.0,553.0,555.0,"3,090"
33,GBLBS,2018-09-18.csv,560.0,569.0,552.0,560.0,"3,511"
33,GBLBS,2018-09-20.csv,555.0,560.0,550.0,552.0,"2,680"
