S.no,Symbol,Date,Open,High,Low,Close,Vol
21,GDBL,2012-01-29.csv,185.0,168.0,168.0,168.0,160
18,GDBL,2012-02-15.csv,168.0,165.0,152.0,152.0,"1,070"
21,GDBL,2012-03-01.csv,152.0,149.0,147.0,147.0,130
21,GDBL,2012-03-11.csv,147.0,145.0,143.0,143.0,100
19,GDBL,2012-03-18.csv,143.0,141.0,131.0,131.0,100
19,GDBL,2012-03-19.csv,131.0,130.0,129.0,129.0,40
21,GDBL,2012-04-04.csv,129.0,127.0,117.0,117.0,170
24,GDBL,2012-04-05.csv,117.0,115.0,115.0,115.0,20
21,GDBL,2012-04-10.csv,115.0,113.0,113.0,113.0,100
23,GDBL,2012-04-15.csv,113.0,111.0,111.0,111.0,"2,830"
19,GDBL,2012-04-17.csv,111.0,113.0,113.0,113.0,180
23,GDBL,2012-04-18.csv,113.0,113.0,113.0,113.0,180
25,GDBL,2012-04-19.csv,113.0,121.0,115.0,121.0,800
23,GDBL,2012-04-22.csv,121.0,123.0,123.0,123.0,20
18,GDBL,2012-04-25.csv,123.0,125.0,125.0,125.0,200
26,GDBL,2012-04-26.csv,125.0,129.0,127.0,129.0,70
25,GDBL,2012-04-29.csv,129.0,131.0,131.0,131.0,30
24,GDBL,2012-04-30.csv,131.0,137.0,133.0,137.0,150
14,GDBL,2012-05-13.csv,137.0,137.0,137.0,137.0,40
14,GDBL,2012-05-14.csv,137.0,139.0,135.0,135.0,480
17,GDBL,2012-05-15.csv,135.0,133.0,131.0,133.0,380
20,GDBL,2012-05-17.csv,133.0,135.0,135.0,135.0,232
21,GDBL,2012-05-22.csv,135.0,133.0,133.0,133.0,200
20,GDBL,2012-06-21.csv,133.0,131.0,131.0,131.0,"2,000"
17,GDBL,2012-06-25.csv,131.0,129.0,129.0,129.0,200
20,GDBL,2012-07-08.csv,129.0,131.0,121.0,121.0,"2,070"
20,GDBL,2012-07-12.csv,121.0,119.0,115.0,115.0,845
16,GDBL,2012-07-15.csv,115.0,119.0,117.0,119.0,120
21,GDBL,2012-07-18.csv,119.0,127.0,117.0,125.0,"1,237"
22,GDBL,2012-07-19.csv,125.0,126.0,125.0,125.0,400
19,GDBL,2012-07-22.csv,125.0,127.0,125.0,127.0,268
20,GDBL,2012-07-30.csv,127.0,127.0,125.0,127.0,254
22,GDBL,2012-07-31.csv,127.0,125.0,125.0,125.0,80
18,GDBL,2012-08-12.csv,125.0,125.0,125.0,125.0,10
20,GDBL,2012-08-22.csv,125.0,125.0,125.0,125.0,80
22,GDBL,2012-08-23.csv,125.0,123.0,123.0,123.0,100
19,GDBL,2012-08-26.csv,123.0,135.0,125.0,135.0,740
20,GDBL,2012-08-29.csv,135.0,135.0,135.0,135.0,10
23,GDBL,2012-09-10.csv,135.0,136.0,134.0,136.0,228
25,GDBL,2012-09-11.csv,136.0,134.0,134.0,134.0,100
22,GDBL,2012-09-13.csv,134.0,140.0,136.0,140.0,"1,295"
22,GDBL,2012-09-16.csv,140.0,144.0,142.0,144.0,180
24,GDBL,2012-09-17.csv,144.0,148.0,144.0,144.0,892
25,GDBL,2012-09-19.csv,144.0,142.0,142.0,142.0,250
21,GDBL,2012-09-20.csv,142.0,140.0,140.0,140.0,100
22,GDBL,2012-09-24.csv,140.0,138.0,138.0,138.0,100
23,GDBL,2012-09-25.csv,138.0,145.0,137.0,145.0,"1,203"
25,GDBL,2012-09-26.csv,145.0,143.0,143.0,143.0,22
22,GDBL,2012-09-30.csv,143.0,142.0,142.0,142.0,15
38,GDBL,2012-10-01.csv,142.0,144.0,144.0,144.0,20
39,GDBL,2012-10-01.csv,142.0,144.0,144.0,144.0,20
19,GDBL,2012-10-02.csv,144.0,142.0,140.0,140.0,400
22,GDBL,2012-10-03.csv,140.0,142.0,140.0,140.0,40
21,GDBL,2012-10-04.csv,140.0,138.0,138.0,138.0,192
21,GDBL,2012-10-11.csv,138.0,136.0,136.0,136.0,14
20,GDBL,2012-11-05.csv,136.0,138.0,134.0,136.0,544
21,GDBL,2012-11-06.csv,136.0,134.0,134.0,134.0,80
22,GDBL,2012-11-07.csv,134.0,142.0,136.0,142.0,158
19,GDBL,2012-11-08.csv,142.0,146.0,144.0,146.0,130
19,GDBL,2012-11-18.csv,146.0,148.0,148.0,148.0,80
20,GDBL,2012-11-21.csv,148.0,146.0,146.0,146.0,56
18,GDBL,2012-11-22.csv,146.0,146.0,146.0,146.0,20
20,GDBL,2012-11-26.csv,146.0,145.0,145.0,145.0,80
19,GDBL,2012-11-27.csv,145.0,143.0,143.0,143.0,440
19,GDBL,2012-12-09.csv,143.0,145.0,141.0,145.0,370
19,GDBL,2012-12-11.csv,145.0,149.0,147.0,149.0,20
19,GDBL,2012-12-12.csv,149.0,153.0,149.0,153.0,292
21,GDBL,2012-12-13.csv,153.0,151.0,151.0,151.0,80
20,GDBL,2012-12-19.csv,151.0,154.0,154.0,154.0,10
20,GDBL,2012-12-24.csv,154.0,157.0,157.0,157.0,20
18,GDBL,2012-12-31.csv,157.0,160.0,160.0,160.0,20
19,GDBL,2013-01-31.csv,160.0,157.0,154.0,154.0,520
15,GDBL,2013-02-06.csv,154.0,151.0,151.0,151.0,150
16,GDBL,2013-02-28.csv,151.0,154.0,154.0,154.0,10
19,GDBL,2013-04-17.csv,154.0,151.0,151.0,151.0,330
21,GDBL,2013-06-24.csv,151.0,154.0,151.0,154.0,80
18,GDBL,2013-06-25.csv,154.0,156.0,153.0,153.0,80
23,GDBL,2013-07-02.csv,153.0,150.0,147.0,147.0,"2,430"
22,GDBL,2013-07-17.csv,115.0,113.0,108.0,108.0,424
24,GDBL,2013-07-18.csv,108.0,112.0,110.0,112.0,160
20,GDBL,2013-07-21.csv,112.0,123.0,110.0,121.0,538
24,GDBL,2013-07-22.csv,121.0,121.0,119.0,119.0,320
22,GDBL,2013-07-25.csv,119.0,123.0,121.0,123.0,40
26,GDBL,2013-07-31.csv,123.0,123.0,120.0,120.0,410
24,GDBL,2013-08-01.csv,120.0,120.0,118.0,120.0,274
26,GDBL,2013-08-04.csv,120.0,118.0,116.0,116.0,360
25,GDBL,2013-08-05.csv,116.0,114.0,114.0,114.0,45
26,GDBL,2013-08-06.csv,114.0,113.0,113.0,113.0,240
28,GDBL,2013-08-07.csv,113.0,112.0,110.0,112.0,444
28,GDBL,2013-08-12.csv,112.0,114.0,114.0,114.0,66
27,GDBL,2013-08-13.csv,114.0,113.0,112.0,112.0,210
23,GDBL,2013-08-14.csv,112.0,112.0,112.0,112.0,232
25,GDBL,2013-08-15.csv,112.0,112.0,112.0,112.0,150
29,GDBL,2013-09-01.csv,112.0,116.0,114.0,116.0,210
25,GDBL,2013-09-04.csv,116.0,118.0,118.0,118.0,17
29,GDBL,2013-09-05.csv,118.0,126.0,120.0,126.0,130
26,GDBL,2013-09-08.csv,126.0,128.0,128.0,128.0,32
28,GDBL,2013-09-11.csv,128.0,130.0,126.0,127.0,678
23,GDBL,2013-09-12.csv,127.0,125.0,121.0,121.0,825
27,GDBL,2013-09-15.csv,121.0,122.0,120.0,122.0,295
27,GDBL,2013-09-16.csv,122.0,120.0,120.0,120.0,200
26,GDBL,2013-09-17.csv,120.0,120.0,120.0,120.0,18
26,GDBL,2013-09-19.csv,120.0,118.0,118.0,118.0,41
26,GDBL,2013-09-22.csv,118.0,118.0,118.0,118.0,100
25,GDBL,2013-10-07.csv,118.0,116.0,116.0,116.0,250
20,GDBL,2013-10-22.csv,116.0,114.0,114.0,114.0,345
24,GDBL,2013-12-04.csv,114.0,116.0,116.0,116.0,10
25,GDBL,2013-12-05.csv,116.0,120.0,118.0,120.0,20
22,GDBL,2013-12-09.csv,120.0,132.0,122.0,132.0,60
22,GDBL,2013-12-10.csv,132.0,136.0,134.0,136.0,20
20,GDBL,2013-12-12.csv,136.0,138.0,138.0,138.0,66
22,GDBL,2013-12-15.csv,138.0,150.0,140.0,150.0,60
22,GDBL,2013-12-16.csv,150.0,156.0,153.0,156.0,30
20,GDBL,2013-12-18.csv,156.0,162.0,159.0,162.0,20
26,GDBL,2013-12-22.csv,162.0,165.0,165.0,165.0,200
22,GDBL,2013-12-23.csv,165.0,171.0,168.0,171.0,546
