S.no,Symbol,Date,Open,High,Low,Close,Vol
20,GFCL,2012-03-18.csv,178.0,175.0,172.0,172.0,110
23,GFCL,2012-03-20.csv,172.0,169.0,169.0,169.0,10
22,GFCL,2012-05-22.csv,169.0,174.0,172.0,174.0,146
19,GFCL,2012-07-02.csv,174.0,171.0,171.0,171.0,50
22,GFCL,2012-07-18.csv,171.0,168.0,168.0,168.0,50
23,GFCL,2012-07-31.csv,168.0,165.0,164.0,164.0,240
23,GFCL,2012-10-03.csv,164.0,161.0,161.0,161.0,61
21,GFCL,2012-10-10.csv,161.0,158.0,158.0,158.0,100
20,GFCL,2012-11-04.csv,158.0,155.0,155.0,155.0,"1,428"
18,GFCL,2012-12-03.csv,155.0,158.0,158.0,158.0,387
19,GFCL,2012-12-04.csv,158.0,155.0,154.0,154.0,186
17,GFCL,2012-12-05.csv,154.0,151.0,146.0,146.0,"3,481"
18,GFCL,2012-12-06.csv,146.0,144.0,132.0,132.0,"17,939"
24,GFCL,2013-03-13.csv,128.0,128.0,128.0,128.0,"1,106"
24,GFCL,2013-04-30.csv,128.0,126.0,126.0,126.0,"1,190"
22,GFCL,2013-05-27.csv,126.0,126.0,126.0,126.0,203
20,GFCL,2013-05-30.csv,126.0,126.0,120.0,120.0,"1,233"
21,GFCL,2013-06-05.csv,120.0,118.0,112.0,112.0,709
24,GFCL,2013-06-10.csv,112.0,114.0,112.0,112.0,87
21,GFCL,2013-06-12.csv,112.0,110.0,108.0,108.0,535
25,GFCL,2013-07-29.csv,108.0,106.0,106.0,106.0,446
24,GFCL,2013-09-02.csv,106.0,105.0,101.0,101.0,756
28,GFCL,2013-09-03.csv,101.0,103.0,101.0,103.0,"1,562"
30,GFCL,2013-09-05.csv,103.0,105.0,105.0,105.0,198
25,GFCL,2013-09-09.csv,105.0,107.0,107.0,107.0,500
28,GFCL,2013-09-10.csv,107.0,107.0,107.0,107.0,40
29,GFCL,2013-09-11.csv,107.0,107.0,105.0,105.0,"1,385"
28,GFCL,2013-09-15.csv,105.0,105.0,105.0,105.0,966
27,GFCL,2013-09-17.csv,105.0,105.0,105.0,105.0,16
27,GFCL,2013-09-22.csv,105.0,105.0,105.0,105.0,32
23,GFCL,2013-09-23.csv,105.0,105.0,105.0,105.0,495
23,GFCL,2013-09-24.csv,105.0,107.0,105.0,105.0,336
23,GFCL,2013-09-25.csv,105.0,106.0,105.0,106.0,"1,421"
23,GFCL,2013-10-02.csv,106.0,106.0,106.0,106.0,125
25,GFCL,2013-10-03.csv,106.0,104.0,104.0,104.0,565
21,GFCL,2013-10-20.csv,104.0,102.0,102.0,102.0,27
21,GFCL,2013-10-22.csv,102.0,100.0,100.0,100.0,"3,029"
22,GFCL,2013-10-23.csv,100.0,104.0,102.0,102.0,863
21,GFCL,2013-10-28.csv,102.0,104.0,102.0,102.0,191
21,GFCL,2013-10-29.csv,102.0,102.0,102.0,102.0,125
24,GFCL,2013-11-07.csv,102.0,102.0,100.0,102.0,220
23,GFCL,2013-12-01.csv,102.0,102.0,100.0,100.0,"1,545"
25,GFCL,2013-12-04.csv,100.0,104.0,102.0,104.0,20
26,GFCL,2013-12-05.csv,104.0,110.0,106.0,110.0,30
23,GFCL,2013-12-09.csv,110.0,118.0,112.0,118.0,258
23,GFCL,2013-12-10.csv,118.0,120.0,120.0,120.0,10
21,GFCL,2013-12-11.csv,120.0,124.0,122.0,124.0,30
21,GFCL,2013-12-12.csv,124.0,130.0,126.0,130.0,336
23,GFCL,2013-12-15.csv,130.0,134.0,132.0,134.0,218
27,GFCL,2013-12-22.csv,134.0,136.0,136.0,136.0,130
23,GFCL,2013-12-23.csv,136.0,138.0,138.0,138.0,43
23,GFCL,2013-12-24.csv,138.0,138.0,136.0,138.0,148
25,GFCL,2014-01-08.csv,138.0,136.0,136.0,136.0,500
25,GFCL,2014-01-13.csv,136.0,134.0,134.0,134.0,129
28,GFCL,2014-01-21.csv,134.0,140.0,136.0,140.0,297
29,GFCL,2014-01-22.csv,140.0,142.0,142.0,142.0,660
26,GFCL,2014-01-23.csv,142.0,144.0,144.0,144.0,52
26,GFCL,2014-01-26.csv,144.0,145.0,145.0,145.0,206
22,GFCL,2014-01-28.csv,145.0,151.0,147.0,151.0,304
25,GFCL,2014-01-29.csv,151.0,154.0,154.0,154.0,416
26,GFCL,2014-02-03.csv,154.0,157.0,157.0,157.0,140
24,GFCL,2014-02-13.csv,157.0,163.0,160.0,163.0,226
24,GFCL,2014-02-16.csv,163.0,166.0,166.0,166.0,"7,047"
25,GFCL,2014-02-18.csv,166.0,169.0,169.0,169.0,143
27,GFCL,2014-02-23.csv,169.0,172.0,172.0,172.0,"1,600"
23,GFCL,2014-02-26.csv,172.0,172.0,172.0,172.0,53
19,GFCL,2014-03-03.csv,172.0,173.0,170.0,170.0,"4,317"
25,GFCL,2014-03-06.csv,170.0,173.0,173.0,173.0,354
23,GFCL,2014-03-09.csv,173.0,173.0,173.0,173.0,"12,414"
21,GFCL,2014-03-10.csv,173.0,172.0,170.0,172.0,562
23,GFCL,2014-03-11.csv,172.0,172.0,172.0,172.0,125
30,GFCL,2014-05-11.csv,172.0,169.0,166.0,166.0,434
32,GFCL,2014-05-20.csv,166.0,168.0,165.0,168.0,964
30,GFCL,2014-05-21.csv,168.0,168.0,168.0,168.0,790
35,GFCL,2014-05-26.csv,168.0,165.0,165.0,165.0,207
34,GFCL,2014-06-09.csv,165.0,162.0,156.0,156.0,"1,015"
33,GFCL,2014-06-11.csv,156.0,153.0,153.0,153.0,521
33,GFCL,2014-06-12.csv,153.0,150.0,150.0,150.0,180
28,GFCL,2014-06-15.csv,150.0,150.0,150.0,150.0,66
29,GFCL,2014-06-16.csv,150.0,156.0,153.0,156.0,989
32,GFCL,2014-06-18.csv,156.0,154.0,150.0,150.0,283
31,GFCL,2014-06-24.csv,150.0,153.0,153.0,153.0,"1,000"
31,GFCL,2014-06-26.csv,153.0,156.0,154.0,154.0,"1,316"
29,GFCL,2014-06-29.csv,154.0,157.0,157.0,157.0,555
29,GFCL,2014-06-30.csv,157.0,163.0,160.0,163.0,325
35,GFCL,2014-07-07.csv,163.0,179.0,166.0,179.0,170
35,GFCL,2014-07-08.csv,179.0,196.0,182.0,196.0,200
33,GFCL,2014-07-09.csv,196.0,215.0,199.0,214.0,"3,371"
32,GFCL,2014-07-10.csv,214.0,218.0,214.0,214.0,547
34,GFCL,2014-07-14.csv,214.0,218.0,218.0,218.0,206
34,GFCL,2014-07-15.csv,218.0,220.0,220.0,220.0,105
35,GFCL,2014-07-21.csv,220.0,234.0,224.0,234.0,"4,143"
35,GFCL,2014-07-22.csv,234.0,242.0,238.0,242.0,"1,573"
33,GFCL,2014-07-23.csv,242.0,240.0,237.0,238.0,"4,473"
36,GFCL,2014-07-24.csv,238.0,239.0,231.0,239.0,"1,698"
35,GFCL,2014-07-27.csv,239.0,255.0,243.0,250.0,"3,871"
35,GFCL,2014-07-30.csv,250.0,254.0,245.0,254.0,833
35,GFCL,2014-07-31.csv,254.0,249.0,249.0,249.0,249
33,GFCL,2014-08-03.csv,249.0,272.0,253.0,272.0,"4,030"
33,GFCL,2014-08-04.csv,272.0,267.0,267.0,267.0,40
31,GFCL,2014-08-06.csv,267.0,272.0,272.0,272.0,596
30,GFCL,2014-08-14.csv,272.0,267.0,262.0,262.0,"1,032"
29,GFCL,2014-08-20.csv,262.0,257.0,252.0,252.0,153
25,GFCL,2014-12-10.csv,252.0,247.0,247.0,247.0,143
29,GFCL,2014-12-11.csv,247.0,260.0,243.0,260.0,416
31,GFCL,2015-01-27.csv,245.0,253.0,249.0,253.0,20
30,GFCL,2015-01-28.csv,253.0,248.0,248.0,248.0,15
29,GFCL,2015-02-03.csv,248.0,244.0,244.0,244.0,60
33,GFCL,2015-02-04.csv,244.0,240.0,224.0,225.0,"5,947"
30,GFCL,2015-02-05.csv,225.0,221.0,213.0,217.0,"1,405"
35,GFCL,2015-02-08.csv,217.0,217.0,217.0,217.0,160
32,GFCL,2015-02-10.csv,217.0,213.0,213.0,213.0,176
29,GFCL,2015-02-11.csv,213.0,217.0,213.0,217.0,"1,413"
33,GFCL,2015-02-12.csv,217.0,223.0,220.0,222.0,"12,752"
33,GFCL,2015-02-15.csv,222.0,222.0,218.0,222.0,35
70,GFCL,2015-02-16.csv,222.0,218.0,214.0,214.0,"4,000"
71,GFCL,2015-02-16.csv,222.0,218.0,214.0,214.0,"4,000"
32,GFCL,2015-02-18.csv,214.0,224.0,218.0,224.0,793
29,GFCL,2015-02-24.csv,224.0,226.0,219.0,219.0,"2,010"
31,GFCL,2015-02-25.csv,219.0,223.0,222.0,223.0,202
33,GFCL,2015-03-02.csv,223.0,220.0,215.0,220.0,"4,000"
35,GFCL,2015-03-03.csv,220.0,216.0,216.0,216.0,"1,000"
32,GFCL,2015-03-04.csv,216.0,220.0,215.0,215.0,"2,198"
34,GFCL,2015-03-09.csv,215.0,231.0,218.0,231.0,"6,378"
33,GFCL,2015-03-10.csv,231.0,239.0,230.0,230.0,"3,765"
37,GFCL,2015-03-11.csv,230.0,236.0,230.0,236.0,"1,249"
32,GFCL,2015-03-12.csv,236.0,240.0,232.0,240.0,"1,540"
27,GFCL,2015-03-15.csv,240.0,236.0,236.0,236.0,358
31,GFCL,2015-03-16.csv,236.0,233.0,230.0,230.0,"2,561"
30,GFCL,2015-03-17.csv,230.0,226.0,226.0,226.0,"2,281"
31,GFCL,2015-03-18.csv,226.0,226.0,222.0,226.0,98
27,GFCL,2015-03-22.csv,226.0,230.0,230.0,230.0,"1,828"
30,GFCL,2015-03-23.csv,230.0,226.0,218.0,226.0,467
30,GFCL,2015-03-24.csv,226.0,222.0,222.0,222.0,449
28,GFCL,2015-03-25.csv,222.0,226.0,222.0,226.0,"1,063"
28,GFCL,2015-03-26.csv,226.0,225.0,222.0,222.0,550
27,GFCL,2015-03-29.csv,222.0,223.0,222.0,223.0,300
30,GFCL,2015-03-30.csv,223.0,219.0,219.0,219.0,"1,841"
28,GFCL,2015-03-31.csv,219.0,223.0,222.0,223.0,"2,034"
31,GFCL,2015-04-02.csv,223.0,220.0,219.0,219.0,250
28,GFCL,2015-04-07.csv,219.0,216.0,216.0,216.0,34
32,GFCL,2015-04-12.csv,216.0,220.0,220.0,220.0,"1,242"
24,GFCL,2015-04-13.csv,220.0,222.0,222.0,222.0,544
30,GFCL,2015-04-15.csv,222.0,218.0,218.0,218.0,600
25,GFCL,2015-04-19.csv,218.0,215.0,214.0,214.0,591
25,GFCL,2015-04-21.csv,214.0,212.0,212.0,212.0,41
15,GFCL,2015-05-27.csv,212.0,212.0,212.0,212.0,18
25,GFCL,2015-06-03.csv,212.0,212.0,208.0,208.0,531
24,GFCL,2015-06-04.csv,208.0,208.0,205.0,208.0,"1,300"
29,GFCL,2015-06-07.csv,208.0,208.0,208.0,208.0,500
81,GFCL,2015-06-08.csv,208.0,210.0,208.0,210.0,"1,926"
82,GFCL,2015-06-08.csv,208.0,210.0,208.0,210.0,"1,926"
83,GFCL,2015-06-08.csv,208.0,210.0,208.0,210.0,"1,926"
30,GFCL,2015-06-09.csv,210.0,218.0,214.0,218.0,527
24,GFCL,2015-06-11.csv,218.0,214.0,214.0,214.0,100
25,GFCL,2015-06-14.csv,214.0,210.0,206.0,207.0,"8,009"
28,GFCL,2015-06-16.csv,207.0,207.0,203.0,207.0,781
28,GFCL,2015-06-25.csv,207.0,208.0,202.0,202.0,"1,373"
26,GFCL,2015-06-28.csv,202.0,204.0,200.0,204.0,729
26,GFCL,2015-07-01.csv,204.0,205.0,200.0,205.0,215
25,GFCL,2015-07-02.csv,205.0,201.0,201.0,201.0,125
27,GFCL,2015-07-05.csv,201.0,203.0,201.0,201.0,587
26,GFCL,2015-07-07.csv,201.0,203.0,201.0,203.0,541
27,GFCL,2015-07-12.csv,203.0,203.0,203.0,203.0,210
31,GFCL,2015-07-13.csv,203.0,204.0,200.0,204.0,"1,396"
32,GFCL,2015-07-14.csv,204.0,202.0,201.0,201.0,"5,227"
30,GFCL,2015-07-15.csv,201.0,205.0,201.0,201.0,351
33,GFCL,2015-07-16.csv,201.0,205.0,201.0,205.0,590
32,GFCL,2015-07-22.csv,205.0,213.0,209.0,213.0,"1,783"
32,GFCL,2015-07-23.csv,213.0,225.0,217.0,225.0,"2,964"
27,GFCL,2015-07-26.csv,225.0,245.0,229.0,245.0,845
31,GFCL,2015-07-27.csv,245.0,249.0,244.0,245.0,977
33,GFCL,2015-07-28.csv,245.0,253.0,234.0,234.0,"8,190"
30,GFCL,2015-07-29.csv,234.0,232.0,228.0,230.0,"2,103"
31,GFCL,2015-07-30.csv,230.0,244.0,231.0,234.0,"6,110"
28,GFCL,2015-08-03.csv,234.0,231.0,230.0,231.0,665
