S.no,Symbol,Date,Open,High,Low,Close,Vol
5,GFL,2012-01-02.csv,494.0,503.0,503.0,503.0,22
7,GFL,2012-01-18.csv,503.0,493.0,475.0,475.0,"1,815"
5,GFL,2012-02-08.csv,475.0,466.0,448.0,448.0,978
4,GFL,2012-02-09.csv,448.0,440.0,424.0,424.0,340
7,GFL,2012-02-29.csv,424.0,432.0,432.0,432.0,22
6,GFL,2012-03-14.csv,432.0,311.0,294.0,294.0,"4,356"
7,GFL,2012-03-18.csv,294.0,300.0,294.0,298.0,71
7,GFL,2012-03-19.csv,298.0,309.0,303.0,309.0,46
6,GFL,2012-03-20.csv,309.0,319.0,309.0,319.0,91
8,GFL,2012-03-21.csv,319.0,331.0,325.0,331.0,48
8,GFL,2012-03-26.csv,331.0,337.0,337.0,337.0,20
6,GFL,2012-04-15.csv,337.0,343.0,343.0,343.0,10
5,GFL,2012-04-17.csv,343.0,355.0,349.0,355.0,50
6,GFL,2012-04-18.csv,355.0,374.0,360.0,374.0,80
8,GFL,2012-04-19.csv,374.0,402.0,381.0,402.0,85
8,GFL,2012-05-09.csv,402.0,410.0,410.0,410.0,95
6,GFL,2012-05-10.csv,410.0,418.0,418.0,418.0,26
3,GFL,2012-05-14.csv,418.0,426.0,426.0,426.0,10
4,GFL,2012-05-31.csv,426.0,418.0,418.0,418.0,10
6,GFL,2012-09-06.csv,418.0,430.0,426.0,430.0,36
6,GFL,2012-09-12.csv,430.0,430.0,422.0,430.0,548
6,GFL,2017-08-02.csv,430.0,422.0,422.0,422.0,"22,746"
5,GFL,2017-08-03.csv,422.0,414.0,380.0,380.0,"1,250"
6,GFL,2017-08-06.csv,380.0,373.0,345.0,345.0,445
6,GFL,2017-08-07.csv,345.0,339.0,339.0,339.0,150
6,GFL,2017-08-09.csv,339.0,339.0,309.0,309.0,"2,080"
6,GFL,2017-08-10.csv,193.0,190.0,190.0,190.0,120
6,GFL,2017-08-13.csv,190.0,189.0,189.0,189.0,50
6,GFL,2017-08-20.csv,189.0,186.0,183.0,183.0,"18,101"
6,GFL,2017-08-24.csv,183.0,180.0,165.0,165.0,"30,940"
6,GFL,2017-08-27.csv,165.0,162.0,149.0,149.0,"1,900"
6,GFL,2017-08-28.csv,149.0,147.0,135.0,135.0,"6,614"
6,GFL,2017-08-30.csv,135.0,134.0,122.0,134.0,"17,372"
6,GFL,2017-08-31.csv,134.0,140.0,136.0,140.0,"4,940"
6,GFL,2017-09-04.csv,140.0,140.0,138.0,140.0,500
6,GFL,2017-09-06.csv,140.0,142.0,136.0,138.0,"1,660"
6,GFL,2017-09-07.csv,138.0,140.0,136.0,136.0,"3,320"
6,GFL,2017-09-10.csv,136.0,134.0,123.0,125.0,"2,960"
6,GFL,2017-09-11.csv,125.0,123.0,119.0,119.0,166
6,GFL,2017-09-12.csv,119.0,117.0,115.0,115.0,40
7,GFL,2017-09-13.csv,115.0,118.0,110.0,118.0,"5,350"
6,GFL,2017-09-14.csv,118.0,126.0,120.0,123.0,"1,000"
7,GFL,2017-09-17.csv,123.0,126.0,124.0,126.0,146
7,GFL,2017-09-18.csv,126.0,132.0,128.0,130.0,"2,160"
7,GFL,2017-09-20.csv,130.0,134.0,132.0,134.0,154
7,GFL,2017-09-24.csv,134.0,137.0,132.0,137.0,"1,890"
7,GFL,2017-09-25.csv,137.0,136.0,135.0,135.0,950
7,GFL,2017-09-26.csv,135.0,138.0,135.0,138.0,670
5,GFL,2017-10-03.csv,138.0,138.0,138.0,138.0,50
7,GFL,2017-10-04.csv,138.0,136.0,134.0,134.0,"1,150"
7,GFL,2017-10-08.csv,134.0,133.0,131.0,133.0,780
6,GFL,2017-10-09.csv,133.0,131.0,127.0,127.0,810
7,GFL,2017-10-11.csv,127.0,127.0,120.0,122.0,"6,000"
6,GFL,2017-10-12.csv,122.0,127.0,123.0,127.0,"1,728"
