S.no,Symbol,Date,Open,High,Low,Close,Vol
36,GGBSL,2019-09-05.csv,231.0,231.0,231.0,231.0,10
33,GGBSL,2019-09-08.csv,235.0,235.0,235.0,235.0,10
37,GGBSL,2019-09-11.csv,239.0,239.0,239.0,239.0,10
36,GGBSL,2019-09-16.csv,243.0,243.0,243.0,243.0,10
37,GGBSL,2019-09-18.csv,247.0,247.0,247.0,247.0,10
36,GGBSL,2019-09-24.csv,256.0,261.0,256.0,261.0,20
35,GGBSL,2019-09-26.csv,266.0,266.0,266.0,266.0,10
29,GGBSL,2019-10-17.csv,271.0,286.0,271.0,286.0,80
27,GGBSL,2019-10-20.csv,291.0,291.0,291.0,291.0,10
33,GGBSL,2019-10-21.csv,305.0,305.0,305.0,305.0,20
32,GGBSL,2019-10-24.csv,311.0,311.0,311.0,311.0,10
33,GGBSL,2019-10-31.csv,317.0,323.0,317.0,323.0,20
34,GGBSL,2019-11-04.csv,329.0,329.0,329.0,329.0,10
31,GGBSL,2019-11-06.csv,335.0,335.0,335.0,335.0,10
31,GGBSL,2019-11-10.csv,341.0,341.0,341.0,341.0,10
35,GGBSL,2019-11-11.csv,347.0,360.0,347.0,360.0,30
33,GGBSL,2019-11-12.csv,367.0,381.0,367.0,381.0,30
33,GGBSL,2019-11-14.csv,388.0,395.0,388.0,395.0,20
31,GGBSL,2019-11-17.csv,402.0,434.0,402.0,434.0,60
33,GGBSL,2019-11-18.csv,455.0,477.0,455.0,477.0,150
34,GGBSL,2019-11-19.csv,500.0,524.0,500.0,524.0,710
33,GGBSL,2019-11-20.csv,550.0,576.0,550.0,576.0,"2,769"
32,GGBSL,2019-11-21.csv,604.0,633.0,604.0,633.0,"12,402"
33,GGBSL,2019-11-24.csv,640.0,657.0,610.0,627.0,"3,250"
34,GGBSL,2019-11-25.csv,616.0,650.0,616.0,640.0,"2,119"
35,GGBSL,2019-11-26.csv,650.0,650.0,630.0,632.0,710
34,GGBSL,2019-11-27.csv,632.0,638.0,626.0,638.0,"1,283"
32,GGBSL,2019-11-28.csv,640.0,678.0,629.0,646.0,"2,370"
31,GGBSL,2019-12-01.csv,634.0,634.0,582.0,582.0,960
32,GGBSL,2019-12-02.csv,571.0,594.0,529.0,580.0,"1,890"
35,GGBSL,2019-12-03.csv,580.0,638.0,580.0,638.0,"1,820"
36,GGBSL,2019-12-04.csv,626.0,626.0,593.0,606.0,"1,160"
33,GGBSL,2019-12-05.csv,605.0,618.0,597.0,618.0,769
34,GGBSL,2019-12-08.csv,620.0,624.0,590.0,601.0,390
34,GGBSL,2019-12-09.csv,610.0,625.0,610.0,615.0,"1,190"
33,GGBSL,2019-12-10.csv,615.0,629.0,525.0,618.0,"2,814"
34,GGBSL,2019-12-11.csv,625.0,656.0,620.0,649.0,"3,149"
35,GGBSL,2019-12-12.csv,637.0,638.0,613.0,637.0,"1,200"
34,GGBSL,2019-12-15.csv,627.0,627.0,602.0,611.0,590
34,GGBSL,2019-12-16.csv,602.0,614.0,602.0,603.0,940
32,GGBSL,2019-12-17.csv,603.0,609.0,602.0,603.0,200
34,GGBSL,2019-12-18.csv,633.0,633.0,597.0,615.0,860
35,GGBSL,2019-12-19.csv,615.0,615.0,593.0,611.0,450
32,GGBSL,2019-12-22.csv,600.0,600.0,590.0,595.0,678
36,GGBSL,2019-12-23.csv,606.0,618.0,600.0,601.0,220
34,GGBSL,2019-12-24.csv,590.0,613.0,590.0,613.0,950
35,GGBSL,2019-12-25.csv,601.0,605.0,595.0,602.0,180
33,GGBSL,2019-12-26.csv,602.0,614.0,596.0,597.0,250
37,GGBSL,2019-12-29.csv,587.0,600.0,587.0,596.0,300
36,GGBSL,2019-12-30.csv,600.0,600.0,590.0,599.0,170
35,GGBSL,2019-12-31.csv,600.0,610.0,594.0,595.0,480
36,GGBSL,2020-01-01.csv,605.0,606.0,591.0,604.0,600
35,GGBSL,2020-01-02.csv,600.0,602.0,594.0,597.0,180
33,GGBSL,2020-01-05.csv,608.0,626.0,602.0,617.0,750
35,GGBSL,2020-01-06.csv,627.0,635.0,606.0,620.0,360
36,GGBSL,2020-01-07.csv,620.0,644.0,608.0,628.0,"1,618"
35,GGBSL,2020-01-08.csv,639.0,665.0,617.0,629.0,"2,855"
34,GGBSL,2020-01-09.csv,620.0,691.0,620.0,691.0,"3,498"
35,GGBSL,2020-01-12.csv,704.0,760.0,704.0,760.0,"1,020"
36,GGBSL,2020-01-13.csv,775.0,836.0,775.0,835.0,"4,883"
37,GGBSL,2020-01-14.csv,851.0,885.0,800.0,878.0,"3,165"
36,GGBSL,2020-01-15.csv,893.0,895.0,822.0,893.0,"1,980"
36,GGBSL,2020-01-16.csv,895.0,945.0,863.0,935.0,"1,720"
35,GGBSL,2020-01-19.csv,953.0,957.0,883.0,919.0,"6,545"
36,GGBSL,2020-01-20.csv,901.0,921.0,866.0,869.0,988
35,GGBSL,2020-01-21.csv,858.0,886.0,858.0,863.0,630
35,GGBSL,2020-01-22.csv,880.0,880.0,850.0,856.0,600
34,GGBSL,2020-01-23.csv,856.0,890.0,843.0,858.0,"1,400"
35,GGBSL,2020-01-26.csv,869.0,869.0,824.0,824.0,447
35,GGBSL,2020-01-27.csv,824.0,892.0,824.0,865.0,"1,188"
34,GGBSL,2020-01-28.csv,865.0,900.0,855.0,879.0,"1,233"
35,GGBSL,2020-01-29.csv,880.0,926.0,863.0,920.0,"2,931"
34,GGBSL,2020-01-30.csv,930.0,966.0,890.0,890.0,"2,083"
34,GGBSL,2020-02-02.csv,933.0,933.0,868.0,871.0,"1,922"
35,GGBSL,2020-02-03.csv,870.0,880.0,850.0,880.0,590
35,GGBSL,2020-02-04.csv,863.0,879.0,847.0,858.0,360
35,GGBSL,2020-02-05.csv,858.0,860.0,842.0,860.0,"1,150"
35,GGBSL,2020-02-06.csv,861.0,875.0,852.0,860.0,792
34,GGBSL,2020-02-09.csv,846.0,872.0,846.0,850.0,630
35,GGBSL,2020-02-10.csv,850.0,901.0,842.0,880.0,"1,185"
35,GGBSL,2020-02-11.csv,880.0,918.0,880.0,909.0,"1,920"
35,GGBSL,2020-02-12.csv,900.0,915.0,893.0,897.0,"2,228"
36,GGBSL,2020-02-13.csv,895.0,930.0,895.0,924.0,"1,691"
35,GGBSL,2020-02-16.csv,910.0,940.0,910.0,934.0,"1,298"
35,GGBSL,2020-02-17.csv,920.0,970.0,912.0,925.0,"1,879"
37,GGBSL,2020-02-18.csv,910.0,919.0,895.0,903.0,850
35,GGBSL,2020-02-19.csv,901.0,939.0,901.0,938.0,940
35,GGBSL,2020-02-20.csv,956.0,994.0,940.0,971.0,"1,731"
36,GGBSL,2020-02-23.csv,956.0,1013.0,956.0,975.0,"1,580"
35,GGBSL,2020-02-24.csv,975.0,976.0,956.0,956.0,640
36,GGBSL,2020-02-25.csv,937.0,975.0,919.0,960.0,600
36,GGBSL,2020-02-26.csv,979.0,979.0,945.0,960.0,670
36,GGBSL,2020-02-27.csv,950.0,965.0,925.0,925.0,805
37,GGBSL,2020-03-01.csv,911.0,929.0,898.0,910.0,620
35,GGBSL,2020-03-02.csv,893.0,893.0,873.0,873.0,390
36,GGBSL,2020-03-03.csv,856.0,878.0,840.0,855.0,440
37,GGBSL,2020-03-04.csv,838.0,838.0,770.0,770.0,"1,000"
37,GGBSL,2020-03-05.csv,755.0,837.0,740.0,810.0,400
34,GGBSL,2020-03-10.csv,794.0,794.0,794.0,794.0,10
37,GGBSL,2020-03-11.csv,779.0,825.0,767.0,825.0,190
38,GGBSL,2020-03-12.csv,825.0,825.0,800.0,810.0,650
36,GGBSL,2020-03-15.csv,794.0,794.0,755.0,770.0,320
38,GGBSL,2020-03-16.csv,770.0,784.0,762.0,780.0,340
36,GGBSL,2020-03-17.csv,770.0,770.0,735.0,735.0,555
35,GGBSL,2020-03-18.csv,749.0,749.0,708.0,709.0,195
35,GGBSL,2020-03-19.csv,695.0,708.0,662.0,705.0,995
26,GGBSL,2020-03-22.csv,705.0,705.0,705.0,705.0,10
