S.no,Symbol,Date,Open,High,Low,Close,Vol
36,GHL,2019-02-17.csv,300.0,300.0,190.0,190.0,60
33,GHL,2019-02-18.csv,285.0,285.0,280.0,280.0,60
36,GHL,2019-02-21.csv,266.0,266.0,266.0,266.0,30
37,GHL,2019-02-24.csv,253.0,253.0,253.0,253.0,30
36,GHL,2019-03-03.csv,241.0,241.0,241.0,241.0,30
38,GHL,2019-03-05.csv,229.0,229.0,229.0,229.0,30
38,GHL,2019-03-06.csv,218.0,218.0,214.0,214.0,60
39,GHL,2019-03-07.csv,204.0,204.0,204.0,204.0,30
38,GHL,2019-03-17.csv,194.0,194.0,194.0,194.0,30
36,GHL,2019-04-03.csv,185.0,185.0,185.0,185.0,30
39,GHL,2019-04-09.csv,176.0,176.0,170.0,170.0,70
36,GHL,2019-04-10.csv,162.0,162.0,162.0,162.0,20
39,GHL,2019-04-11.csv,154.0,154.0,148.0,148.0,30
39,GHL,2019-04-22.csv,141.0,146.0,141.0,146.0,30
40,GHL,2019-04-23.csv,139.0,139.0,139.0,139.0,60
38,GHL,2019-05-09.csv,133.0,133.0,133.0,133.0,10
42,GHL,2019-05-19.csv,127.0,127.0,127.0,127.0,30
37,GHL,2019-05-20.csv,122.0,122.0,122.0,122.0,30
40,GHL,2019-05-21.csv,116.0,116.0,116.0,116.0,20
38,GHL,2019-05-22.csv,111.0,114.0,105.0,105.0,"1,339"
38,GHL,2019-05-23.csv,103.0,103.0,95.0,96.0,"2,260"
38,GHL,2019-05-26.csv,95.0,96.0,89.0,90.0,"1,245"
39,GHL,2019-05-27.csv,89.0,91.0,85.0,91.0,"1,050"
37,GHL,2019-05-28.csv,90.0,91.0,89.0,90.0,670
39,GHL,2019-05-29.csv,89.0,95.0,89.0,95.0,760
38,GHL,2019-05-30.csv,94.0,96.0,94.0,94.0,750
38,GHL,2019-06-02.csv,95.0,96.0,90.0,90.0,"1,140"
40,GHL,2019-06-03.csv,90.0,91.0,89.0,90.0,950
39,GHL,2019-06-04.csv,91.0,93.0,88.0,88.0,860
37,GHL,2019-06-06.csv,89.0,90.0,87.0,88.0,770
37,GHL,2019-06-10.csv,87.0,87.0,85.0,86.0,740
38,GHL,2019-06-11.csv,85.0,87.0,85.0,86.0,590
36,GHL,2019-06-12.csv,85.0,87.0,85.0,86.0,500
38,GHL,2019-06-13.csv,85.0,87.0,85.0,86.0,320
38,GHL,2019-06-16.csv,90.0,90.0,83.0,83.0,"1,010"
37,GHL,2019-06-17.csv,84.0,84.0,82.0,82.0,240
38,GHL,2019-06-18.csv,81.0,85.0,80.0,84.0,430
35,GHL,2019-06-19.csv,83.0,83.0,80.0,81.0,660
37,GHL,2019-06-20.csv,81.0,83.0,81.0,82.0,300
38,GHL,2019-06-23.csv,81.0,82.0,81.0,82.0,160
38,GHL,2019-06-24.csv,82.0,84.0,81.0,84.0,980
35,GHL,2019-06-25.csv,84.0,84.0,83.0,83.0,50
37,GHL,2019-06-26.csv,82.0,82.0,80.0,81.0,300
37,GHL,2019-06-27.csv,80.0,80.0,78.0,80.0,320
36,GHL,2019-06-30.csv,79.0,81.0,79.0,81.0,190
35,GHL,2019-07-01.csv,80.0,80.0,79.0,80.0,310
37,GHL,2019-07-02.csv,80.0,81.0,80.0,80.0,250
34,GHL,2019-07-03.csv,79.0,80.0,79.0,79.0,220
36,GHL,2019-07-04.csv,80.0,80.0,80.0,80.0,240
35,GHL,2019-07-07.csv,81.0,83.0,81.0,83.0,190
35,GHL,2019-07-08.csv,84.0,87.0,84.0,86.0,740
36,GHL,2019-07-09.csv,86.0,90.0,86.0,89.0,630
37,GHL,2019-07-10.csv,88.0,88.0,86.0,86.0,160
35,GHL,2019-07-11.csv,86.0,88.0,86.0,88.0,276
33,GHL,2019-07-14.csv,89.0,89.0,86.0,87.0,310
35,GHL,2019-07-15.csv,86.0,87.0,85.0,85.0,465
34,GHL,2019-07-16.csv,86.0,86.0,84.0,84.0,430
35,GHL,2019-07-17.csv,85.0,85.0,84.0,84.0,470
33,GHL,2019-07-18.csv,84.0,84.0,84.0,84.0,90
36,GHL,2019-07-21.csv,84.0,85.0,84.0,85.0,30
35,GHL,2019-07-22.csv,84.0,86.0,84.0,86.0,70
35,GHL,2019-07-23.csv,85.0,89.0,85.0,89.0,390
36,GHL,2019-07-24.csv,90.0,93.0,90.0,93.0,825
35,GHL,2019-07-25.csv,92.0,93.0,90.0,90.0,440
35,GHL,2019-07-28.csv,89.0,89.0,86.0,86.0,220
34,GHL,2019-07-29.csv,85.0,85.0,85.0,85.0,190
37,GHL,2019-07-30.csv,84.0,84.0,83.0,84.0,180
37,GHL,2019-07-31.csv,83.0,85.0,83.0,85.0,210
36,GHL,2019-08-01.csv,85.0,86.0,83.0,83.0,540
35,GHL,2019-08-04.csv,84.0,84.0,82.0,83.0,490
36,GHL,2019-08-05.csv,82.0,86.0,82.0,83.0,"1,300"
37,GHL,2019-08-06.csv,83.0,84.0,83.0,83.0,170
38,GHL,2019-08-07.csv,84.0,84.0,82.0,83.0,310
38,GHL,2019-08-08.csv,82.0,83.0,81.0,82.0,290
34,GHL,2019-08-11.csv,82.0,83.0,81.0,83.0,260
38,GHL,2019-08-12.csv,82.0,83.0,81.0,82.0,380
35,GHL,2019-08-13.csv,81.0,81.0,81.0,81.0,290
38,GHL,2019-08-14.csv,82.0,83.0,81.0,83.0,170
34,GHL,2019-08-15.csv,83.0,84.0,82.0,83.0,240
34,GHL,2019-08-18.csv,82.0,83.0,80.0,83.0,360
39,GHL,2019-08-19.csv,82.0,83.0,81.0,82.0,380
34,GHL,2019-08-20.csv,81.0,82.0,81.0,81.0,240
37,GHL,2019-08-21.csv,81.0,81.0,78.0,78.0,460
35,GHL,2019-08-22.csv,79.0,79.0,77.0,77.0,140
