S.no,Symbol,Date,Open,High,Low,Close,Vol
31,GILB,2018-02-08.csv,1513.0,1500.0,1500.0,1500.0,22
34,GILB,2018-02-11.csv,1513.0,1500.0,1483.0,1483.0,70
33,GILB,2018-02-12.csv,1483.0,1483.0,1454.0,1454.0,86
32,GILB,2018-02-14.csv,1454.0,1427.0,1427.0,1427.0,28
36,GILB,2018-02-15.csv,1427.0,1540.0,1455.0,1540.0,47
35,GILB,2018-02-18.csv,1570.0,1570.0,1500.0,1500.0,199
35,GILB,2018-02-20.csv,1470.0,1470.0,1441.0,1441.0,128
31,GILB,2018-02-21.csv,1413.0,1425.0,1385.0,1385.0,202
32,GILB,2018-02-22.csv,1375.0,1400.0,1375.0,1400.0,87
30,GILB,2018-02-25.csv,1399.0,1400.0,1372.0,1372.0,107
31,GILB,2018-02-26.csv,1348.0,1350.0,1340.0,1350.0,235
31,GILB,2018-02-27.csv,1325.0,1352.0,1302.0,1352.0,567
35,GILB,2018-02-28.csv,1330.0,1330.0,1325.0,1325.0,73
30,GILB,2018-03-04.csv,1299.0,1299.0,1299.0,1299.0,10
33,GILB,2018-03-05.csv,1275.0,1275.0,1200.0,1205.0,231
34,GILB,2018-03-06.csv,1181.0,1181.0,1135.0,1135.0,110
34,GILB,2018-03-07.csv,1157.0,1227.0,1157.0,1225.0,192
34,GILB,2018-03-11.csv,1201.0,1201.0,1109.0,1110.0,373
33,GILB,2018-03-12.csv,1111.0,1111.0,1051.0,1093.0,331
34,GILB,2018-03-13.csv,1088.0,1109.0,1075.0,1109.0,103
30,GILB,2018-03-14.csv,1087.0,1110.0,1087.0,1110.0,116
31,GILB,2018-03-15.csv,1132.0,1132.0,1132.0,1132.0,17
31,GILB,2018-03-18.csv,1150.0,1150.0,1148.0,1150.0,153
33,GILB,2018-03-19.csv,1150.0,1150.0,1127.0,1127.0,208
31,GILB,2018-03-20.csv,1135.0,1135.0,1062.0,1124.0,"1,609"
32,GILB,2018-03-21.csv,1102.0,1102.0,1102.0,1102.0,16
31,GILB,2018-03-22.csv,1080.0,1100.0,1040.0,1100.0,519
33,GILB,2018-03-26.csv,1078.0,1078.0,1078.0,1078.0,62
37,GILB,2018-03-27.csv,1057.0,1092.0,1036.0,1092.0,135
33,GILB,2018-03-28.csv,1071.0,1071.0,1000.0,1000.0,"1,104"
36,GILB,2018-03-29.csv,1020.0,1020.0,961.0,1018.0,311
32,GILB,2018-04-01.csv,1000.0,1010.0,972.0,972.0,144
