S.no,Symbol,Date,Open,High,Low,Close,Vol
23,GLICL,2012-01-01.csv,98.0,101.0,98.0,99.0,"7,160"
17,GLICL,2012-01-02.csv,99.0,102.0,99.0,102.0,"4,490"
22,GLICL,2012-01-03.csv,102.0,103.0,99.0,99.0,"1,940"
20,GLICL,2012-01-04.csv,99.0,100.0,97.0,99.0,"2,780"
13,GLICL,2012-01-05.csv,99.0,99.0,97.0,99.0,"3,430"
16,GLICL,2012-01-08.csv,99.0,99.0,97.0,97.0,"6,780"
19,GLICL,2012-01-09.csv,97.0,99.0,97.0,98.0,"4,240"
19,GLICL,2012-01-10.csv,99.0,99.0,97.0,97.0,"2,230"
23,GLICL,2012-01-11.csv,97.0,97.0,97.0,97.0,550
21,GLICL,2012-01-12.csv,97.0,98.0,96.0,97.0,"2,330"
16,GLICL,2012-01-16.csv,97.0,98.0,96.0,97.0,"3,690"
15,GLICL,2012-01-17.csv,97.0,97.0,96.0,97.0,"1,890"
19,GLICL,2012-01-18.csv,97.0,97.0,95.0,96.0,"6,870"
15,GLICL,2012-01-19.csv,96.0,98.0,96.0,98.0,"1,890"
22,GLICL,2012-01-22.csv,98.0,98.0,95.0,97.0,"3,840"
21,GLICL,2012-01-23.csv,97.0,97.0,95.0,96.0,"5,240"
19,GLICL,2012-01-25.csv,96.0,97.0,96.0,96.0,"1,960"
17,GLICL,2012-01-26.csv,96.0,97.0,94.0,95.0,"3,330"
22,GLICL,2012-01-29.csv,95.0,96.0,94.0,94.0,"3,900"
27,GLICL,2012-01-31.csv,94.0,95.0,94.0,94.0,"2,780"
22,GLICL,2012-02-01.csv,94.0,99.0,94.0,94.0,"1,300"
21,GLICL,2012-02-02.csv,94.0,95.0,94.0,95.0,"3,180"
21,GLICL,2012-02-05.csv,95.0,95.0,90.0,91.0,"2,700"
19,GLICL,2012-02-06.csv,91.0,90.0,89.0,90.0,"1,900"
23,GLICL,2012-02-07.csv,90.0,91.0,88.0,89.0,900
18,GLICL,2012-02-08.csv,89.0,90.0,88.0,88.0,"2,510"
17,GLICL,2012-02-09.csv,88.0,90.0,88.0,90.0,"1,300"
21,GLICL,2012-02-12.csv,90.0,90.0,87.0,89.0,"1,480"
17,GLICL,2012-02-13.csv,89.0,91.0,86.0,91.0,"3,980"
17,GLICL,2012-02-14.csv,91.0,95.0,89.0,90.0,"3,110"
19,GLICL,2012-02-15.csv,90.0,90.0,86.0,90.0,"4,880"
19,GLICL,2012-02-16.csv,90.0,90.0,86.0,87.0,"4,010"
18,GLICL,2012-02-21.csv,87.0,87.0,86.0,86.0,"1,450"
20,GLICL,2012-02-23.csv,86.0,89.0,85.0,85.0,"5,580"
20,GLICL,2012-02-26.csv,85.0,87.0,86.0,87.0,"1,310"
24,GLICL,2012-02-27.csv,87.0,90.0,88.0,89.0,980
20,GLICL,2012-02-28.csv,89.0,91.0,87.0,91.0,"1,480"
19,GLICL,2012-02-29.csv,91.0,91.0,89.0,90.0,"1,590"
22,GLICL,2012-03-01.csv,90.0,90.0,88.0,90.0,500
19,GLICL,2012-03-04.csv,90.0,91.0,89.0,89.0,"1,830"
18,GLICL,2012-03-05.csv,89.0,91.0,89.0,89.0,"1,000"
18,GLICL,2012-03-06.csv,89.0,90.0,89.0,89.0,"1,140"
22,GLICL,2012-03-11.csv,89.0,88.0,87.0,87.0,500
18,GLICL,2012-03-12.csv,87.0,87.0,85.0,86.0,"3,000"
19,GLICL,2012-03-13.csv,86.0,88.0,86.0,88.0,350
19,GLICL,2012-03-14.csv,88.0,89.0,87.0,87.0,270
16,GLICL,2012-03-15.csv,87.0,90.0,88.0,89.0,"1,890"
21,GLICL,2012-03-18.csv,89.0,91.0,88.0,88.0,"2,160"
20,GLICL,2012-03-19.csv,88.0,89.0,85.0,86.0,"1,330"
24,GLICL,2012-03-20.csv,86.0,87.0,86.0,86.0,"1,130"
23,GLICL,2012-03-21.csv,86.0,87.0,86.0,87.0,390
18,GLICL,2012-03-25.csv,87.0,88.0,85.0,87.0,"1,990"
21,GLICL,2012-03-26.csv,87.0,88.0,84.0,87.0,"1,240"
19,GLICL,2012-03-27.csv,87.0,88.0,87.0,88.0,"1,890"
18,GLICL,2012-03-28.csv,88.0,88.0,88.0,88.0,"1,010"
20,GLICL,2012-03-29.csv,88.0,88.0,86.0,86.0,"1,060"
22,GLICL,2012-04-01.csv,86.0,86.0,86.0,86.0,420
20,GLICL,2012-04-02.csv,86.0,88.0,85.0,87.0,"3,510"
22,GLICL,2012-04-04.csv,87.0,86.0,84.0,86.0,"3,980"
25,GLICL,2012-04-05.csv,86.0,86.0,85.0,85.0,"1,740"
25,GLICL,2012-04-08.csv,85.0,86.0,85.0,85.0,460
16,GLICL,2012-04-09.csv,85.0,88.0,86.0,88.0,"1,450"
22,GLICL,2012-04-10.csv,88.0,88.0,87.0,87.0,220
