S.no,Symbol,Date,Open,High,Low,Close,Vol
42,GMFBS,2019-06-06.csv,237.0,237.0,237.0,237.0,10
41,GMFBS,2019-06-10.csv,248.0,248.0,248.0,248.0,10
41,GMFBS,2019-06-11.csv,260.0,260.0,260.0,260.0,10
40,GMFBS,2019-06-12.csv,273.0,273.0,273.0,273.0,10
43,GMFBS,2019-06-16.csv,286.0,291.0,286.0,291.0,20
42,GMFBS,2019-06-18.csv,305.0,311.0,305.0,311.0,20
38,GMFBS,2019-06-19.csv,326.0,326.0,326.0,326.0,10
43,GMFBS,2019-06-23.csv,342.0,358.0,342.0,358.0,550
42,GMFBS,2019-06-24.csv,375.0,393.0,375.0,393.0,90
39,GMFBS,2019-06-25.csv,412.0,432.0,412.0,432.0,890
41,GMFBS,2019-06-26.csv,453.0,462.0,424.0,434.0,"21,479"
41,GMFBS,2019-06-27.csv,430.0,438.0,430.0,436.0,"6,495"
41,GMFBS,2019-06-30.csv,436.0,443.0,422.0,432.0,"7,780"
40,GMFBS,2019-07-01.csv,424.0,434.0,424.0,426.0,"2,960"
41,GMFBS,2019-07-02.csv,422.0,437.0,422.0,434.0,"2,060"
39,GMFBS,2019-07-03.csv,434.0,476.0,426.0,460.0,"5,670"
40,GMFBS,2019-07-04.csv,460.0,469.0,450.0,464.0,"3,691"
40,GMFBS,2019-07-07.csv,455.0,460.0,446.0,450.0,"1,590"
39,GMFBS,2019-07-08.csv,450.0,452.0,440.0,445.0,"1,928"
41,GMFBS,2019-07-09.csv,445.0,453.0,429.0,438.0,830
41,GMFBS,2019-07-10.csv,430.0,441.0,430.0,441.0,576
39,GMFBS,2019-07-11.csv,437.0,445.0,437.0,445.0,"2,205"
38,GMFBS,2019-07-14.csv,445.0,450.0,432.0,440.0,790
40,GMFBS,2019-07-15.csv,435.0,448.0,433.0,448.0,"1,450"
39,GMFBS,2019-07-16.csv,441.0,450.0,441.0,446.0,"1,300"
39,GMFBS,2019-07-17.csv,441.0,459.0,441.0,454.0,"1,380"
37,GMFBS,2019-07-18.csv,454.0,461.0,452.0,454.0,560
40,GMFBS,2019-07-21.csv,452.0,465.0,452.0,465.0,"1,705"
40,GMFBS,2019-07-22.csv,460.0,475.0,460.0,474.0,"2,250"
39,GMFBS,2019-07-23.csv,470.0,494.0,469.0,493.0,"1,954"
41,GMFBS,2019-07-24.csv,495.0,538.0,495.0,538.0,"3,695"
39,GMFBS,2019-07-25.csv,528.0,538.0,512.0,518.0,"6,768"
40,GMFBS,2019-07-28.csv,515.0,527.0,486.0,521.0,"5,185"
38,GMFBS,2019-07-29.csv,530.0,540.0,508.0,532.0,"7,930"
42,GMFBS,2019-07-30.csv,540.0,570.0,530.0,554.0,"7,035"
41,GMFBS,2019-07-31.csv,560.0,609.0,538.0,609.0,"9,471"
40,GMFBS,2019-08-01.csv,620.0,669.0,587.0,633.0,"12,138"
39,GMFBS,2019-08-04.csv,645.0,654.0,613.0,613.0,"6,605"
40,GMFBS,2019-08-05.csv,613.0,625.0,577.0,582.0,"7,514"
42,GMFBS,2019-08-06.csv,571.0,571.0,531.0,554.0,"2,950"
43,GMFBS,2019-08-07.csv,544.0,601.0,536.0,591.0,"3,728"
42,GMFBS,2019-08-08.csv,590.0,590.0,570.0,578.0,"2,070"
38,GMFBS,2019-08-11.csv,578.0,598.0,560.0,567.0,"1,150"
42,GMFBS,2019-08-12.csv,556.0,585.0,556.0,582.0,"1,160"
39,GMFBS,2019-08-13.csv,580.0,592.0,573.0,581.0,"2,038"
42,GMFBS,2019-08-14.csv,580.0,585.0,573.0,580.0,"1,170"
38,GMFBS,2019-08-15.csv,569.0,574.0,564.0,564.0,965
38,GMFBS,2019-08-18.csv,570.0,570.0,562.0,564.0,"1,300"
43,GMFBS,2019-08-19.csv,559.0,592.0,557.0,581.0,570
38,GMFBS,2019-08-20.csv,585.0,588.0,562.0,569.0,"1,550"
41,GMFBS,2019-08-21.csv,558.0,570.0,525.0,538.0,"4,726"
40,GMFBS,2019-08-22.csv,530.0,540.0,519.0,527.0,"2,160"
42,GMFBS,2019-08-25.csv,527.0,530.0,514.0,518.0,"1,490"
38,GMFBS,2019-08-26.csv,526.0,528.0,515.0,515.0,"1,240"
40,GMFBS,2019-08-27.csv,515.0,545.0,512.0,534.0,"1,314"
41,GMFBS,2019-08-28.csv,544.0,544.0,520.0,526.0,520
42,GMFBS,2019-08-29.csv,520.0,525.0,518.0,518.0,450
43,GMFBS,2019-09-01.csv,520.0,520.0,510.0,514.0,390
43,GMFBS,2019-09-02.csv,515.0,515.0,487.0,500.0,"1,051"
42,GMFBS,2019-09-03.csv,491.0,515.0,490.0,511.0,731
