S.no,Symbol,Date,Open,High,Low,Close,Vol
26,GMFIL,2012-04-30.csv,314.0,278.0,278.0,278.0,50
11,GMFIL,2012-05-02.csv,278.0,273.0,273.0,273.0,20
19,GMFIL,2012-06-25.csv,273.0,268.0,268.0,268.0,100
20,GMFIL,2012-06-27.csv,268.0,270.0,270.0,270.0,12
22,GMFIL,2012-07-09.csv,270.0,265.0,265.0,265.0,77
24,GMFIL,2012-07-19.csv,265.0,260.0,260.0,260.0,83
21,GMFIL,2012-08-08.csv,260.0,255.0,255.0,255.0,50
21,GMFIL,2012-08-26.csv,255.0,250.0,245.0,245.0,"1,223"
23,GMFIL,2012-10-10.csv,245.0,241.0,241.0,241.0,50
19,GMFIL,2012-12-05.csv,241.0,237.0,237.0,237.0,378
21,GMFIL,2012-12-26.csv,237.0,237.0,237.0,237.0,"1,871"
21,GMFIL,2013-02-04.csv,237.0,202.0,198.0,198.0,"7,051"
27,GMFIL,2013-08-27.csv,198.0,195.0,195.0,195.0,100
30,GMFIL,2013-09-10.csv,195.0,192.0,190.0,190.0,402
29,GMFIL,2013-09-16.csv,190.0,187.0,184.0,184.0,"1,526"
29,GMFIL,2013-09-22.csv,184.0,184.0,184.0,184.0,"1,000"
25,GMFIL,2013-09-23.csv,184.0,181.0,181.0,181.0,707
23,GMFIL,2013-10-22.csv,181.0,0.0,0.0,181.0,"1,715"
24,GMFIL,2013-12-03.csv,181.0,184.0,184.0,184.0,12
27,GMFIL,2013-12-04.csv,184.0,187.0,187.0,187.0,12
28,GMFIL,2013-12-05.csv,187.0,190.0,190.0,190.0,10
25,GMFIL,2013-12-08.csv,190.0,193.0,190.0,190.0,600
25,GMFIL,2013-12-09.csv,190.0,193.0,187.0,193.0,"1,653"
25,GMFIL,2013-12-10.csv,193.0,196.0,196.0,196.0,10
23,GMFIL,2013-12-11.csv,196.0,206.0,199.0,206.0,"1,030"
23,GMFIL,2013-12-12.csv,206.0,206.0,206.0,206.0,289
30,GMFIL,2014-01-21.csv,179.0,176.0,176.0,176.0,95
25,GMFIL,2014-03-09.csv,173.0,173.0,173.0,173.0,"5,270"
25,GMFIL,2014-03-11.csv,173.0,170.0,170.0,170.0,194
56,GMFIL,2014-03-13.csv,170.0,170.0,170.0,170.0,330
57,GMFIL,2014-03-13.csv,170.0,170.0,170.0,170.0,330
29,GMFIL,2014-03-26.csv,170.0,167.0,167.0,167.0,200
27,GMFIL,2014-04-01.csv,167.0,170.0,170.0,170.0,480
26,GMFIL,2014-04-15.csv,170.0,167.0,167.0,167.0,72
28,GMFIL,2014-04-17.csv,167.0,170.0,170.0,170.0,87
27,GMFIL,2014-04-20.csv,170.0,170.0,170.0,170.0,255
29,GMFIL,2014-04-21.csv,170.0,173.0,173.0,173.0,419
30,GMFIL,2014-04-22.csv,173.0,176.0,170.0,176.0,497
27,GMFIL,2014-04-28.csv,176.0,182.0,179.0,179.0,"1,337"
28,GMFIL,2014-05-04.csv,179.0,182.0,182.0,182.0,50
26,GMFIL,2014-05-05.csv,182.0,180.0,180.0,180.0,817
32,GMFIL,2014-05-07.csv,180.0,180.0,180.0,180.0,"5,534"
28,GMFIL,2014-05-08.csv,180.0,183.0,180.0,182.0,"1,443"
31,GMFIL,2014-05-12.csv,182.0,180.0,180.0,180.0,319
33,GMFIL,2014-05-13.csv,180.0,182.0,181.0,181.0,"1,891"
60,GMFIL,2014-05-15.csv,181.0,181.0,181.0,181.0,143
61,GMFIL,2014-05-15.csv,181.0,181.0,181.0,181.0,143
34,GMFIL,2014-05-18.csv,181.0,181.0,181.0,181.0,191
30,GMFIL,2014-05-19.csv,181.0,196.0,184.0,196.0,250
34,GMFIL,2014-05-20.csv,196.0,196.0,196.0,196.0,"1,248"
32,GMFIL,2014-05-21.csv,196.0,215.0,199.0,200.0,"36,519"
37,GMFIL,2014-05-22.csv,200.0,212.0,200.0,212.0,454
34,GMFIL,2014-05-25.csv,212.0,210.0,210.0,210.0,510
37,GMFIL,2014-05-26.csv,210.0,221.0,214.0,221.0,354
35,GMFIL,2014-05-28.csv,221.0,217.0,213.0,213.0,542
37,GMFIL,2014-06-01.csv,213.0,217.0,209.0,217.0,"1,060"
35,GMFIL,2014-06-02.csv,217.0,217.0,214.0,214.0,392
37,GMFIL,2014-06-03.csv,214.0,218.0,218.0,218.0,50
32,GMFIL,2014-06-04.csv,218.0,222.0,222.0,222.0,50
33,GMFIL,2014-06-05.csv,222.0,218.0,214.0,214.0,444
36,GMFIL,2014-06-09.csv,214.0,218.0,214.0,218.0,"1,304"
37,GMFIL,2014-06-10.csv,218.0,222.0,222.0,222.0,50
35,GMFIL,2014-06-11.csv,222.0,222.0,218.0,222.0,"1,515"
35,GMFIL,2014-06-12.csv,222.0,222.0,214.0,214.0,380
30,GMFIL,2014-06-15.csv,214.0,222.0,218.0,222.0,63
70,GMFIL,2014-06-17.csv,222.0,230.0,226.0,230.0,62
71,GMFIL,2014-06-17.csv,222.0,230.0,226.0,230.0,62
34,GMFIL,2014-06-18.csv,230.0,238.0,234.0,238.0,77
34,GMFIL,2014-06-19.csv,238.0,246.0,242.0,242.0,"2,218"
34,GMFIL,2014-06-25.csv,242.0,238.0,238.0,238.0,63
31,GMFIL,2014-06-29.csv,238.0,242.0,242.0,242.0,"1,444"
31,GMFIL,2014-06-30.csv,242.0,246.0,242.0,242.0,962
36,GMFIL,2014-07-01.csv,242.0,250.0,246.0,246.0,"1,515"
37,GMFIL,2014-07-06.csv,246.0,242.0,238.0,240.0,493
37,GMFIL,2014-07-07.csv,240.0,236.0,236.0,236.0,976
37,GMFIL,2014-07-08.csv,236.0,240.0,240.0,240.0,50
35,GMFIL,2014-07-09.csv,240.0,244.0,240.0,240.0,"1,167"
36,GMFIL,2014-07-13.csv,240.0,242.0,242.0,242.0,724
36,GMFIL,2014-07-14.csv,242.0,240.0,240.0,240.0,100
36,GMFIL,2014-07-15.csv,240.0,260.0,244.0,260.0,"2,090"
40,GMFIL,2014-07-16.csv,260.0,260.0,255.0,260.0,211
39,GMFIL,2014-07-17.csv,260.0,265.0,265.0,265.0,22
33,GMFIL,2014-07-20.csv,265.0,270.0,265.0,265.0,"2,500"
37,GMFIL,2014-07-21.csv,265.0,291.0,270.0,291.0,"1,581"
37,GMFIL,2014-07-22.csv,291.0,296.0,296.0,296.0,305
35,GMFIL,2014-07-23.csv,296.0,302.0,301.0,302.0,63
38,GMFIL,2014-07-24.csv,302.0,307.0,296.0,307.0,758
37,GMFIL,2014-07-27.csv,307.0,337.0,313.0,337.0,587
30,GMFIL,2014-07-28.csv,337.0,349.0,343.0,349.0,40
37,GMFIL,2014-07-30.csv,349.0,369.0,350.0,369.0,675
37,GMFIL,2014-07-31.csv,369.0,385.0,374.0,385.0,806
35,GMFIL,2014-08-03.csv,385.0,378.0,378.0,378.0,12
35,GMFIL,2014-08-04.csv,378.0,379.0,378.0,379.0,650
36,GMFIL,2014-08-05.csv,379.0,372.0,372.0,372.0,293
32,GMFIL,2014-08-31.csv,372.0,379.0,358.0,358.0,"1,556"
35,GMFIL,2014-09-01.csv,358.0,351.0,342.0,342.0,883
29,GMFIL,2014-09-03.csv,342.0,336.0,330.0,330.0,240
31,GMFIL,2014-09-04.csv,330.0,330.0,323.0,323.0,688
30,GMFIL,2014-09-07.csv,323.0,317.0,317.0,317.0,72
33,GMFIL,2014-09-09.csv,317.0,317.0,317.0,317.0,211
