S.no,Symbol,Date,Open,High,Low,Close,Vol
21,GRAND,2012-04-17.csv,0.0,191.0,163.0,163.0,"9,184"
27,GRAND,2012-04-19.csv,175.0,189.0,169.0,177.0,"13,119"
25,GRAND,2012-04-22.csv,177.0,192.0,179.0,192.0,"9,948"
19,GRAND,2012-04-24.csv,192.0,210.0,195.0,210.0,"12,259"
20,GRAND,2012-04-25.csv,210.0,231.0,214.0,231.0,"4,453"
28,GRAND,2012-04-26.csv,231.0,246.0,217.0,239.0,"24,156"
27,GRAND,2012-04-29.csv,239.0,246.0,224.0,235.0,"8,597"
27,GRAND,2012-04-30.csv,235.0,238.0,217.0,224.0,"7,277"
17,GRAND,2012-05-03.csv,224.0,246.0,228.0,246.0,"16,101"
12,GRAND,2012-05-07.csv,246.0,270.0,250.0,270.0,"2,125"
18,GRAND,2012-05-08.csv,270.0,297.0,260.0,264.0,"8,315"
23,GRAND,2012-05-09.csv,264.0,269.0,248.0,254.0,"18,877"
24,GRAND,2012-05-10.csv,254.0,254.0,244.0,250.0,"15,801"
16,GRAND,2012-05-13.csv,250.0,245.0,225.0,225.0,"3,070"
17,GRAND,2012-05-14.csv,225.0,221.0,203.0,203.0,"4,940"
19,GRAND,2012-05-15.csv,203.0,223.0,207.0,223.0,"3,180"
13,GRAND,2012-05-16.csv,223.0,245.0,227.0,245.0,885
22,GRAND,2012-05-17.csv,245.0,269.0,234.0,252.0,"32,126"
19,GRAND,2012-05-20.csv,252.0,252.0,227.0,238.0,"10,239"
19,GRAND,2012-05-21.csv,238.0,251.0,235.0,246.0,"8,107"
25,GRAND,2012-05-22.csv,246.0,242.0,234.0,240.0,"4,956"
15,GRAND,2012-05-23.csv,240.0,236.0,216.0,216.0,"4,423"
21,GRAND,2012-05-24.csv,216.0,236.0,206.0,230.0,"8,720"
22,GRAND,2012-05-27.csv,230.0,248.0,232.0,248.0,"13,804"
16,GRAND,2012-05-31.csv,248.0,244.0,224.0,224.0,285
18,GRAND,2012-06-03.csv,224.0,237.0,226.0,230.0,"14,312"
20,GRAND,2012-06-04.csv,230.0,234.0,216.0,224.0,"13,242"
27,GRAND,2012-06-05.csv,224.0,224.0,210.0,213.0,"4,462"
21,GRAND,2012-06-06.csv,213.0,216.0,200.0,205.0,"11,723"
19,GRAND,2012-06-07.csv,205.0,218.0,200.0,208.0,"6,227"
17,GRAND,2012-06-10.csv,208.0,205.0,194.0,197.0,"3,457"
21,GRAND,2012-06-11.csv,197.0,212.0,200.0,202.0,"8,471"
23,GRAND,2012-06-12.csv,202.0,205.0,200.0,205.0,"1,060"
20,GRAND,2012-06-13.csv,205.0,205.0,201.0,204.0,"2,129"
22,GRAND,2012-06-14.csv,204.0,203.0,198.0,201.0,"1,919"
22,GRAND,2012-06-17.csv,201.0,198.0,192.0,192.0,"3,000"
20,GRAND,2012-06-18.csv,192.0,204.0,193.0,204.0,767
21,GRAND,2012-06-19.csv,204.0,202.0,196.0,198.0,"1,164"
23,GRAND,2012-06-20.csv,198.0,216.0,200.0,203.0,"2,279"
22,GRAND,2012-06-21.csv,203.0,210.0,199.0,202.0,"3,699"
