S.no,Symbol,Date,Open,High,Low,Close,Vol
24,GRANDP,2013-03-21.csv,0.0,221.0,203.0,203.0,60
22,GRANDP,2013-03-24.csv,203.0,199.0,184.0,184.0,60
23,GRANDP,2013-03-25.csv,184.0,181.0,175.0,175.0,30
23,GRANDP,2013-03-27.csv,175.0,172.0,158.0,158.0,60
19,GRANDP,2013-03-31.csv,158.0,155.0,147.0,147.0,40
24,GRANDP,2013-04-01.csv,147.0,145.0,139.0,139.0,40
20,GRANDP,2013-04-03.csv,139.0,137.0,133.0,133.0,30
22,GRANDP,2013-04-04.csv,133.0,131.0,131.0,131.0,10
21,GRANDP,2013-04-08.csv,131.0,129.0,123.0,123.0,40
25,GRANDP,2013-04-09.csv,123.0,121.0,111.0,111.0,60
24,GRANDP,2013-04-11.csv,111.0,109.0,109.0,109.0,"100,595"
22,GRANDP,2013-07-21.csv,109.0,107.0,101.0,101.0,"60,320"
27,GRANDP,2013-07-22.csv,101.0,101.0,101.0,101.0,"119,055"
29,GRANDP,2013-08-20.csv,101.0,101.0,101.0,101.0,"90,000"
29,GRANDP,2014-02-17.csv,101.0,105.0,103.0,105.0,100
28,GRANDP,2014-02-18.csv,105.0,111.0,107.0,111.0,100
28,GRANDP,2014-02-20.csv,111.0,112.0,112.0,112.0,"199,800"
26,GRANDP,2014-02-26.csv,112.0,120.0,114.0,120.0,"93,857"
25,GRANDP,2014-03-12.csv,120.0,118.0,108.0,108.0,"18,059"
28,GRANDP,2014-03-17.csv,108.0,112.0,112.0,112.0,"224,658"
35,GRANDP,2014-06-05.csv,112.0,120.0,114.0,120.0,"150,546"
37,GRANDP,2014-06-11.csv,120.0,120.0,120.0,120.0,"162,705"
