S.no,Symbol,Date,Open,High,Low,Close,Vol
31,GRDBL,2016-11-27.csv,252.0,277.0,257.0,277.0,512
27,GRDBL,2016-11-28.csv,277.0,297.0,272.0,295.0,"2,505"
29,GRDBL,2016-11-29.csv,295.0,324.0,296.0,324.0,"1,057"
28,GRDBL,2016-11-30.csv,324.0,356.0,324.0,356.0,998
31,GRDBL,2016-12-01.csv,356.0,391.0,363.0,391.0,"1,290"
33,GRDBL,2016-12-04.csv,391.0,415.0,385.0,396.0,"3,303"
31,GRDBL,2016-12-05.csv,396.0,396.0,357.0,358.0,"1,845"
31,GRDBL,2016-12-06.csv,358.0,374.0,357.0,370.0,631
26,GRDBL,2016-12-07.csv,370.0,387.0,366.0,375.0,399
29,GRDBL,2016-12-08.csv,375.0,372.0,362.0,365.0,276
32,GRDBL,2016-12-11.csv,365.0,372.0,363.0,365.0,234
32,GRDBL,2016-12-12.csv,365.0,367.0,353.0,367.0,"1,492"
31,GRDBL,2016-12-14.csv,367.0,380.0,367.0,380.0,879
30,GRDBL,2016-12-15.csv,380.0,418.0,374.0,418.0,962
29,GRDBL,2016-12-18.csv,418.0,426.0,407.0,414.0,"2,471"
29,GRDBL,2016-12-19.csv,414.0,407.0,391.0,398.0,142
31,GRDBL,2016-12-20.csv,398.0,391.0,377.0,385.0,91
28,GRDBL,2016-12-21.csv,385.0,380.0,371.0,380.0,242
32,GRDBL,2016-12-22.csv,380.0,405.0,374.0,400.0,"7,745"
30,GRDBL,2016-12-26.csv,400.0,410.0,395.0,405.0,676
31,GRDBL,2016-12-27.csv,405.0,405.0,391.0,398.0,"1,505"
29,GRDBL,2016-12-28.csv,398.0,420.0,391.0,420.0,"1,042"
27,GRDBL,2016-12-29.csv,420.0,430.0,407.0,430.0,709
29,GRDBL,2017-01-01.csv,430.0,430.0,416.0,416.0,561
30,GRDBL,2017-01-02.csv,416.0,457.0,424.0,448.0,"5,982"
28,GRDBL,2017-01-03.csv,448.0,481.0,451.0,475.0,"1,654"
29,GRDBL,2017-01-04.csv,475.0,480.0,448.0,475.0,682
30,GRDBL,2017-01-05.csv,475.0,500.0,466.0,466.0,"1,485"
28,GRDBL,2017-01-08.csv,466.0,484.0,448.0,484.0,"1,521"
28,GRDBL,2017-01-09.csv,484.0,500.0,466.0,484.0,"1,281"
29,GRDBL,2017-01-10.csv,484.0,495.0,480.0,495.0,741
28,GRDBL,2017-01-11.csv,495.0,502.0,492.0,492.0,60
28,GRDBL,2017-01-12.csv,492.0,533.0,486.0,533.0,"2,125"
27,GRDBL,2017-01-15.csv,533.0,535.0,495.0,515.0,415
28,GRDBL,2017-01-16.csv,515.0,566.0,525.0,566.0,"4,524"
28,GRDBL,2017-01-17.csv,566.0,622.0,577.0,622.0,"13,365"
28,GRDBL,2017-01-18.csv,622.0,644.0,570.0,580.0,"6,619"
28,GRDBL,2017-01-19.csv,580.0,602.0,561.0,561.0,"4,746"
27,GRDBL,2017-01-22.csv,561.0,577.0,520.0,520.0,"3,795"
28,GRDBL,2017-01-23.csv,520.0,530.0,500.0,506.0,"3,961"
29,GRDBL,2017-01-24.csv,506.0,549.0,500.0,545.0,"5,303"
30,GRDBL,2017-01-25.csv,545.0,535.0,510.0,525.0,"1,213"
31,GRDBL,2017-01-26.csv,525.0,516.0,515.0,515.0,235
24,GRDBL,2017-01-30.csv,515.0,510.0,490.0,490.0,362
32,GRDBL,2017-01-31.csv,490.0,498.0,476.0,480.0,641
31,GRDBL,2017-02-01.csv,480.0,489.0,471.0,489.0,547
30,GRDBL,2017-02-02.csv,489.0,491.0,480.0,480.0,800
26,GRDBL,2017-02-05.csv,480.0,489.0,472.0,475.0,690
29,GRDBL,2017-02-06.csv,475.0,475.0,470.0,470.0,340
25,GRDBL,2017-02-07.csv,470.0,471.0,471.0,471.0,298
30,GRDBL,2017-02-08.csv,471.0,473.0,473.0,473.0,110
29,GRDBL,2017-02-09.csv,473.0,464.0,445.0,445.0,350
29,GRDBL,2017-02-12.csv,445.0,440.0,419.0,419.0,415
30,GRDBL,2017-02-13.csv,419.0,411.0,400.0,400.0,340
29,GRDBL,2017-02-14.csv,400.0,401.0,395.0,395.0,580
32,GRDBL,2017-02-15.csv,395.0,397.0,381.0,397.0,"1,486"
33,GRDBL,2017-02-16.csv,397.0,402.0,395.0,395.0,748
30,GRDBL,2017-02-19.csv,395.0,402.0,402.0,402.0,100
30,GRDBL,2017-02-20.csv,402.0,415.0,402.0,415.0,200
30,GRDBL,2017-02-21.csv,415.0,423.0,410.0,418.0,906
30,GRDBL,2017-02-22.csv,418.0,421.0,418.0,418.0,150
29,GRDBL,2017-02-23.csv,418.0,410.0,408.0,408.0,110
31,GRDBL,2017-02-26.csv,408.0,416.0,400.0,408.0,430
30,GRDBL,2017-02-28.csv,408.0,408.0,400.0,401.0,230
29,GRDBL,2017-03-01.csv,401.0,393.0,373.0,373.0,178
29,GRDBL,2017-03-02.csv,373.0,394.0,380.0,394.0,450
32,GRDBL,2017-03-05.csv,394.0,410.0,398.0,410.0,476
31,GRDBL,2017-03-06.csv,410.0,418.0,410.0,418.0,157
29,GRDBL,2017-03-07.csv,418.0,416.0,416.0,416.0,22
29,GRDBL,2017-03-09.csv,416.0,420.0,413.0,420.0,254
30,GRDBL,2017-03-14.csv,420.0,420.0,411.0,411.0,353
29,GRDBL,2017-03-15.csv,411.0,412.0,400.0,400.0,150
32,GRDBL,2017-03-16.csv,400.0,410.0,402.0,410.0,100
29,GRDBL,2017-03-19.csv,410.0,405.0,405.0,405.0,50
27,GRDBL,2017-03-20.csv,405.0,410.0,410.0,410.0,21
29,GRDBL,2017-03-21.csv,410.0,420.0,411.0,420.0,261
29,GRDBL,2017-03-22.csv,420.0,427.0,425.0,427.0,60
30,GRDBL,2017-03-23.csv,427.0,442.0,427.0,442.0,310
29,GRDBL,2017-03-26.csv,442.0,459.0,450.0,450.0,126
31,GRDBL,2017-03-28.csv,450.0,480.0,459.0,480.0,237
30,GRDBL,2017-03-29.csv,480.0,494.0,484.0,494.0,182
30,GRDBL,2017-03-30.csv,494.0,502.0,485.0,502.0,360
