S.no,Symbol,Date,Open,High,Low,Close,Vol
25,GSDBL,2012-01-01.csv,84.0,86.0,83.0,84.0,410
19,GSDBL,2012-01-02.csv,84.0,84.0,83.0,84.0,60
24,GSDBL,2012-01-03.csv,84.0,87.0,85.0,87.0,92
22,GSDBL,2012-01-04.csv,87.0,86.0,86.0,86.0,100
21,GSDBL,2012-01-09.csv,86.0,86.0,86.0,86.0,40
21,GSDBL,2012-01-10.csv,86.0,86.0,86.0,86.0,10
24,GSDBL,2012-01-11.csv,86.0,85.0,85.0,85.0,140
17,GSDBL,2012-01-16.csv,85.0,85.0,85.0,85.0,190
17,GSDBL,2012-01-17.csv,85.0,85.0,84.0,85.0,90
21,GSDBL,2012-01-18.csv,85.0,86.0,84.0,86.0,100
17,GSDBL,2012-01-19.csv,86.0,87.0,87.0,87.0,40
24,GSDBL,2012-01-22.csv,87.0,89.0,86.0,88.0,130
23,GSDBL,2012-01-23.csv,88.0,90.0,89.0,90.0,20
21,GSDBL,2012-01-25.csv,90.0,92.0,90.0,92.0,40
19,GSDBL,2012-01-26.csv,92.0,92.0,91.0,92.0,70
24,GSDBL,2012-01-29.csv,92.0,93.0,91.0,91.0,192
29,GSDBL,2012-01-31.csv,91.0,91.0,90.0,90.0,100
24,GSDBL,2012-02-01.csv,90.0,92.0,91.0,92.0,50
23,GSDBL,2012-02-05.csv,92.0,91.0,90.0,90.0,100
21,GSDBL,2012-02-06.csv,90.0,89.0,88.0,89.0,32
25,GSDBL,2012-02-07.csv,89.0,90.0,89.0,90.0,142
20,GSDBL,2012-02-08.csv,90.0,91.0,91.0,91.0,50
19,GSDBL,2012-02-09.csv,91.0,93.0,89.0,90.0,317
23,GSDBL,2012-02-12.csv,90.0,90.0,89.0,90.0,240
19,GSDBL,2012-02-13.csv,90.0,90.0,89.0,90.0,60
19,GSDBL,2012-02-14.csv,90.0,90.0,89.0,90.0,300
21,GSDBL,2012-02-15.csv,90.0,90.0,90.0,90.0,22
21,GSDBL,2012-02-16.csv,90.0,89.0,87.0,89.0,297
20,GSDBL,2012-02-21.csv,89.0,90.0,85.0,86.0,623
22,GSDBL,2012-02-23.csv,86.0,86.0,85.0,85.0,803
22,GSDBL,2012-02-26.csv,85.0,86.0,85.0,85.0,286
26,GSDBL,2012-02-27.csv,85.0,86.0,85.0,86.0,284
22,GSDBL,2012-02-28.csv,86.0,85.0,84.0,85.0,284
21,GSDBL,2012-02-29.csv,85.0,87.0,86.0,87.0,165
