S.no,Symbol,Date,Open,High,Low,Close,Vol
32,GUFL,2017-04-04.csv,127.0,139.0,129.0,139.0,60
31,GUFL,2017-04-06.csv,139.0,152.0,141.0,152.0,70
31,GUFL,2017-04-09.csv,152.0,167.0,155.0,167.0,"10,050"
34,GUFL,2017-04-10.csv,167.0,183.0,170.0,183.0,"1,060"
31,GUFL,2017-04-11.csv,183.0,201.0,186.0,201.0,60
33,GUFL,2017-04-12.csv,201.0,221.0,205.0,221.0,"3,290"
31,GUFL,2017-04-13.csv,221.0,243.0,225.0,243.0,"10,139"
31,GUFL,2017-04-16.csv,243.0,267.0,247.0,267.0,"53,319"
33,GUFL,2017-04-18.csv,267.0,288.0,267.0,282.0,"56,147"
34,GUFL,2017-04-19.csv,282.0,290.0,280.0,287.0,"22,541"
31,GUFL,2017-04-20.csv,287.0,295.0,270.0,285.0,"21,632"
33,GUFL,2017-04-23.csv,285.0,295.0,285.0,287.0,"14,500"
31,GUFL,2017-04-24.csv,287.0,306.0,290.0,297.0,"26,021"
33,GUFL,2017-04-25.csv,297.0,305.0,294.0,299.0,"34,867"
33,GUFL,2017-04-26.csv,299.0,305.0,292.0,292.0,"5,229"
33,GUFL,2017-04-27.csv,292.0,292.0,280.0,289.0,"48,910"
32,GUFL,2017-04-30.csv,289.0,288.0,275.0,288.0,"40,381"
33,GUFL,2017-05-02.csv,288.0,290.0,270.0,290.0,"75,539"
33,GUFL,2017-05-03.csv,227.0,245.0,223.0,227.0,"13,244"
32,GUFL,2017-05-04.csv,227.0,235.0,225.0,225.0,"7,375"
33,GUFL,2017-05-07.csv,225.0,221.0,216.0,220.0,"9,907"
33,GUFL,2017-05-08.csv,220.0,221.0,215.0,217.0,"5,013"
32,GUFL,2017-05-09.csv,217.0,221.0,215.0,218.0,"14,052"
33,GUFL,2017-05-11.csv,218.0,236.0,220.0,220.0,"39,200"
33,GUFL,2017-05-15.csv,220.0,224.0,218.0,218.0,"7,076"
32,GUFL,2017-05-16.csv,218.0,216.0,215.0,215.0,"1,840"
33,GUFL,2017-05-17.csv,215.0,215.0,208.0,213.0,"2,804"
32,GUFL,2017-05-18.csv,213.0,215.0,210.0,212.0,"6,660"
35,GUFL,2017-05-21.csv,212.0,214.0,204.0,214.0,"3,320"
35,GUFL,2017-05-22.csv,214.0,210.0,210.0,210.0,300
34,GUFL,2017-05-23.csv,210.0,211.0,208.0,208.0,690
33,GUFL,2017-05-24.csv,208.0,210.0,210.0,210.0,100
33,GUFL,2017-05-28.csv,210.0,210.0,204.0,205.0,"1,200"
34,GUFL,2017-05-30.csv,205.0,202.0,200.0,200.0,865
33,GUFL,2017-05-31.csv,200.0,205.0,195.0,205.0,"3,711"
